Probe Set ID	Gene Symbol	Fold Change	Gene Title
216471_x_at	LOC100130648 /// SSX2 /// SSX2B	27.77278639	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 2B /// similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40)
216462_at	---	24.48602427	---
230560_at	STXBP6	21.37268826	syntaxin binding protein 6 (amisyn)
207666_x_at	SSX3	17.89976732	synovial sarcoma, X breakpoint 3
215881_x_at	LOC100130648 /// SSX10 /// SSX2 /// SSX2B /// SSX3 /// SSX5 /// SSX7 /// SSX9	14.12345914	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 5 /// synovial sarcoma, X breakpoint 3 /// synovial sarcoma, X breakpoint 7 /// synovial sarcoma, X breakpoint 9 /// synovial sarcoma, X breakpoint 2B /// synovial sarcoma, X breakpoint 10 /// similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40)
210394_x_at	SSX4 /// SSX4B	13.29430586	synovial sarcoma, X breakpoint 4 /// synovial sarcoma, X breakpoint 4B
211425_x_at	SSX4 /// SSX4B	13.22616104	synovial sarcoma, X breakpoint 4 /// synovial sarcoma, X breakpoint 4B
203797_at	VSNL1	12.49666745	visinin-like 1
203798_s_at	VSNL1	12.38235386	visinin-like 1
210497_x_at	LOC100130648 /// SSX2 /// SSX2B	10.02519341	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 2B /// similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40)
220994_s_at	STXBP6	8.689967801	syntaxin binding protein 6 (amisyn)
202965_s_at	CAPN6	8.066787515	calpain 6
223541_at	HAS3	7.019352587	hyaluronan synthase 3
207493_x_at	LOC100130648 /// SSX2 /// SSX2B	6.663761844	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 2B /// similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40)
218677_at	S100A14	6.555538489	S100 calcium binding protein A14
203234_at	UPP1	6.339958021	uridine phosphorylase 1
201669_s_at	MARCKS	6.010137154	myristoylated alanine-rich protein kinase C substrate
226462_at	STXBP6	5.167518336	syntaxin binding protein 6 (amisyn)
211731_x_at	SSX3	4.755071294	synovial sarcoma, X breakpoint 3
201670_s_at	MARCKS	4.572413328	myristoylated alanine-rich protein kinase C substrate
213002_at	MARCKS	4.532943827	myristoylated alanine-rich protein kinase C substrate
230467_at	TMEM52	4.529748487	transmembrane protein 52
214321_at	NOV	4.319242001	nephroblastoma overexpressed gene
218671_s_at	ATPIF1	4.202519251	ATPase inhibitory factor 1
206626_x_at	SSX1	4.194719817	synovial sarcoma, X breakpoint 1
238029_s_at	SLC16A14	4.030202596	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
225203_at	PPP1R16A	3.898826634	protein phosphatase 1, regulatory (inhibitor) subunit 16A
209301_at	CA2	3.859045656	carbonic anhydrase II
235947_at	---	3.847039435	Transcribed locus, strongly similar to NP_742120.1 ciliary rootlet coiled-coil, rootletin [Mus musculus]
220318_at	EPN3	3.679409666	epsin 3
218692_at	GOLSYN	3.663820198	Golgi-localized protein
205463_s_at	PDGFA	3.631740207	platelet-derived growth factor alpha polypeptide
1564053_a_at	YTHDF3	3.622660285	YTH domain family, member 3
205107_s_at	EFNA4	3.587733089	ephrin-A4
225702_at	C8orf76	3.458301083	chromosome 8 open reading frame 76
222496_s_at	RBM47	3.427324497	RNA binding motif protein 47
234562_x_at	LOC728678	3.426024612	Similar to p40
203445_s_at	CTDSP2	3.408716438	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
219401_at	XYLT2	3.403248108	xylosyltransferase II
229525_at	---	3.399102835	---
206542_s_at	SMARCA2	3.373065549	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
224785_at	FAM100B	3.322098174	family with sequence similarity 100, member B
228486_at	SLC44A1	3.310669078	solute carrier family 44, member 1
209824_s_at	ARNTL	3.301525959	aryl hydrocarbon receptor nuclear translocator-like
239082_at	---	3.289787339	CDNA clone IMAGE:5311370
230356_at	---	3.287000119	Transcribed locus
218322_s_at	ACSL5	3.27359824	acyl-CoA synthetase long-chain family member 5
204472_at	GEM	3.25758479	GTP binding protein overexpressed in skeletal muscle
226421_at	AMMECR1	3.165142333	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
230570_at	---	3.164291332	Transcribed locus
229284_at	MAT2B	3.157948236	Methionine adenosyltransferase II, beta
211382_s_at	TACC2	3.118169542	transforming, acidic coiled-coil containing protein 2
202484_s_at	MBD2	3.106021654	methyl-CpG binding domain protein 2
203448_s_at	TERF1	3.08947616	telomeric repeat binding factor (NIMA-interacting) 1
212654_at	TPM2	3.088827294	tropomyosin 2 (beta)
225820_at	PHF17	3.056245367	PHD finger protein 17
225681_at	CTHRC1	3.039161606	collagen triple helix repeat containing 1
203208_s_at	MTFR1	3.035951814	mitochondrial fission regulator 1
226068_at	SYK	3.032098336	spleen tyrosine kinase
203207_s_at	MTFR1	3.017313696	mitochondrial fission regulator 1
226066_at	MITF	3.00734835	microphthalmia-associated transcription factor
219448_at	TMEM70	2.982971347	transmembrane protein 70
226463_at	ATP6V1C1	2.941948083	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
223240_at	FBXO8	2.929668397	F-box protein 8
204971_at	CSTA	2.882813803	cystatin A (stefin A)
227453_at	UNC13A	2.871161681	unc-13 homolog A (C. elegans)
219121_s_at	RBM35A	2.856443167	RNA binding motif protein 35A
