Common  name	Fold change	Description
Saa1	242.4	Serum amyloid A 1
Gm1960	96.9	Dendritic cell inflammatory protein 1
Cxcl9	66.3	Chemokine (C-X-C motif) ligand 9
Irg1	62.7	Immunoresponsive gene 1
Saa3	48	Serum amyloid A 3
Cbln1	30.2	Cerebellin 1 precursor protein
Marco	14.8	Macrophage receptor with collagenous structure
Ly6i	19.2	Lymphocyte antigen 6 complex, locus I
BC018473	17.2	2 days neonate thymus thymic cells cDNA
Noxo1	16.9	NADPH oxidase organizer 1
Saa2	15	Serum amyloid A 2
Orm2	14.2	Orosomucoid 2
Cbln1	13.4	Cerebellin 1 precursor protein
Cxcl2	11.9	Chemokine (C-X-C motif) ligand 2
Cxcl9	10.7	Chemokine (C-X-C motif) ligand 9
Hspa1b	-25.4	Heat-shock protein 1B
Fabp1	-15.2	Fatty acid binding protein 1, liver
MGC29978	-14.6	3-Ketoacyl-CoA thiolase B
