Accession no.	Symbol	Name	p Value	Average fold change after treatment in patients with NED	Average fold change after treatment in patients wtith recurrent disease
AK026158		Ichthyin	1.81E-05	151.07	0.05
NM_002307	LGALS7	Homo sapiens lectin, galactosidebinding, soluble, 7 (galectin 7)	2.87E-05	37.01	0.37
NM_002983	CCL3	Homo sapiens chemokine (C-C motif) ligand 3	0.000356	30.31	0.07
AW379749	CKAP2	Cytoskeleton associated protein 2	0.003906	0.47	1.27
BF663223	IL-8	Intraleukin-8	0.007087	0.46	1.31
NM_198173	GRHL3	Homo sapiens grainyhead-like 3 (Drosophila)	0.008016	5.306	0.11
BX648323	XIST	X (inactive)-specific transcript	0.008579	0.92	0.3
NM_005603	ATP8B1	ATPase, Class I, type 8B, member 1 (ATP8B1)	0.008949	1.15	0.09
NM_080926	LOC96610	Homo sapiens hypothetical protein similar to KIAA0187 gene product	0.012176	0.5	1.33
NM_153690	FAM43A	Family with sequence similarity 43, member A	0.017051	1.81	0.07
NM_000214	JAG1	Homo sapiens jagged 1 (Alagille syndrome)	0.021429	2.31	0.1
NM_007161	LST1	Homo sapiens leukocyte specific transcript 1	0.021534	3.56	0.18
NM_006783	GJB6	Homo sapiens gap junction protein, beta 6	0.02419	31.15	0.21
NM_024861		Homo sapiens hypothetical protein FLJ22671	0.024539	1.34	0.12
NM_018433	JMJD1A	Homo sapiens jumonji domain containing 1A	0.024734	0.91	0.18
