HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
FCER1G	ENSG00000158869	High affinity immunoglobulin epsilon receptor gamma-subunit precursor (FceRI gamma) (IgE Fc receptor gamma-subunit) (Fc-epsilon RI-gamma).	9.7	5.1E-13	1.1E-05
VSIG4	ENSG00000155659	V-set and immunoglobulin domain-containing protein 4 precursor (Z39Ig protein).	569.0	6.9E-13	1.1E-05
PSTPIP2	ENSG00000152229	Proline-serine-threonine phosphatase-interacting protein 2.	27.4	1.0E-12	1.1E-05
SLC31A2	ENSG00000136867	Probable low-affinity copper uptake protein 2 (hCTR2) (Copper transporter 2) (Solute carrier family 31 member 2).	5.8	1.1E-12	1.1E-05
GLUL	ENSG00000135821	Glutamine synthetase (EC 6.3.1.2) (Glutamate--ammonia ligase) (GS).	11.5	1.1E-12	1.1E-05
GALC	ENSG00000054983	Galactocerebrosidase precursor (EC 3.2.1.46) (GALCERase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase) (Galactocerebroside beta-galactosidase).	3.6	1.4E-12	1.1E-05
FPRL1	ENSG00000171049	FMLP-related receptor I (FMLP-R-I) (Lipoxin A4 receptor) (LXA4 receptor) (Formyl peptide receptor-like 1) (RFP) (HM63).	48.8	2.0E-12	1.1E-05
MFSD1	ENSG00000118855	major facilitator superfamily domain containing 1	2.9	2.2E-12	1.1E-05
CMKLR1	ENSG00000174600	Chemokine receptor-like 1 (G-protein coupled receptor DEZ) (G-protein coupled receptor ChemR23).	7.1	2.8E-12	1.1E-05
NINJ1	ENSG00000131669	Ninjurin-1 (Nerve injury-induced protein 1).	5.7	4.6E-12	1.1E-05
CEBPB	ENSG00000172216	CCAAT/enhancer-binding protein beta (C/EBP beta) (Nuclear factor NF-IL6) (Transcription factor 5).	4.5	5.0E-12	2.2E-05
BRI3	ENSG00000164713	Brain protein I3 (pRGR2).	3.3	8.2E-12	2.2E-05
SDCBP	ENSG00000137575	Syntenin-1 (Syndecan-binding protein 1) (Melanoma differentiation-associated protein 9) (MDA-9) (Scaffold protein Pbp1) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18).	2.3	8.5E-12	1.1E-05
NRP2	ENSG00000118257	Neuropilin-2 precursor (Vascular endothelial cell growth factor 165 receptor 2).	4.3	8.6E-12	2.2E-05
DMXL2	ENSG00000104093	Protein DmX-like 2 (Rabconnectin-3).	6.0	9.8E-12	2.2E-05
MPP1	ENSG00000130830	55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1).	4.9	1.2E-11	2.2E-05
C3AR1	ENSG00000171860	C3a anaphylatoxin chemotactic receptor (C3a-R) (C3AR).	11.0	1.3E-11	2.2E-05
IRAK3	ENSG00000090376	Interleukin-1 receptor-associated kinase 3 (EC 2.7.11.1) (IRAK-3) (IL-1 receptor-associated kinase M) (IRAK-M).	11.3	1.6E-11	1.1E-05
AGTRAP	ENSG00000177674	Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein).	5.2	1.6E-11	2.2E-05
SIGLEC7	ENSG00000168995	Sialic acid-binding Ig-like lectin 7 precursor (Siglec-7) (QA79 membrane protein) (Adhesion inhibitory recptor molecule 1) (AIRM-1) (p75) (D-siglec) (CDw328 antigen).	6.5	1.7E-11	2.2E-05
S100A9	ENSG00000163220	Protein S100-A9 (S100 calcium-binding protein A9) (Calgranulin-B) (Migration inhibitory factor-related protein 14) (MRP-14) (P14) (Leukocyte L1 complex heavy chain) (Calprotectin L1H subunit).	35.5	1.7E-11	2.2E-05
SCARB2	ENSG00000138760	Lysosome membrane protein 2 (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2).	4.4	1.9E-11	2.2E-05
NA	ENSG00000180672	NA	4.8	1.9E-11	2.2E-05
RNF130	ENSG00000113269	Goliath homolog precursor (RING finger protein 130).	4.4	1.9E-11	2.2E-05
PILRA	ENSG00000085514	Paired immunoglobin-like type 2 receptor alpha precursor (Inhibitory receptor PILR-alpha) (Cell surface receptor FDF03).	15.2	2.0E-11	2.2E-05
RAB20	ENSG00000139832	Ras-related protein Rab-20.	4.3	2.0E-11	2.2E-05
TLR2	ENSG00000137462	Toll-like receptor 2 precursor (Toll/interleukin 1 receptor-like protein 4) (CD282 antigen).	11.6	2.2E-11	1.1E-05
CYBA	ENSG00000051523	Cytochrome b-245 light chain (p22 phagocyte B-cytochrome) (Neutrophil cytochrome b 22 kDa polypeptide) (p22-phox) (p22phox) (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Superoxide-generating NADPH oxidase light chain subunit).	1.6	2.7E-11	2.2E-05
CD63	ENSG00000135404	CD63 antigen (Melanoma-associated antigen ME491) (Lysosome-associated membrane glycoprotein 3) (LAMP-3) (Ocular melanoma-associated antigen) (OMA81H) (Granulophysin) (Tetraspanin-30) (Tspan-30).	2.6	2.8E-11	2.2E-05
HEXA	ENSG00000140488	Beta-hexosaminidase alpha chain precursor (EC 3.2.1.52) (N-acetyl-beta-glucosaminidase) (Beta-N-acetylhexosaminidase) (Hexosaminidase A).	2.2	2.9E-11	2.2E-05
SAT	ENSG00000130066	Diamine acetyltransferase 1 (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1) (Putrescine acetyltransferase) (Polyamine N-acetyltransferase 1).	2.7	3.3E-11	2.2E-05
GSTO1	ENSG00000148834	Glutathione transferase omega-1 (EC 2.5.1.18) (GSTO 1-1).	2.3	3.5E-11	2.2E-05
TPD52L2	ENSG00000101150	Tumor protein D54 (hD54) (Tumor protein D52-like 2).	1.9	3.6E-11	2.2E-05
TLR1	ENSG00000174125	Toll-like receptor 1 precursor (Toll/interleukin-1 receptor-like protein) (TIL) (CD281 antigen).	3.1	4.4E-11	2.2E-05
CSF3R	ENSG00000119535	Granulocyte colony-stimulating factor receptor precursor (G-CSF-R) (CD114 antigen).	9.7	4.4E-11	2.2E-05
PNKD	ENSG00000127838	myofibrillogenesis regulator 1 isoform 2	6.3	4.6E-11	2.2E-05
NA	ENSG00000163694	NA	5.4	5.8E-11	2.2E-05
SLC8A1	ENSG00000183023	Sodium/calcium exchanger 1 precursor (Na(+)/Ca(2+)-exchange protein 1).	12.9	6.1E-11	3.2E-05
CD33	ENSG00000105383	Myeloid cell surface antigen CD33 precursor (Siglec-3) (gp67).	21.4	6.7E-11	3.2E-05
TYROBP	ENSG00000011600	TYRO protein tyrosine kinase-binding protein precursor (DNAX-activation protein 12) (Killer-activating receptor-associated protein).	6.4	7.1E-11	2.2E-05
TSPAN4	ENSG00000177769	Tetraspanin-4 (Tspan-4) (Transmembrane 4 superfamily member 7) (Novel antigen 2) (NAG-2).	3.9	7.2E-11	2.2E-05
KCNE3	ENSG00000175538	Potassium voltage-gated channel subfamily E member 3 (Minimum potassium ion channel-related peptide 2) (Potassium channel subunit beta MiRP2) (MinK-related peptide 2).	5.2	9.1E-11	3.2E-05
HTATIP2	ENSG00000109854	Oxidoreductase HTATIP2 (EC 1.1.1.-) (HIV-1 TAT-interactive protein 2) (30 kDa HIV-1 TAT-interacting protein).	1.9	1.0E-10	2.2E-05
