LUID	Gene Names	GenBank Accession Numbers
167210	Dcn	AV006268
163603	AI315037	AV014911
169031	Rpo1-1	AV166822
167223	1110030H10Rik	AV006329
168354	NA	AV134101
159368	Papola	AV088440
185879	C1galt1	BG071849
167799	Hnrpd	AV109563
159871	Cul4b	AV094741
166357	4930429A22Rik	AV025824
155846	NA	AV060445
153097	NA	AV040469
159651	NA	AV093665
191182	Glce	BG076378
183145	Sfrs2	BG069422
168015	Dgkg	AV123140
151706	Timm10	AV085126
164581	D3Ertd194e	AV083249
171401	Slc6a15	AA072842
188140	Dhx29	BG073813
187197	Rbm10	BG073010
155737	D2Bwg1335e	AV060143
170621	NA	AV145534
171449	Galk1	AI893215
184179	Senp3	BG070328
168257	2610312E17Rik	AV133996
165859	NA	AV023010
166126	Prkaa1	AV024706
188415	2810036K01Rik	BG074052
166308	D10Wsu102e	AV025581
167815	1500031M22Rik	AV111347
160494	AU021838	AV103670
159752	NA	AV094502
184543	Myc	BG070679
169069	NA	AV295889
170383	Hs6st3	AV122870
155832	1110001A12Rik	AV060562
166845	2410005K20Rik	AV030080
168329	Chc1	AV134074
157554	Paf53	AV135855
159600	2810434M15Rik	AV093566
178325	NA	BG064906
173264	NA	NA
168887	NA	AV124836
189236	Fkbp5	BG074750
183246	Myc	BG069354
180627	Hsp105	BG066973
619493	Myc	AA009268
155009	NA	AV055182
174115	NA	NA
169827	NA	AV134862
169611	Nipsnap1	AV140179
178976	2810421I24Rik	BG065510
157061	2310058A11Rik	AV112688
157079	NA	AV112829
155900	9430008C03Rik	AV061212
169000	NA	AV163754
151755	Rpl36	AV085214
166669	1500003O22Rik	AV029227
187525	Ppan	BG073300
168000	Usp36	AV123150
169110	NA	AV304656
164171	4921532K09Rik	AV074817
152514	Wdr43	AV070000
159593	NA	AV093560
178324	Nol1	BG064905
188850	Eif4e	BG074412
152861	2610312E17Rik	AV105025
159429	Mrpl16	AV088624
165138	Cdca7	AV086378
161062	NA	AV032261
157591	Aasdhppt	AV140944
619864	Ptdsr	AF304118
161382	Eif4e	AV033328
161204	Sdad1	AV032794
180872	Prpf3	BG067200
163764	NA	AV016155
165509	Wdr43	AV017742
157281	Nol8	AV114016
176812	NA	AW538502
181652	Tex292	BG067933
175107	NA	AA958579
171087	0610042I15Rik	AI322364
155825	1810063B05Rik	AV060457
168492	Nup54	AV140192
157736	Aasdhppt	AV141803
163454	C630002B14Rik	AV013403
164946	Usp10	AV084418
168956	Ralgds	AV147908
157254	Mphosph10	AV113797
163127	Nol1	AV010509
165645	Narfl	AV020020
154384	NA	AV049737
178576	Wdr43	BG065141
165528	Rbm13	AV017579
190110	Eml4	BG075495
183099	1600012F09Rik	BG069301
172149	9030624J02Rik	AI839586
165424	NA	AV016868
151508	NA	AV090158
162016	NA	AV039266
183747	NA	BG069928
