Category	Term	Count in Selected Genes	Count in Total Population	P-value	Gene	Title
GO	nucleolus	8	54	1.61928E-06	10514	MYB binding protein (P160) 1a
GO	nucleolus	8	54	1.61928E-06	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	nucleolus	8	54	1.61928E-06	1736	dyskeratosis congenita 1, dyskerin
GO	nucleolus	8	54	1.61928E-06	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	nucleolus	8	54	1.61928E-06	4839	nucleolar protein 1, 120kDa
GO	nucleolus	8	54	1.61928E-06	65083	nucleolar protein family 6 (RNA-associated)
GO	nucleolus	8	54	1.61928E-06	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	nucleolus	8	54	1.61928E-06	9221	nucleolar and coiled-body phosphoprotein 1
GO	rRNA processing	7	39	1.93786E-06	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	rRNA processing	7	39	1.93786E-06	1736	dyskeratosis congenita 1, dyskerin
GO	rRNA processing	7	39	1.93786E-06	22984	programmed cell death 11
GO	rRNA processing	7	39	1.93786E-06	23076	KIAA0179
GO	rRNA processing	7	39	1.93786E-06	23404	exosome component 2
GO	rRNA processing	7	39	1.93786E-06	9136	RNA, U3 small nucleolar interacting protein 2
GO	rRNA processing	7	39	1.93786E-06	9221	nucleolar and coiled-body phosphoprotein 1
GO	ribosome biogenesis	5	15	2.23867E-06	23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
GO	ribosome biogenesis	5	15	2.23867E-06	51154	chromosome 1 open reading frame 33
GO	ribosome biogenesis	5	15	2.23867E-06	51388	comparative gene identification transcript 37
GO	ribosome biogenesis	5	15	2.23867E-06	55299	brix domain containing 2
GO	ribosome biogenesis	5	15	2.23867E-06	65083	nucleolar protein family 6 (RNA-associated)
GO	rRNA metabolism	7	41	2.7593E-06	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	rRNA metabolism	7	41	2.7593E-06	1736	dyskeratosis congenita 1, dyskerin
GO	rRNA metabolism	7	41	2.7593E-06	22984	programmed cell death 11
GO	rRNA metabolism	7	41	2.7593E-06	23076	KIAA0179
GO	rRNA metabolism	7	41	2.7593E-06	23404	exosome component 2
GO	rRNA metabolism	7	41	2.7593E-06	9136	RNA, U3 small nucleolar interacting protein 2
GO	rRNA metabolism	7	41	2.7593E-06	9221	nucleolar and coiled-body phosphoprotein 1
GO	RNA metabolism	18	330	3.691E-06	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	RNA metabolism	18	330	3.691E-06	10785	WD repeat domain 4
GO	RNA metabolism	18	330	3.691E-06	10799	ribonuclease P 40kDa subunit
GO	RNA metabolism	18	330	3.691E-06	1736	dyskeratosis congenita 1, dyskerin
GO	RNA metabolism	18	330	3.691E-06	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	RNA metabolism	18	330	3.691E-06	22984	programmed cell death 11
GO	RNA metabolism	18	330	3.691E-06	23076	KIAA0179
GO	RNA metabolism	18	330	3.691E-06	23404	exosome component 2
GO	RNA metabolism	18	330	3.691E-06	3035	histidyl-tRNA synthetase
GO	RNA metabolism	18	330	3.691E-06	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	RNA metabolism	18	330	3.691E-06	4234	methyltransferase like 1
GO	RNA metabolism	18	330	3.691E-06	56342	peter pan homolog (Drosophila)
GO	RNA metabolism	18	330	3.691E-06	58517	RNA binding motif protein 25
GO	RNA metabolism	18	330	3.691E-06	6432	splicing factor, arginine/serine-rich 7, 35kDa
GO	RNA metabolism	18	330	3.691E-06	80324	pseudouridylate synthase 1
GO	RNA metabolism	18	330	3.691E-06	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	RNA metabolism	18	330	3.691E-06	9136	RNA, U3 small nucleolar interacting protein 2
GO	RNA metabolism	18	330	3.691E-06	9221	nucleolar and coiled-body phosphoprotein 1
GO	RNA processing	16	269	4.37534E-06	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	RNA processing	16	269	4.37534E-06	10785	WD repeat domain 4
GO	RNA processing	16	269	4.37534E-06	10799	ribonuclease P 40kDa subunit
GO	RNA processing	16	269	4.37534E-06	1736	dyskeratosis congenita 1, dyskerin
GO	RNA processing	16	269	4.37534E-06	22984	programmed cell death 11
GO	RNA processing	16	269	4.37534E-06	23076	KIAA0179
GO	RNA processing	16	269	4.37534E-06	23404	exosome component 2
GO	RNA processing	16	269	4.37534E-06	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	RNA processing	16	269	4.37534E-06	4234	methyltransferase like 1
GO	RNA processing	16	269	4.37534E-06	56342	peter pan homolog (Drosophila)
GO	RNA processing	16	269	4.37534E-06	58517	RNA binding motif protein 25
GO	RNA processing	16	269	4.37534E-06	6432	splicing factor, arginine/serine-rich 7, 35kDa
GO	RNA processing	16	269	4.37534E-06	80324	pseudouridylate synthase 1
GO	RNA processing	16	269	4.37534E-06	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	RNA processing	16	269	4.37534E-06	9136	RNA, U3 small nucleolar interacting protein 2
GO	RNA processing	16	269	4.37534E-06	9221	nucleolar and coiled-body phosphoprotein 1
GO	sterol biosynthesis	5	24	2.82875E-05	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	sterol biosynthesis	5	24	2.82875E-05	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	sterol biosynthesis	5	24	2.82875E-05	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	sterol biosynthesis	5	24	2.82875E-05	3422	isopentenyl-diphosphate delta isomerase 1
GO	sterol biosynthesis	5	24	2.82875E-05	6307	sterol-C4-methyl oxidase-like
GO	tRNA metabolism	7	59	3.3091E-05	10785	WD repeat domain 4
GO	tRNA metabolism	7	59	3.3091E-05	10799	ribonuclease P 40kDa subunit
GO	tRNA metabolism	7	59	3.3091E-05	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	tRNA metabolism	7	59	3.3091E-05	3035	histidyl-tRNA synthetase
