Probe Set ID	Gene Symbol	scp51/scp58Fold Change	sw480/scp58Fold Change	Gene Title
230560_at	STXBP6	21.37268836	12.9280637	syntaxin binding protein 6 (amisyn)
203797_at	VSNL1	12.49666739	4.936907458	visinin-like 1
203798_s_at	VSNL1	12.38235386	3.991462437	visinin-like 1
220994_s_at	STXBP6	8.689967804	4.621379803	syntaxin binding protein 6 (amisyn)
218677_at	S100A14	6.555538481	3.6124911	S100 calcium binding protein A14
203234_at	UPP1	6.339958014	5.106050916	uridine phosphorylase 1
201669_s_at	MARCKS	6.010137138	5.084353647	myristoylated alanine-rich protein kinase C substrate
201670_s_at	MARCKS	4.572413335	3.78186402	myristoylated alanine-rich protein kinase C substrate
213002_at	MARCKS	4.532943834	3.154074923	myristoylated alanine-rich protein kinase C substrate
214321_at	NOV	4.319242002	3.250309581	nephroblastoma overexpressed gene
218671_s_at	ATPIF1	4.202519244	4.799907711	ATPase inhibitory factor 1
238029_s_at	SLC16A14	4.030202599	5.279010402	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
225203_at	PPP1R16A	3.89882663	2.746338767	protein phosphatase 1, regulatory (inhibitor) subunit 16A
209301_at	CA2	3.859045655	3.669075122	carbonic anhydrase II
220318_at	EPN3	3.679409662	4.0102204	epsin 3
218692_at	GOLSYN	3.663820199	3.837816176	Golgi-localized protein
205107_s_at	EFNA4	3.587733083	3.839129244	ephrin-A4
222496_s_at	RBM47	3.427324499	3.33316132	RNA binding motif protein 47
203445_s_at	CTDSP2	3.408716435	4.070896536	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
219401_at	XYLT2	3.403248103	3.228279626	xylosyltransferase II
206542_s_at	SMARCA2	3.373065546	5.273667676	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
224785_at	FAM100B	3.322098174	3.817470489	family with sequence similarity 100, member B
209824_s_at	ARNTL	3.301525957	3.235993359	aryl hydrocarbon receptor nuclear translocator-like
204472_at	GEM	3.257584794	4.158676861	GTP binding protein overexpressed in skeletal muscle
211382_s_at	TACC2	3.118169545	3.268560648	transforming, acidic coiled-coil containing protein 2
202484_s_at	MBD2	3.106021658	3.219719364	methyl-CpG binding domain protein 2
212654_at	TPM2	3.088827298	3.805052025	tropomyosin 2 (beta)
225820_at	PHF17	3.05624537	3.40422126	PHD finger protein 17
225681_at	CTHRC1	3.039161605	2.281998858	collagen triple helix repeat containing 1
203208_s_at	MTFR1	3.035951817	3.276636297	mitochondrial fission regulator 1
226068_at	SYK	3.032098338	2.097628831	spleen tyrosine kinase
203207_s_at	MTFR1	3.0173137	3.42333758	mitochondrial fission regulator 1
226066_at	MITF	3.00734835	2.78923014	microphthalmia-associated transcription factor
226463_at	ATP6V1C1	2.941948084	3.541645257	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
201668_x_at	MARCKS	2.846911785	2.280371805	myristoylated alanine-rich protein kinase C substrate
225897_at	MARCKS	2.830464222	2.163069599	myristoylated alanine-rich protein kinase C substrate
224650_at	MAL2	2.767841775	2.570425561	mal, T-cell differentiation protein 2
227231_at	KIAA1211	2.753142914	4.091102621	KIAA1211 protein
238017_at	RDHE2	2.62591948	2.855245473	epidermal retinal dehydrogenase 2
225525_at	CTA-221G9.4 /// LOC100131004	2.608844983	3.166012195	KIAA1671 protein /// hypothetical protein LOC100131004
1568609_s_at	FAM91A2 /// FLJ39739	2.576694131	2.581074426	family with sequence similarity 91, member A2 /// hypothetical FLJ39739
202626_s_at	LYN	2.535398549	3.072062403	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
219745_at	TMEM180	2.488749771	2.397689636	transmembrane protein 180
222714_s_at	LACTB2	2.483726412	2.837788177	lactamase, beta 2
1555241_at	C8orf59	2.473221134	2.837173243	chromosome 8 open reading frame 59
220239_at	KLHL7	2.471121078	2.46301575	kelch-like 7 (Drosophila)
225864_at	FAM84B	2.456008871	2.333258391	family with sequence similarity 84, member B
219388_at	GRHL2	2.444860601	2.206885725	grainyhead-like 2 (Drosophila)
202289_s_at	TACC2	2.444651895	2.893415374	transforming, acidic coiled-coil containing protein 2
226123_at	CHD7	2.405233165	1.747363092	chromodomain helicase DNA binding protein 7
204976_s_at	AMMECR1	2.400693159	2.650741795	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
230361_at	KIAA1833	2.374754591	2.63384415	hypothetical protein KIAA1833
