Accession ID	Genename	Fold change	P-value
T54298	PPAR (gamma) angiopoietin-related protein (PGAR)	18.3	0.0001
H95633	Crystallin, alpha A	16.5	0.0001
T73468	glutathione S-transferase A2	11.4	0.0001
N59772	ESTs	9.9	0.0001
AA664406	Complement component 4A	9.7	0.0001
AA668470	Regulator of G-protein signaling 5	8.8	0.0001
AA169469	Pyruvate dehydrogenase kinase, isoenzyme 4	8.4	0.0001
AA700054	Adipose differentiation-related protein	8	0.0001
H18608	ESTs, highly similar to organic anion transporter 3	7.9	0.0001
AA150532	Keratin 6A	7.6	0.0001
H09076	Cytochrome P450, subfamily IIJ polypeptide 2	7.4	0.0001
AA136707	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	7.2	0.0001
W72294	Small inducible cytokine subfamily B, member 14	7.1	0.0001
N30096	Glutathione S-transferase A3	6.6	0.0002
AA454159	Homo sapiens HRBPiso mRNA, complete cds	6.4	0.0001
AA017544	Regulator of G-protein signaling 1	6.3	0.0001
AA102107	Glutamyl aminopeptidase (aminopeptidase A)	6.3	0.0001
AA488070	Immunoglobulin kappa constant	6.2	0.0002
N92646	Colony stimulating factor 2 receptor, alpha, low-affinity	6.2	0.0001
N93191	Homo sapiens cDNA: FLJ22811 fis, clone KAIA2944	6.1	0.0001
R50354	Leukemia inhibitory factor (cholinergic differentiation factor)	5.9	0.0001
AA432292	Hypothetical protein DKFZp434F0318	5.8	0.0001
T67053	Immunoglobulin lambda locus	5.7	0.0001
AA486082	Serum/glucocorticoid-regulated kinase	5.6	0.0001
AA598601	Insulin-like growth factor binding protein 3	5.6	0.0001
N58170	Kidney- and liver-specific gene	5.6	0.0002
H15366	ESTs	5.3	0.0001
H88329	Calbindin 1 (28kDa)	5.2	0.0001
H38650	Solute carrier family 2, member 5	5.1	0.0001
R45059	Vascular endothelial growth factor (VEGF)	5.1	0.0001
