Pathway	Gene Symbol	Entrez Gene ID
angiogenesis	CDH5	31
angiogenesis	HPSE	721
angiogenesis	LECT1	894
angiogenesis	NUDT6	981
angiogenesis	COL4A3	1335
angiogenesis	CSF3	1511
angiogenesis	JAG1	1913
angiogenesis	ECGF1	1964
angiogenesis	EDG1	1972
angiogenesis	EFNA1	1995
angiogenesis	EFNA2	1996
angiogenesis	EFNA3	1997
angiogenesis	EFNA5	1999
angiogenesis	EFNB2	2001
angiogenesis	EGF	2003
angiogenesis	ENG	2097
angiogenesis	EPAS1	2111
angiogenesis	EPHB4	2130
angiogenesis	EREG	2149
angiogenesis	AKT1	2150
angiogenesis	F2	2203
angiogenesis	FGF1	2326
angiogenesis	FGF2	2327
angiogenesis	FGF6	2332
angiogenesis	FGFR3	2341
angiogenesis	FIGF	2353
angiogenesis	STAB1	2655
angiogenesis	FLT1	2696
angiogenesis	GAPDH	3355
angiogenesis	ANGPTL3	3851
angiogenesis	ANG	3971
angiogenesis	ANGPT1	4000
angiogenesis	ANGPT2	4030
angiogenesis	ANPEP	4146
angiogenesis	CXCL1	4228
angiogenesis	CXCL2	4230
angiogenesis	CXCL3	4231
angiogenesis	HGF	4475
angiogenesis	HIF1A	4494
angiogenesis	ID1	4734
angiogenesis	ID3	4736
angiogenesis	IFNA1	4771
angiogenesis	IFNB1	4791
angiogenesis	IFNG	4792
angiogenesis	IGF1	4811
angiogenesis	IL1B	4865
angiogenesis	IL6	4880
angiogenesis	IL8	4886
angiogenesis	IL10	4892
angiogenesis	IL12A	4898
angiogenesis	IL18	4912
angiogenesis	CXCL10	4932
angiogenesis	ITGAV	4978
angiogenesis	ITGB3	4983
angiogenesis	KDR	5098
angiogenesis	LAMA5	5286
angiogenesis	LEP	5329
angiogenesis	MDK	5582
angiogenesis	CXCL9	5640
angiogenesis	MMP2	5666
angiogenesis	MMP9	5670
angiogenesis	MMP19	5680
angiogenesis	NOTCH4	6072
angiogenesis	NPPB	6087
angiogenesis	NPR1	6090
angiogenesis	ANGPTL4	6417
angiogenesis	TNFRSF12A	6562
angiogenesis	PDGFA	6686
angiogenesis	PDGFB	6691
angiogenesis	PECAM1	6800
angiogenesis	SERPINF1	6807
angiogenesis	PF4	6837
angiogenesis	PGF	6864
angiogenesis	PLAU	6946
angiogenesis	PLG	6971
angiogenesis	VEGFA	7422
angiogenesis	AGGF1	7549
angiogenesis	STAB2	7861
angiogenesis	B2M	8320
angiogenesis	PLXDC1	8494
angiogenesis	PTEN	8566
angiogenesis	PTGS1	8604
angiogenesis	PTGS2	8605
angiogenesis	BAI1	8625
angiogenesis	PTN	8663
angiogenesis	ACTB	8958
angiogenesis	RPS27A	9145
angiogenesis	CCL2	9238
angiogenesis	CCL11	9246
angiogenesis	CXCL6	9262
angiogenesis	CXCL11	9263
angiogenesis	CXCL5	9264
angiogenesis	TEK	10436
angiogenesis	TGFA	10461
angiogenesis	TGFB1	10462
angiogenesis	TGFB2	10464
angiogenesis	TGFB3	10465
angiogenesis	TGFBR1	10468
angiogenesis	THBS1	10479
angiogenesis	THBS2	10480
angiogenesis	TIE1	10493
angiogenesis	TIMP1	10494
angiogenesis	TIMP2	10495
angiogenesis	TIMP3	10496
angiogenesis	TNF	10539
angiogenesis	TNFAIP2	10542
angiogenesis	TNNT1	10552
angiogenesis	VEGFB	11123
angiogenesis	VEGFC	11124
angiogenesis	COL18A1	12108
angiogenesis	NRP2	12937
angiogenesis	NRP1	12938
angiogenesis	SPHK1	12980
angiogenesis	SH2D2A	13130
angiogenesis	HAND2	13561
angiogenesis	TNFSF15	14025
angiogenesis	PROK2	60675
apoptosis	CHUK	1160
apoptosis	PARP1	1496
apoptosis	PLCG1	1630
apoptosis	DFFA	1810
apoptosis	DFFB	1811
apoptosis	ENDOG	2094
apoptosis	ACIN1	2498
apoptosis	IKBKB	2852
apoptosis	GAS2	3483
apoptosis	APAF1	4556
apoptosis	HRAS	4634
apoptosis	BIRC2	4649
apoptosis	BIRC3	4660
apoptosis	FAS	4861
apoptosis	FASLG	4871
apoptosis	KRAS	5147
apoptosis	LMNA	5377
apoptosis	MAP3K5	5603
apoptosis	NFKB1	6020
apoptosis	NFKB2	6021
apoptosis	NFKBIA	6022
apoptosis	NFKBIB	6023
apoptosis	NRAS	6102
apoptosis	PLCG2	6964
apoptosis	CYCS	7069
apoptosis	PRKCA	8025
apoptosis	PRKCE	8050
apoptosis	PRKCQ	8105
apoptosis	MAPK1	8136
apoptosis	MAPK3	8137
apoptosis	MAPK8	8152
