Gene	Probeset	pvalue	Fold
AKR1C1	209699_x_at	0.006038	1.422
AKR1C3	209160_at	0.01287	1.568
CD36	206488_s_at	0.018398	1.962
F2R	203989_x_at	0.0154	1.674
HNOEL-iso	218162_at	0.009202	1.566
HTR2B	206638_at	0.015906	1.789
NULL	214841_at	0.001344	1.409
NULL	212992_at	0.007678	1.594
SYNCOILIN	221276_s_at	0.022739	2.237
ZNF161	202171_at	0.000941	1.261
ACTB	221900_at	0.002894	-1.312
ACTN1	211160_x_at	0.00422	-1.344
AEBP1	201792_at	0.009086	-1.337
BACE2	217867_x_at	0.004766	-1.597
CCNE1	213523_at	0.000793	-1.211
CMAH	205518_s_at	0.003571	-1.657
COL18A1	209082_s_at	0.012286	-1.335
COL7A1	204136_at	0.025893	-1.714
CTGF	209101_at	0.023313	-1.859
CTNNAL1	202468_s_at	0.009274	-1.29
DDX17	208719_s_at	0.004211	-1.256
DKFZP586P0	36552_at	0.00705	-1.249
DONSON	221677_s_at	0.004092	-1.332
DPYSL3	201431_s_at	0.021402	-1.431
FLJ10707	221806_s_at	0.018242	-1.563
FLJ13479	219047_s_at	0.001366	-1.198
FLJ20006	208246_x_at	0.023963	-1.429
GMPPB	219920_s_at	0.000818	-1.191
H1FX	204805_s_at	0.003766	-1.407
HMG2L1	212596_s_at	0.014222	-1.318
HSF1	202344_at	0.002464	-1.255
HSXQ28ORF	213334_x_at	0.001981	-1.219
IL6	205207_at	0.030856	-2.287
INHBA	210511_s_at	0.005948	-2.395
ITGA3	201474_s_at	0.001205	-1.195
KIAA0247	202181_at	0.005587	-1.296
KIAA0618	213670_x_at	0.002339	-1.24
KIAA1199	212942_s_at	0.002861	-1.791
LIF	205266_at	0.009604	-1.333
LPP	202822_at	0.004454	-1.228
MAP2K3	215498_s_at	0.024464	-1.403
MARS	213671_s_at	0.01775	-1.444
MGC1203	221912_s_at	0.000572	-1.256
MGC5384	208137_x_at	0.01448	-1.34
MMP3	205828_at	0.030386	-1.834
NFKB2	209636_at	0.024485	-1.414
NK4	203828_s_at	0.012132	-2.053
NR3C1	211671_s_at	0.010407	-1.341
NULL	214722_at	0.034801	-1.649
NULL	219386_s_at	0.039896	-1.605
NULL	213135_at	0.001545	-1.35
NULL	217679_x_at	0.019261	-1.345
NULL	215903_s_at	0.004263	-1.257
NULL	213295_at	0.0054	-1.256
PME-1	217841_s_at	0.002745	-1.396
PME-1	49077_at	0.014671	-1.356
PNN	212036_s_at	0.006626	-1.305
PRO2521	219233_s_at	0.01615	-1.32
PTGS1	205128_x_at	0.001076	-2.296
PTGS1	215813_s_at	0.001605	-2.2
PTGS1	205127_at	0.0238	-1.483
PTPRE	221840_at	0.013054	-1.308
RAD23A	201046_s_at	0.002274	-1.256
RANBP9	202583_s_at	0.00091	-1.264
RASGRP1	205590_at	0.000111	-1.225
RBPMS	209488_s_at	0.018154	-1.385
RELB	205205_at	0.01151	-1.583
RIG	221127_s_at	0.020808	-1.614
RPL27	213642_at	0.012124	-1.424
RUNX1	211180_x_at	0.013567	-1.43
SCYA11	210133_at	0.003311	-5.112
SCYA2	216598_s_at	0.068453	-2.687
SCYB6	206336_at	0.024522	-1.79
SLC1A3	202800_at	0.024096	-1.442
SLC21A11	219229_at	0.011755	-1.405
SRPUL	205499_at	0.030897	-1.6
T1A-2	204879_at	0.009682	-1.526
TIMP3	201150_s_at	0.016177	-1.787
TNFRSF11B	204932_at	0.008622	-1.983
TNFRSF11B	204933_s_at	0.012736	-1.885
TNFRSF21	218856_at	0.003048	-1.359
TNFSF4	207426_s_at	0.030758	-1.735
