Probe Set	Gene Symbol	Gene Title
218434_s_at	AACS	acetoacetyl-CoA synthetase
205434_s_at	AAK1	AP2 associated kinase 1
225522_at	AAK1	AP2 associated kinase 1
204638_at	ACP5	acid phosphatase 5, tartrate resistant
205745_x_at	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)
213532_at	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)
206134_at	ADAMDEC1	ADAM-like, decysin 1
205268_s_at	ADD2	adducin 2 (beta)
212502_at	ADO	2-aminoethanethiol (cysteamine) dioxygenase
229309_at	ADRB1	adrenergic, beta-1-, receptor
225889_at	AEBP2	AE binding protein 2
211986_at	AHNAK	AHNAK nucleoprotein
212173_at	AK2	adenylate kinase 2
228840_at	AMOTL1	angiomotin like 1
223092_at	ANKH	ankylosis, progressive homolog (mouse)
223094_s_at	ANKH	ankylosis, progressive homolog (mouse)
226663_at	ANKRD10	ankyrin repeat domain 10
227260_at	ANKRD10	Ankyrin repeat domain 10
201306_s_at	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
205083_at	AOX1	aldehyde oxidase 1
204561_x_at	APOC2 /// APOC4	apolipoprotein C-II /// apolipoprotein C-IV
200602_at	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)
211277_x_at	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)
214953_s_at	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)
206298_at	ARHGAP22	Rho GTPase activating protein 22
216620_s_at	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10
218501_at	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3
223695_s_at	ARSD	arylsulfatase D
225280_x_at	ARSD	arylsulfatase D
225286_at	ARSD	arylsulfatase D
230131_x_at	ARSD	arylsulfatase D
204998_s_at	ATF5	activating transcription factor 5
204311_at	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide
213106_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
239457_at	ATP8B3	ATPase, class I, type 8B, member 3
223339_at	ATPIF1	ATPase inhibitory factor 1
204092_s_at	AURKA	aurora kinase A
208079_s_at	AURKA	aurora kinase A
219218_at	BAHCC1	BAH domain and coiled-coil containing 1
204493_at	BID	BH3 interacting domain death agonist
211725_s_at	BID	BH3 interacting domain death agonist
227143_s_at	BID	BH3 interacting domain death agonist
205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)
216091_s_at	BTRC	beta-transducin repeat containing
205839_s_at	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1
209182_s_at	C10orf10	chromosome 10 open reading frame 10
1559266_s_at	C10orf140	chromosome 10 open reading frame 140
225372_at	C10orf54	chromosome 10 open reading frame 54
224435_at	C10orf58	chromosome 10 open reading frame 58
228155_at	C10orf58	chromosome 10 open reading frame 58
225825_at	C20orf194	chromosome 20 open reading frame 194
226607_at	C20orf194	chromosome 20 open reading frame 194
1553311_at	C20orf197	chromosome 20 open reading frame 197
218081_at	C20orf27	chromosome 20 open reading frame 27
241233_x_at	C21orf81	chromosome 21 open reading frame 81
1552849_at	C2orf65	chromosome 2 open reading frame 65
1555148_a_at	C2orf65	chromosome 2 open reading frame 65
203024_s_at	C5orf15	chromosome 5 open reading frame 15
228083_at	CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4
210244_at	CAMP	cathelicidin antimicrobial peptide
220162_s_at	CARD9	caspase recruitment domain family, member 9
228994_at	CCDC24	coiled-coil domain containing 24
230896_at	CCDC4	coiled-coil domain containing 4
220389_at	CCDC81	coiled-coil domain containing 81
210548_at	CCL23	chemokine (C-C motif) ligand 23
210549_s_at	CCL23	chemokine (C-C motif) ligand 23
224240_s_at	CCL28	chemokine (C-C motif) ligand 28
205899_at	CCNA1	cyclin A1
203418_at	CCNA2	cyclin A2
209543_s_at	CD34	CD34 molecule
217849_s_at	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)
224428_s_at	CDCA7	cell division cycle associated 7
214907_at	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21
207205_at	CEACAM4	carcinoembryonic antigen-related cell adhesion molecule 4
243048_at	CECR7	cat eye syndrome chromosome region, candidate 7
205382_s_at	CFD	complement factor D (adipsin)
204193_at	CHKB	choline kinase beta
209763_at	CHRDL1	chordin-like 1
208659_at	CLIC1	chloride intracellular channel 1
202403_s_at	COL1A2	collagen, type I, alpha 2
52651_at	COL8A2	collagen, type VIII, alpha 2
218048_at	COMMD3	COMM domain containing 3
201940_at	CPD	carboxypeptidase D
201941_at	CPD	carboxypeptidase D
228365_at	CPNE8	copine VIII
241706_at	CPNE8	copine VIII
1554487_a_at	CREBL1	cAMP responsive element binding protein-like 1
205081_at	CRIP1	cysteine-rich protein 1 (intestinal)
219049_at	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1
201360_at	CST3	cystatin C
201906_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
203666_at	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
217889_s_at	CYBRD1	cytochrome b reductase 1
228665_at	CYYR1	cysteine/tyrosine-rich 1
235044_at	CYYR1	cysteine/tyrosine-rich 1
225442_at	DDR2	discoidin domain receptor tyrosine kinase 2
234915_s_at	DENR	density-regulated protein
224872_at	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)
201681_s_at	DLG5	discs, large homolog 5 (Drosophila)
212820_at	DMXL2	Dmx-like 2
215761_at	DMXL2	Dmx-like 2
221781_s_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10
221782_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10
225174_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10
232843_s_at	DOCK8	dedicator of cytokinesis 8
