Molecule (CD Number)	NCBI Name	NCBI Other Names
CD60b	carbohydrate	carbohydrate
CD1a	CD1A	CD1
CD1b	CD1B	CD1
CD1c	CD1C	CD1
CD1d	CD1D	none
CD1e	CD1E	HSCDIEL
CD2	CD2	SRBC; T11
CD3	see CD3D, CD3E, CD3G	see CD3D, CD3E, CD3G
CD3d	CD3D	CD3-DELTA; T3D
CD3e	CD3E	CD3-EPSILON; T3E; TCRE
CD3g	CD3G	CD3-GAMMA; T3G
CD4	CD4	none
CD5	CD5	LEU1; T1
CD6	CD6	TP120
CD7	CD7	GP40; LEU-9; TP41; Tp40
CD8a	CD8A	CD8; Leu2; MAL; p32
CD8b	CD8B1	CD8B; LYT3; Leu2; Ly3
CD9	CD9	BA2; DRAP-27; MIC3; MRP-1; P24
CD10	MME	CALLA; CD10; NEP
CD11a	ITGAL	CD11A; LFA-1; LFA1A
CD11b	ITGAM	CD11B; CR3A; MAC-1; MAC1A; MO1A
CD11c	ITGAX	CD11C
CD11d	ITGAD	ADB2; CD11D
CDW12	CDw12	CDw12; p90-120
CD13	ANPEP	CD13; LAP1; PEPN; gp150
CD14	CD14	none
CD15	FUT4	CD15; ELFT; FCT3A; FUC-TIV
CD16a	FCGR3A	CD16; FCG3; FCGR3; IGFR3
CD16b	FCGR3B	CD16; FCG3; FCGR3
CD17	carbohydrate	carbohydrate
CD18	ITGB2	CD18; LAD; LCAMB; LFA-1; MF17; MFI7
CD19	CD19	B4; MGC12802
CD20	MS4A1	B1; Bp35; CD20; LEU-16; MGC3969; MS4A2; S7
CD21	CR2	C3DR; CD21
CD22	CD22	SIGLEC-2
CD23	FCER2	CD23; CD23A; FCE2; IGEBF
CD24	CD24	CD24A
CD25	IL2RA	CD25; IL2R; TCGFR
CD26	DPP4	ADABP; ADCP2; CD26; DPPIV; TP103
CD27	TNFRSF7	CD27; MGC20393; S152; T14; Tp55
CD28	CD28	Tp44
CD29	ITGB1	CD29; FNRB; GPIIA; MDF2; MSK12; VLAB
CD30	TNFRSF8	CD30; D1S166E; KI-1
CD31	PECAM1	CD31
CD32a	FCGR2A	CD32; CDw32; FCG2; FCGR2; FCGR2A1; FcGR; IGFR2; MGC23887; MGC30032
CD32b	FCGR2B	CD32; FCG2; FCGR2; IGFR2
CD32c	FCGR2C	CD32; FcgammaRIIC
CD33	CD33	SIGLEC-3; p67
CD34	CD34	none
CD35	CR1	C3BR; CD35
CD36	CD36	FAT; GP3B; GP4; GPIV; PASIV; SCARB3
CD37	CD37	GP52-40
CD38	CD38	T10
CD39	ENTPD1	ATPDase; CD39; NTPDase-1
CD40	CD40	p50; Bp50; CDW40; MGC9013; TNFRSF5
CD41	ITGA2B	CD41; CD41B; GP2B; GPIIb; GTA
CD42a	GP9	CD42a
CD42b	GP1BA	BSS; CD42B; CD42b-alpha; GP1B; MGC34595
CD42c	GP1BB	CD42c
CD42d	GP5	CD42d
CD43	SPN	CD43; GPL115; LSN
CD44	CD44	CDW44; ECMR-III; IN; INLU; LHR; MC56; MDU2; MDU3; MGC10468; MIC4; MUTCH-I; Pgp1
CD45	PTPRC	B220; CD45; GP180; LCA; LY5; T200
CD45RA	PTPRC
CD45RB	PTPRC
CD45RC	PTPRC
CD45RO	PTPRC
CD46	MCP	CD46; MGC26544; MIC10; TLX; TRA2.10
CD47	CD47	IAP; MER6; OA3
CD48	CD48	BCM1; BLAST; BLAST1; MEM-102; SLAMF2; hCD48; mCD48
CD49a	ITGA1	CD49a; VLA1
CD49b	ITGA2	BR; CD49B; VLAA2
CD49c	ITGA3	CD49C; GAP-B3; GAPB3; MSK18; VCA-2; VL3A; VLA3a
CD49d	ITGA4	CD49D
CD49e	ITGA5	CD49e; FNRA; VLA5A
CD49f	ITGA6	CD49f
CD50	ICAM3	CD50; CDW50; ICAM-R
CD51	ITGAV	CD51; MSK8; VNRA
CD52	CD52	CD52
CD53	CD53	MOX44
CD54	ICAM1	BB2; CD54
CD55	DAF	CD55; CR; TC
CD56	NCAM1	CD56; MSK39; NCAM
CD57	CD57	HNK-1; LEU7; NK-1
CD58	CD58	LFA3
CD59	CD59	MGC2354; MIC11; MIN1; MIN2; MIN3; MSK21; PROTECTIN
CD60a	carbohydrate	carbohydrate
CD60b	carbohydrate	carbohydrate
CD60c	carbohydrate	carbohydrate
CD61	ITGB3	CD61; GP3A; GPIIIa
CD62E	SELE	CD62E; ELAM; ELAM1; ESEL; LECAM2
CD62L	SELL	CD62L; LAM-1; LAM1; LECAM1; LNHR; LSEL; LYAM1; Leu-8; Lyam-1; PLNHR; TQ1; hLHRc
CD62P	SELP	CD62; CD62P; GMP140; GRMP; PADGEM; PSEL
CD63	CD63	LAMP-3; ME491; MLA1; OMA81H
CD64a	FCGR1A	CD64; FCRI; IGFR1
CD65	carbohydrate	carbohydrate
CD65s	carbohydrate	carbohydrate
CD66a	CEACAM1	BGP; BGP1; BGPI; CD66; CD66A
CD66b	CEACAM8	CD66b; CD67; CGM6; NCA-95
CD66c	CEACAM6	CD66c; CEAL; NCA
CD66d	CEACAM3	CD66D; CGM1
CD66e	CEACAM5	CD66e; CEA
CD66f	PSG1	B1G1; CD66f; PBG1; PSBG1; PSGGA; SP1
