Gene	Description
TTC15	Tetratricopeptide repeat domain 15
ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G
ZNF407	Zinc finger protein 407
NUP43	Nucleoporin 43kDa
EXOC6B	Exocyst complex component 6B
PNN	Pinin, desmosome associated protein
TBX19	T-box 19
INA	Internexin neuronal intermediate filament protein, alpha
PLA2G1B	Phospholipase A2, group IB (pancreas)
TRIM5	Tripartite motif-containing 5
SLC25A31	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31
NFATC2IP	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
ARMC5	Armadillo repeat containing 5
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
LAIR2	Leukocyte-associated immunoglobulin-like receptor 2
LAMC3	Laminin, gamma 3
PCNT	Pericentrin (kendrin)
ZMAT3	Zinc finger, matrin type 3
RERE	Arginine-glutamic acid dipeptide (RE) repeats
RUNX2	Runt-related transcription factor 2
ADAM30	ADAM metallopeptidase domain 30
APOBEC1	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
APOB	Apolipoprotein B (including Ag(x) antigen)
DYRK1A	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
POLR3G	Polymerase (RNA) III (DNA directed) polypeptide G (32kD)
DDEF1	Development and differentiation enhancing factor 1
TACSTD1	Tumor-associated calcium signal transducer 1
DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
MYPN	Myopalladin
SPAG9	Sperm associated antigen 9
C12orf11	Chromosome 12 open reading frame 11
GPNMB	Glycoprotein (transmembrane) nmb
UBE2D1	Ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)
HAS2	Hyaluronan synthase 2
MMAB	Methylmalonic aciduria (cobalamin deficiency) cblB type
DKFZp434N035	Hypothetical protein DKFZp434N035
ENPEP	Glutamyl aminopeptidase (aminopeptidase A)
AGXT2L1	Alanine-glyoxylate aminotransferase 2-like 1
ZNF432	Zinc finger protein 432
SDC1	Syndecan 1
CABLES2	Cdk5 and Abl enzyme substrate 2
CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)
MLN	Motilin
GALR1	Galanin receptor 1
PSG9	Pregnancy specific beta-1-glycoprotein 9
TXNIP	Thioredoxin interacting protein
PASK	PAS domain containing serine/threonine kinase
HGSNAT	Heparan-alpha-glucosaminide N-acetyltransferase
CTSL1	Cathepsin L
CRSP3	Cofactor required for Sp1 transcriptional activation, subunit 3, 130kD
GOLPH4	Golgi phosphoprotein 4
ARG1	Arginase, liver
AHI1	Abelson helper integration site 1
ENO1	Enolase 1, (alpha)
ARF4	ADP-ribosylation factor 4
DYRK3	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
HIATL2	Hippocampus abundant gene transcript-like 2
PLEKHF2	Pleckstrin homology domain containing, family F (with FYVE domain) member 2
TARBP2	Tar (HIV-1) RNA binding protein 2
SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)
SAP30	Sin3A-associated protein, 30kDa
NR2E3	Nuclear receptor subfamily 2, group E, member 3
SLC41A2	Solute carrier family 41, member 2
PTPN2	Protein tyrosine phosphatase, non-receptor type 2
SAMD4A	Sterile alpha motif domain containing 4°
RPL7A	Ribosomal protein L7a
EHD4	EH-domain containing 4
PEPP-2	PEPP subfamily gene 2
SKIP	Skeletal muscle and kidney enriched inositol phosphatase
RPP40	Ribonuclease P 40kDa subunit
CASP3	Caspase 3, apoptosis-related cysteine peptidase
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
MGC15705	Hypothetical protein MGC15705
PCDHGC3	Protocadherin gamma subfamily C,
PVRL4	Poliovirus receptor-related 4
PAIP1	Poly(A) binding protein interacting protein 1
TCEA2	Transcription elongation factor A (SII), 2
NRG1	Neuregulin 1
MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3
ARMC10	SVH protein
JAM3	Junctional adhesion molecule 3
IFNA17	Interferon, alpha 17
SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)
DAB1	Disabled homolog 1 (Drosophila)
ISL1	ISL1 transcription factor, LIM/homeodomain, (islet-1
TMED2	Transmembrane emp24 domain trafficking protein 2
CHES1	Checkpoint suppressor 1
NACA	Nascent-polypeptide-associated complex alpha polypeptide
OS9	Amplified in osteosarcoma
PGK2	Phosphoglycerate kinase 2
MYO18B	Myosin XVIIIB
MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
TSPAN13	Tetraspanin 13
MAGEA10	Melanoma antigen family A, 1
RTCD1	RNA terminal phosphate cyclase domain 1
ILF2	Interleukin enhancer binding factor 2, 45kDa
KIAA1546	KIAA1546
PPP2R2B	Protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isofor
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1
SAC	Testicular soluble adenylyl cyclase
RGS6	Regulator of G-protein signalling 6
SLC15A2	Solute carrier family 15 (H+/peptide transporter), member 2
DCC	Deleted in colorectal carcinoma
RAB11FIP3	RAB11 family interacting protein 3 (class II)
IER2	Immediate early response 2
ZNF638	Zinc finger protein 638
CRAT	Carnitine acetyltransferase
PAX3	Paired box gene 3 (Waardenburg syndrome 1)
PEX1	Peroxisome biogenesis factor 1
KIF26A	Kinesin family member 26A
RPS2	Ribosomal protein S2
SPG3A	Spastic paraplegia 3A (autosomal dominant)
COL1A2	Collagen, type I, alpha 2
PDHB	Pyruvate dehydrogenase (lipoamide) beta
FSCN3	Fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus)
NUMB	Numb homolog (Drosophila)
PLS3	Plastin 3 (T isoform)
TCP11	T-complex 11 (mouse)
LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1
MATR3	Matrin 3
PAH	Phenylalanine hydroxylase
ADH7	Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
