probe name	ENTREZID	SYMBOL	total.gpi	gpi.imp.	gpi.kclust.
NM_001216	768	CA9	0.30	0.12	0.19
U45975	27124	PIB5PA	0.25	0.12	0.13
NM_018964	54020	SLC37A1	0.20	0.12	0.08
AB020713	23225	NUP210	0.19	0.12	0.07
NM_000507	2203	FBP1	0.17	0.12	0.05
NM_004994	4318	MMP9	0.13	0.12	0.01
AL080059	85453	TSPYL5	0.12	0.12	0.00
NM_003641	8519	IFITM1	0.07	0.00	0.07
NM_003258	7083	TK1	0.05	0.00	0.05
Contig24609_RC	NA	NA	0.04	0.00	0.04
AF055033	3488	IGFBP5	0.03	0.00	0.03
Contig31288_RC	NA	NA	0.02	0.00	0.02
L27560	3488	IGFBP5	0.01	0.00	0.01
AK000933	23596	OPN3	0.01	0.00	0.01
Contig53226_RC	NA	RERGL	0.01	0.00	0.01
NM_006265	5885	RAD21	0.01	0.00	0.01
NM_000382	224	ALDH3A2	0.00	0.00	0.00
NM_020974	57758	SCUBE2	0.00	0.00	0.00
Contig30154_RC	NA	NA	0.00	0.00	0.00
Contig25055_RC	NA	NA	0.00	0.00	0.00
NM_003862	8817	FGF18	0.00	0.00	0.00
AB037863	57593	EBF4	0.00	0.00	0.00
Contig10890_RC	NA	NA	0.00	0.00	0.00
NM_006117	10455	PECI	0.00	0.00	0.00
NM_000909	4886	NPY1R	0.00	0.00	0.00
NM_004791	9358	ITGBL1	0.00	0.00	0.00
Contig4595	51171	HSD17B14	0.00	0.00	0.00
NM_004702	9134	CCNE2	0.00	0.00	0.00
Contig33376_RC	NA	LOC139466	0.00	0.00	0.00
NM_001062	6947	TCN1	0.00	0.00	0.00
