MicroRNA	P	Fold change	Expression
hsa-mir-129-1	0.001574	0.69	Underexpressed
hsa-mir-194-1	0.000319	0.7	Underexpressed
hsa-mir-631	0.001873	0.71	Underexpressed
hsa-mir-200b	0.000006	0.71	Underexpressed
hsa-mir-585	0.00711	0.72	Underexpressed
hsa-mir-623	0.000453	0.73	Underexpressed
hsa-mir-617	0.000419	0.73	Underexpressed
hsa-mir-622	0.002722	0.73	Underexpressed
hsa-mir-638	0.000388	0.73	Underexpressed
hsa-mir-24-1	0.002632	3.22	Overexpressed
hsa-mir-141	0.000047	2.86	Overexpressed
hsa-mir-27b	0.000242	2.67	Overexpressed
hsa-mir-16-1	0.000888	2.65	Overexpressed
hsa-mir-21	0.000373	2.55	Overexpressed
hsa-mir-30c-1	0.009052	2.53	Overexpressed
hsa-mir-106a	0.000373	2.52	Overexpressed
hsa-mir-15b	0.002223	2.52	Overexpressed
hsa-mir-23b	0.003432	2.51	Overexpressed
hsa-mir-130a	0.000111	2.5	Overexpressed
