Rank	High in	p-value	FDR (%)	Probe set ID	Gene Symbol	Gene Description
1	Neg	0.00000005	<.0001	242747_at	---	---
2	Neg	0.00000147	<.0001	205429_s_at	MPP6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
3	Neg	0.00000036	<.0001	221841_s_at	KLF4	Kruppel-like factor 4 (gut)
4	Pos	0.00000054	<.0001	209286_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
5	Neg	0	<.0001	1564310_a_at	PARP15	poly (ADP-ribose) polymerase family, member 15
6	Neg	0.00000045	<.0001	201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2
7	Pos	0.00000219	<.0001	218899_s_at	BAALC	brain and acute leukemia, cytoplasmic
8	Neg	0.00000101	<.0001	213358_at	KIAA0802	KIAA0802
9	Neg	0.000001	<.0001	1553380_at	PARP15	poly (ADP-ribose) polymerase family, member 15
10	Pos	0.00000077	<.0001	225685_at	---	CDNA FLJ31353 fis, clone MESAN2000264
11	Neg	0.00000042	<.0001	227336_at	DTX1	deltex homolog 1 (Drosophila)
12	Neg	0.00000032	<.0001	201718_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2
13	Neg	0.0000006	<.0001	201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
14	Pos	0.00000183	<.0001	207426_s_at	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)
15	Neg	0.0000012	<.0001	219990_at	E2F8	E2F transcription factor 8
16	Pos	0.00000207	<.0001	213817_at	---	CDNA FLJ13601 fis, clone PLACE1010069
17	Pos	0.00001106	<.0001	220448_at	KCNK12	potassium channel, subfamily K, member 12
18	Pos	0.0000011	<.0001	232539_at	---	MRNA; cDNA DKFZp761H1023 (from clone DKFZp761H1023)
19	Neg	0.00000065	<.0001	225688_s_at	PHLDB2	pleckstrin homology-like domain, family B, member 2
20	Pos	0.00000546	<.0001	218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5
21	Neg	0.00000073	<.0001	204562_at	IRF4	interferon regulatory factor 4
22	Neg	0.00000016	<.0001	219032_x_at	OPN3	opsin 3
23	Pos	0.00000598	<.0001	242051_at	CD99	CD99 molecule
24	Neg	0.00000092	<.0001	220266_s_at	KLF4	Kruppel-like factor 4 (gut)
25	Pos	0.00002445	<.0001	201028_s_at	CD99	CD99 molecule
26	Pos	0.00004247	<.0001	204304_s_at	PROM1	prominin 1
27	Pos	0.00007265	<.0001	208886_at	H1F0	H1 histone family, member 0
28	Pos	0.0001224	<.0001	209101_at	CTGF	connective tissue growth factor
29	Neg	0.00000003	<.0001	236307_at	---	Transcribed locus
30	Neg	0.00006038	<.0001	206530_at	RAB30	RAB30, member RAS oncogene family
31	Neg	0.00004247	<.0001	210094_s_at	PARD3	par-3 partitioning defective 3 homolog (C. elegans)
32	Pos	0.00000003	<.0001	209288_s_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
33	Neg	0.00015116	<.0001	221526_x_at	PARD3	par-3 partitioning defective 3 homolog (C. elegans)
34	Neg	0.0000163	<.0001	210517_s_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12
35	Pos	0.00010226	<.0001	227998_at	S100A16	S100 calcium binding protein A16
36	Neg	0.00000869	<.0001	1559618_at	LOC100129447	hypothetical protein LOC100129447
37	Neg	0.00000486	<.0001	228390_at	---	CDNA clone IMAGE:5259272
38	Pos	0.00000726	<.0001	207571_x_at	C1orf38	chromosome 1 open reading frame 38
39	Pos	0.00003152	<.0001	206674_at	FLT3	fms-related tyrosine kinase 3
40	Pos	0.00006038	<.0001	227923_at	SHANK3	SH3 and multiple ankyrin repeat domains 3
41	Neg	0.00001223	<.0001	212022_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
42	Pos	0.00014623	<.0001	203372_s_at	SOCS2	suppressor of cytokine signaling 2
43	Pos	0.00006938	<.0001	204646_at	DPYD	dihydropyrimidine dehydrogenase
44	Pos	0.00001134	<.0001	207610_s_at	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2
45	Pos	0.00006858	<.0001	204030_s_at	SCHIP1	schwannomin interacting protein 1
46	Neg	0.00002761	<.0001	1552924_a_at	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2
47	Pos	0.00000765	<.0001	217967_s_at	FAM129A	family with sequence similarity 129, member A
48	Neg	0.00000443	<.0001	227173_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
49	Pos	0.0000752	<.0001	203373_at	SOCS2	suppressor of cytokine signaling 2
50	Pos	0.00023124	<.0001	222154_s_at	LOC26010	viral DNA polymerase-transactivated protein 6
51	Pos	0.00005697	<.0001	201029_s_at	CD99	CD99 molecule
52	Pos	0.00012516	<.0001	225524_at	ANTXR2	anthrax toxin receptor 2
53	Pos	0.00000785	<.0001	210785_s_at	C1orf38	chromosome 1 open reading frame 38
54	Neg	0.0000002	<.0001	1556451_at	---	MRNA; cDNA DKFZp667B1520 (from clone DKFZp667B1520)
55	Pos	0.00000038	<.0001	1557626_at	---	CDNA FLJ39805 fis, clone SPLEN2007951
56	Pos	0.00011317	<.0001	202242_at	TSPAN7	tetraspanin 7
57	Neg	0.00000176	<.0001	228361_at	E2F2	E2F transcription factor 2
58	Pos	0.00006108	<.0001	222780_s_at	BAALC	brain and acute leukemia, cytoplasmic
59	Pos	0.00017824	<.0001	201876_at	PON2	paraoxonase 2
60	Pos	0.00001149	<.0001	218847_at	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2
61	Pos	0.00000598	<.0001	228573_at	---	Transcribed locus
62	Neg	0.00018824	<.0001	225288_at	COL27A1	collagen, type XXVII, alpha 1
63	Neg	0.00001336	<.0001	227846_at	GPR176	G protein-coupled receptor 176
64	Pos	0.00001735	<.0001	213541_s_at	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)
65	Neg	0.00008529	<.0001	225246_at	STIM2	stromal interaction molecule 2
66	Pos	0.00000082	<.0001	224861_at	GNAQ	Guanine nucleotide binding protein (G protein), q polypeptide
67	Pos	0.00002061	<.0001	211474_s_at	SERPINB6	serpin peptidase inhibitor, clade B (ovalbumin), member 6
68	Neg	0.00182593	<.0001	219737_s_at	PCDH9	protocadherin 9
69	Neg	0.00000225	<.0001	226350_at	CHML	choroideremia-like (Rab escort protein 2)
70	Neg	0.00000765	<.0001	221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
71	Pos	0.00006108	<.0001	227013_at	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)
72	Pos	0.00000033	<.0001	235094_at	---	CDNA FLJ39413 fis, clone PLACE6015729
73	Pos	0.00007018	<.0001	209543_s_at	CD34	CD34 molecule
74	Neg	0.00003041	<.0001	205692_s_at	CD38	CD38 molecule
75	Pos	0.00008148	<.0001	210993_s_at	SMAD1	SMAD family member 1
76	Neg	0.00003115	<.0001	203922_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
77	Pos	0.0000024	<.0001	202430_s_at	PLSCR1	phospholipid scramblase 1
78	Neg	0.0001046	<.0001	225293_at	COL27A1	collagen, type XXVII, alpha 1
79	Neg	0.00056256	<.0001	213273_at	ODZ4	odz, odd Oz/ten-m homolog 4 (Drosophila)
80	Pos	0.00033554	<.0001	216565_x_at	---	---
81	Pos	0.00000647	<.0001	240432_x_at	---	Transcribed locus
82	Neg	0.00000699	<.0001	239946_at	---	Transcribed locus
83	Pos	0.00002506	<.0001	242565_x_at	C21orf57	Chromosome 21 open reading frame 57
84	Pos	0.00047774	<.0001	201811_x_at	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
85	Pos	0.00028636	<.0001	200953_s_at	CCND2	cyclin D2
86	Pos	0.00009998	<.0001	220034_at	IRAK3	interleukin-1 receptor-associated kinase 3
87	Neg	0.00000443	<.0001	209760_at	KIAA0922	KIAA0922
88	Pos	0.00000598	<.0001	222762_x_at	LIMD1	LIM domains containing 1
89	Pos	0.00004051	<.0001	223741_s_at	TTYH2	tweety homolog 2 (Drosophila)
90	Pos	0.00081524	<.0001	226018_at	C7orf41	chromosome 7 open reading frame 41
91	Neg	0.00119278	<.0001	210473_s_at	GPR125	G protein-coupled receptor 125
92	Pos	0.00033203	<.0001	239901_at	---	Transcribed locus
93	Pos	0.00063516	<.0001	1559315_s_at	LOC144481	hypothetical protein LOC144481
94	Neg	0.00000234	<.0001	236796_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
95	Pos	0.00000213	<.0001	240498_at	---	---
96	Pos	0.00000186	<.0001	219383_at	FLJ14213	protor-2
97	Pos	0.00000134	<.0001	221249_s_at	FAM117A	family with sequence similarity 117, member A
98	Neg	0.00020983	<.0001	1565951_s_at	CHML	choroideremia-like (Rab escort protein 2)
99	Neg	0.00005128	<.0001	205159_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
100	Pos	0.00000512	<.0001	228696_at	SLC45A3	solute carrier family 45, member 3
101	Pos	0.00010343	<.0001	213931_at	ID2 /// ID2B	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein
102	Pos	0.00032856	<.0001	202481_at	DHRS3	dehydrogenase/reductase (SDR family) member 3
103	Neg	0.00113666	<.0001	226796_at	LOC116236	hypothetical protein LOC116236
104	Neg	0.00001223	<.0001	218032_at	SNN	stannin
105	Pos	0.0000752	<.0001	223380_s_at	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)
106	Pos	0.0001495	<.0001	202023_at	EFNA1	ephrin-A1
107	Pos	0.00001713	<.0001	211275_s_at	GYG1	glycogenin 1
108	Neg	0.00015453	<.0001	204165_at	WASF1	WAS protein family, member 1
109	Pos	0.00016874	<.0001	219938_s_at	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
110	Neg	0.0009086	<.0001	212985_at	---	MRNA; cDNA DKFZp434E033 (from clone DKFZp434E033)
111	Neg	0.00017248	<.0001	231124_x_at	LY9	lymphocyte antigen 9
112	Neg	0.00051853	<.0001	206001_at	NPY	neuropeptide Y
113	Neg	0.00047774	<.0001	241679_at	---	---
114	Neg	0.00015972	<.0001	240718_at	LRMP	Lymphoid-restricted membrane protein
115	Pos	0.00020534	<.0001	214453_s_at	IFI44	interferon-induced protein 44
116	Neg	0.00000017	<.0001	203907_s_at	IQSEC1	IQ motif and Sec7 domain 1
117	Neg	0.00006625	<.0001	1556425_a_at	LOC284219	hypothetical protein LOC284219
118	Pos	0.00028636	<.0001	201810_s_at	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
119	Pos	0.00006473	<.0001	241824_at	---	Transcribed locus
120	Pos	0.00000681	<.0001	211675_s_at	MDFIC	MyoD family inhibitor domain containing
121	Pos	0.00000858	<.0001	232210_at	---	CDNA FLJ14056 fis, clone HEMBB1000335
122	Pos	0.00014623	<.0001	204334_at	KLF7	Kruppel-like factor 7 (ubiquitous)
123	Pos	0.00002761		<.0001	227002_at	FAM78A	family with sequence similarity 78, member A
124	Pos	0.00051326	<.0001	227798_at	SMAD1	SMAD family member 1
125	Pos	0.0000347	<.0001	209723_at	SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9
126	Neg	0.00070928	<.0001	202732_at	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
