CL	Gene	Function
1 (9.3)	EGR-2	Transcription Factors/Nuclear Cofactors
1 (8.0)	EGR-3	Transcription Factors/Nuclear Cofactors
1 (5.7)	SnoN	Transcription Factors/Nuclear Cofactors
1 (3.8)	CREM	Transcription Factors/Nuclear Cofactors
1 (3.3)	RelB	Transcription Factors/Nuclear Cofactors
1 (3.2)	A20	Transcription Factors/Nuclear Cofactors
1 (2.6)	EGR-1	Transcription Factors/Nuclear Cofactors
1 (2.6)	IRF-1	Transcription Factors/Nuclear Cofactors
1 (2.5)	NF-kB p50	Transcription Factors/Nuclear Cofactors
1 (2.5)	ATF-3	Transcription Factors/Nuclear Cofactors
3 (5.3)	NF45	Transcription Factors/Nuclear Cofactors
3 (3.8)	Vitamin D3 receptor	Transcription Factors/Nuclear Cofactors
3 (2.9)	MAD-3	Transcription Factors/Nuclear Cofactors
3 (2.5)	STAT1	Transcription Factors/Nuclear Cofactors
3 (2.5)	STAT5	Transcription Factors/Nuclear Cofactors
3 (2.5)	HOX3D	Transcription Factors/Nuclear Cofactors
4 (2.6)	FRA-1	Transcription Factors/Nuclear Cofactors
5 (2.6)	E2F-1	Transcription Factors/Nuclear Cofactors
5 (2.5)	RXR beta	Transcription Factors/Nuclear Cofactors
7 (-99)	NF-E2	Transcription Factors/Nuclear Cofactors
7 (-21)	c-Fos	Transcription Factors/Nuclear Cofactors
7 (-6.2)	JunB	Transcription Factors/Nuclear Cofactors
7 (-5.7)	ATBF1-A	Transcription Factors/Nuclear Cofactors
8 (-3.0)	TCF-1	Transcription Factors/Nuclear Cofactors
8 (-2.9)	FLI-1	Transcription Factors/Nuclear Cofactors
8 (-2.7)	YY1 repressor	Transcription Factors/Nuclear Cofactors
1 (10.3)	MIP-I alpha	Cytokines/Chemokines
1 (8.8)	MIP-I beta	Cytokines/Chemokines
1 (6.0)	MIP-II alpha	Cytokines/Chemokines
1 (4.5)	GRO-gamma	Cytokines/Chemokines
1 (3.1)	IL-1 beta	Cytokines/Chemokines
1 (2.5)	IL-14	Cytokines/Chemokines
2 (33)	TNF-alphaalpha	Cytokines/Chemokines
2 (6.3)	IL-1 receptor antagonist	Cytokines/Chemokines
2 (2.6)	IL-15	Cytokines/Chemokines
2 (c)	IL-2	Cytokines/Chemokines
2 (c)	Interferon gamma	Cytokines/Chemokines
3 (749)	Adrenomedullin	Cytokines/Chemokines
3 (23.1)	HuMig	Cytokines/Chemokines
3 (3.4)	VEGF	Cytokines/Chemokines
4 (2.5)	IGF-2	Cytokines/Chemokines
8 (-2.5)	HCC-1	Cytokines/Chemokines
1 (24.9)	Thrombospondin	Other
1 (4.0)	Mader	Other
2 (2.5)	PI transfer protein-1	Other
3 (8.2)	Thioredoxin	Other
4 (12.6)	Metallothionein	Other
4 (12.2)	MSE55	Other
5 (236)	NMB	Other
6 (7.9)	CksHs2	Other
6 (2.6)	PCNA	Other
6 (2.5)	KI-67	Other
7 (3.4)	ERF-2	Other
8 (-3.2)	Cyclin D3	Other
1 (17.0)	IL-1 receptor	Receptors/Cell Surface Proteins
1 (8.0)	HM145	Receptors/Cell Surface Proteins
1 (2.5)	Fas Ligand	Receptors/Cell Surface Proteins
2 (13.7)	HM74	Receptors/Cell Surface Proteins
2 (6.0)	IL-4 receptor	Receptors/Cell Surface Proteins
2 (5.0)	HB15	Receptors/Cell Surface Proteins
2 (4.8)	CD98 heavy chain	Receptors/Cell Surface Proteins
2 (4.6)	Axonin-1	Receptors/Cell Surface Proteins
2 (2.6)	IL-3 receptor alpha	Receptors/Cell Surface Proteins
3 (648)	SLAM	Receptors/Cell Surface Proteins
3 (14.8)	CD40 ligand	Receptors/Cell Surface Proteins
3 (6.1)	HLA DQ beta	Receptors/Cell Surface Proteins
3 (3.2)	CD44	Receptors/Cell Surface Proteins
3 (2.9)	HLA DQ alpha	Receptors/Cell Surface Proteins
3 (2.7)	GM-CSF receptor	Receptors/Cell Surface Proteins
4 (597)	Autotaxin	Receptors/Cell Surface Proteins
4 (3.0)	MMIF-1	Receptors/Cell Surface Proteins
5 (6.0)	Glutamate receptor 1 alpha	Receptors/Cell Surface Proteins
5 (3.3)	Transferrin receptor	Receptors/Cell Surface Proteins
5 (c)	IL-2 receptor alpha	Receptors/Cell Surface Proteins
6 (2.6)	IL-5 receptor	Receptors/Cell Surface Proteins
6 (2.5)	CD27	Receptors/Cell Surface Proteins
7 (-182)	CD1 R3	Receptors/Cell Surface Proteins
7 (-29)	CX3C receptor 1	Receptors/Cell Surface Proteins
7 (-17)	CD157	Receptors/Cell Surface Proteins
