Agilent ProbeName	Affymetrix ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val	adj.P.Val expression
A_17_P05510597	203898_at	RCP9	CALCITONIN GENE-RELATED PEPTIDE-RECEPTOR COMPONENT PROTEIN	1.009751986	7.84E-06	0.001052	0.495559
A_17_P10999347	232018_at	LENG1	LEUKOCYTE RECEPTOR CLUSTER (LRC) MEMBER 1	1.053951553	8.33E-06	0.00113	0.00017
A_17_P07316491	208095_s_at	CAMK2G	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II GAMMA	0.85141829	1.35E-05	0.002111	0.00058
A_17_P06411658	201592_at	EIF3S3	EUKARYOTIC TRANSLATION INITIATION FACTOR 3, SUBUNIT 3 GAMMA	0.90967544	1.38E-05	0.002585	0.002214
A_17_P00452525	233287_at	SLC6A17	HYPOTHETICAL PROTEIN LOC284462	1.00190784	1.88E-05	0.002702	0.08784
A_17_P15421759	211987_at	TOP2B	TOPOISOMERASE (DNA) II BETA	0.89625092	2.08E-05	0.003287	0.000392
A_17_P10186077	221614_s_at	RPH3AL	RABPHILIN 3A-LIKE (WITHOUT C2 DOMAINS)	0.927509551	2.23E-05	0.003479	1.93E-05
A_17_P06567191	204836_at	GLDC	GLYCINE DEHYDROGENASE (DECARBOXYLATING; GLYCINE DECARBOXYLASE, GLYCINE CLEAVAGE SYSTEM PROTEIN P)	0.80945633	2.56E-05	0.003479	0.495559
A_17_P17211943	222650_s_at	SLC2A4RG	SLC2A4 REGULATOR	0.734318988	2.71E-05	0.003612	1.44E-07
A_17_P16692232	220316_at	NPAS3	NEURONAL PAS DOMAIN PROTEIN 3	0.802386012	2.76E-05	0.00395	0.006633
A_17_P15548442	204304_s_at	PROM1	PROMININ 1	0.81869777	2.96E-05	0.004115	8.07E-07
A_17_P17421044	207570_at	SHOX	SHORT STATURE HOMEOBOX	0.845081632	3.22E-05	0.004252	8.04E-05
A_17_P00363889	209472_at	RBMXL1	KYNURENINE AMINOTRANSFERASE III	0.742849322	3.27E-05	0.004541	0.000271
A_17_P17354706	206299_at	TMEM28	TRANSMEMBRANE PROTEIN 28	0.834807184	3.34E-05	0.004541	0.007156
A_17_P05435631	214435_x_at	RALA	RAS RELATED SMALL G PROTEIN RAL-A	0.980366019	3.48E-05	0.004746	6.72E-05
A_17_P00767137	205804_s_at	TRAF3IP3	TRAF3 INTERACTING PROTEIN 3	1.027259009	3.57E-05	0.004786	7.02E-05
A_17_P00839383	1554306_at	ITPKB	INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE B	0.814155205	3.86E-05	0.004954	4.46E-09
A_17_P00726555	217515_s_at	CACNA1S	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, L TYPE, ALPHA 1S SUBUNIT	0.995109185	4.01E-05	0.005226	0.00017
A_17_P03746294	213217_at	ADCY2	ADENYLATE CYCLASE 2 (BRAIN)	0.769200664	4.04E-05	0.005278	0.006125
A_17_P16120571	220483_s_at	RNF19	RING FINGER PROTEIN 19	0.776267128	4.26E-05	0.005339	0.000344
A_17_P10145231	1553303_at	C16orf46	CHROMOSOME 16 OPEN READING FRAME 46	1.142173315	4.44E-05	0.005414	0.026522
A_17_P16621477	203067_at	PDX1	PYRUVATE DEHYDROGENASE PROTEIN X COMPONENT, MITOCHONDRIAL PRECURSOR	0.864552469	5.33E-05	0.005503	0.083603
A_17_P07032237	205273_s_at	PITRM1	PITRILYSIN METALLOPEPTIDASE 1	0.844875228	5.50E-05	0.005785	0.000858
A_17_P10994503	223581_at	ZNF577	ZINC FINGER PROTEIN 577	1.153339787	5.49E-05	0.005916	0.0101
A_17_P15171936	1554980_a_at	ATF3	ACTIVATING TRANSCRIPTION FACTOR 3	0.970770286	5.66E-05	0.005921	0.435206
A_17_P17094668	218555_at	APC2	ADENOMATOSIS POLYPOSIS COLI 2	0.862289119	5.71E-05	0.006103	2.86E-08
A_17_P05865735	219627_at	ZNF767	ZINC FINGER PROTEIN 767	0.868171312	5.85E-05	0.006242	0.008013
A_17_P10761783	212719_at	PHLPP	PH DOMAIN AND LEUCINE RICH REPEAT PROTEIN PHOSPHATASE	0.758612048	5.89E-05	0.006463	0.002105
A_17_P16300096	1555922_at	C10orf114	CHROMOSOME 10 OPEN READING FRAME 114	0.885789039	6.04E-05	0.006613	0.045367
A_17_P07223989	207256_at	MBL2	MANNOSE-BINDING LECTIN (PROTEIN C) 2, SOLUBLE (OPSONIC DEFECT)	0.744131116	6.26E-05	0.006985	0.007047
A_17_P05510787	204140_at	TPST1	TYROSYLPROTEIN SULFOTRANSFERASE 1	0.752257215	6.33E-05	0.007116	0.244612
A_17_P06689975	200880_at	DNAJA1	DNAJ (HSP40) HOMOLOG, SUBFAMILY A, MEMBER 1	0.871152935	6.52E-05	0.007116	0.326435
A_17_P08146524	1553727_at	B4GALNT3	BETA-1,4-N-ACETYL-GALACTOSAMINYL TRANSFERASE 3	0.766731286	6.80E-05	0.007116	7.59E-06
A_17_P00122572	222200_s_at	BSDC1	BSD DOMAIN CONTAINING 1	0.728086234	6.79E-05	0.007205	0.001755
A_17_P15155444	202388_at	RGS2	REGULATOR OF G-PROTEIN SIGNALLING 2	0.91922128	6.85E-05	0.007221	1.93E-05
A_17_P15133433	202575_at	CRABP2	CELLULAR RETINOIC ACID BINDING PROTEIN 2	0.890199044	7.07E-05	0.007221	0.085647
A_17_P16241556	200767_s_at	FAM120A	FAMILY WITH SEQUENCE SIMILARITY 120A	0.722671196	6.99E-05	0.007221	8.07E-07
A_17_P15381265	208758_at	ATIC	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	0.986444236	7.56E-05	0.007234	0.000595
A_17_P06531900	227898_s_at	GLI4	GLI-KRUPPEL FAMILY MEMBER GLI4	0.739016058	7.58E-05	0.007363	0.001593
A_17_P15920276	208493_at	HOXA11	HOMEOBOX A11	0.78818402	7.57E-05	0.007471	1.88E-06
