Gene	F-C	Description	Description
Svs2	0.29	Seminal vesicle secretory protein 2	Thalidomide
Icos	0.41	Inducible T-cell co-stimulator: Enhances T-cell responses to a foreign Ag.	Thalidomide
Mrgprb5	0.42	MAS-related GPR, member B5: Involved in regulating receptor activity.	Thalidomide
Cntn5	0.46	Contactin 5	Thalidomide
Cxcr4	0.47	Chemokine (C-X-C motif) receptor 4: Receptor for chemokine CXCL12.	Thalidomide
Rph3al	0.48	Rabphilin 3A-like: Involved in exocytosis.	Thalidomide
Gprc5c	0.49	G protein-coupled receptor, family C, group 5, member C	Thalidomide
Synpo2	0.52	Synaptopodin 2: Has an actin-binding and actin-bundling action.	Thalidomide
Bai2	0.53	Brain-specific angiogenesis inhibitor 2: Involved in inhibiting angiogenesis.	Thalidomide
Mbp	0.53	Myelin basic protein: Involved in T-cell function and proliferation.	Thalidomide
Olfr1196	2.9	Olfactory receptor 1196	Thalidomide
Fgr	2	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homologue	Thalidomide
Rassf2	1.9	Ras association (RalGDS/AF-6) domain family member 2	Thalidomide
Gk2	1.8	Glycerol kinase 2	Thalidomide
Kitl	1.7	Kit ligand: Mediates cell-cell adhesion.	Thalidomide
Mycbp2	1.6	MYC binding protein 2: Mediator of ubiquitination.	Thalidomide
Hspa8	1.4	Heat shock protein 8: Inhibitor of the apoptotic program.	Thalidomide
Apba2	1.4	Amyloid beta (A4) precursor protein-binding, family A, member 2	Thalidomide
Kif4	1.3	Kinesin family member 4	Thalidomide
Cdc42bpg	1.3	CDC42 binding protein kinase gamma: Contributes to cell invasion	Thalidomide
Mrgprb5	0.14	MAS-related GPR, member B5: Involved in regulating receptor activity	Lenalidomide
Cd36	0.36	CD36 antigen: May function as a cell adhesion molecule.	Lenalidomide
Svs2	0.39	Seminal vesicle secretory protein 2	Lenalidomide
Gpbar1	0.46	G protein-coupled bile acid receptor 1: suppresses macrophage function.	Lenalidomide
Iqcf3	0.5	IQ motif containing F3	Lenalidomide
Usp27x	0.5	Ubiquitin specific peptidase 27, X chromosome	Lenalidomide
Trpv4	0.51	Transient receptor potential cation channel, subfamily V, member 4	Lenalidomide
Upk3b	0.51	Uroplakin 3B: May play an important role in cytoskeleton interactions.	Lenalidomide
Bai2	0.52	Brain-specific angiogenesis inhibitor 2: Involved in angiogenesis inhibition.	Lenalidomide
Slc6a20	0.53	Solute carrier family 6 (neurotransmitter transporter), member 20	Lenalidomide
Arg2	2.9	Arginase type II	Lenalidomide
Hrnr	2.5	Hornerin	Lenalidomide
Tgm5	2.3	Transglutaminase 5	Lenalidomide
Il13ra1	2.3	Interleukin 13 receptor, alpha 1	Lenalidomide
Akap10	2.1	A kinase (PRKA) anchor protein 10	Lenalidomide
Olfr1273	2.1	Olfactory receptor 1273	Lenalidomide
Polk	2.1	Polymerase (DNA directed), kappa: Plays a role in translation synthesis.	Lenalidomide
Dub1a	2	Deubiquitinating enzyme 1a	Lenalidomide
Kremen2	2	Kringle containing transmembrane protein 2: Blocks Wnt signalling.	Lenalidomide
Tcf4	2	Transcription factor 4: Protein that binds to Ig-enhancer regions.	Lenalidomide
Plagl1	0.3	Pleiomorphic adenoma gene-like 1: transcription activator.	Pomalidomide
Mrgprb5	0.34	MAS-related GPR, member B5: Involved in regulating receptor activity.	Pomalidomide
Gprc5c	0.37	G protein-coupled receptor, family C, group 5, member C.	Pomalidomide
Bhmt	0.39	Betaine-homocysteine methyltransferase	Pomalidomide
Eif2c1	0.43	Eukaryotic translation initiation factor 2C, 1	Pomalidomide
Slc6a20	0.43	Solute carrier family 6 (neurotransmitter transporter), member 20	Pomalidomide
Pax1	0.45	Paired box gene 1: A transcriptional activator.	Pomalidomide
Slc18a2	0.45	Solute carrier family 18 (vesicular monoamine), member 2	Pomalidomide
Grm7	0.47	Glutamate receptor, metabotropic 7	Pomalidomide
Ccr5	0.47	Chemokine (C–C motif) receptor 5: Receptor for a C–C type chemokine.	Pomalidomide
Jag1	5.5	Jagged 1: Ligand for Notch; enhances FGF-induced angiogenesis.	Pomalidomide
Dnali1	2.5	Dynein, axonemal, light intermediate polypeptide 1	Pomalidomide
Smyd3	2.4	SET and MYND domain containing 3	Pomalidomide
Rassf2	2.3	Ras association (RalGDS/AF-6) domain family member 2	Pomalidomide
Serpinb1c	2.3	Perine (or cysteine) peptidase inhibitor, clade B, member 1c	Pomalidomide
Mt4	1.7	Metallothionein 4	Pomalidomide
Casr	1.7	Calcium-sensing receptor	Pomalidomide
Lifr	1.6	Leukemia inhibitory factor receptor: Involved with transducing IL-6.	Pomalidomide
DTX4	1.6	Deltex 4 homolog: Regulator of Notch signalling.	Pomalidomide
Cyp1a1	1.6	Cytochrome P450, family 1, subfamily a, polypeptide 1	Pomalidomide
