Gene	C57Bl/6J Fold change	C57Bl/6J p-value†	DBA/2 Fold change	DBA/2 p-value†	ICR Fold change	ICR p-value†
Casp12	0,708	0,00157	2,658	0,00472	0,961	0,95895
Ccl6	3,781	0,00000	0,770	0,19446	1,031	0,95895
Ch3l3	19,179	0,00008	0,104	0,00000	0,997	0,98110
Col3a1	1,250	0,01234	1,568	0,08580	0,614	0,02201
Eln	1,116	0,25255	1,650	0,07277	0,338	0,00759
F2r	2,286	0,00027	0,757	0,11921	0,632	0,03215
Il6st	2,121	0,00002	0,944	0,81091	0,337	0,00905
Serpinf1	1,363	0,00002	6,823	0,00000	0,883	0,54406
Spi1-6	0,060	0,00002	7,102	0,00000	0,903	0,54406
Tgfb1	1,705	0,00708	0,578	0,00188	1,060	0,95895
Timp2	1,688	0,00002	1,243	0,11542	1,051	0,95895
