GeneID	In Grade III	P value	t statistic	Adj.  P value	Symbol	Description
869375	1	2.20E-05	6.86	0.02683578	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
504308	1	3.60E-05	6.46	0.02683578	FLJ10540	hypothetical protein FLJ10540
823851		6.50E-05	6.01	0.02683578	AEBP1	AE-binding protein 1
825606	1	7.10E-05	5.95	0.02683578	KNSL1	kinesin-like 1
951241	1	7.40E-05	5.92	0.02683578	ANKT	nucleolar protein ANKT
280375	1	1.20E-04	5.58	0.0304866	PRO2000	PRO2000 protein
564981	1	1.20E-04	5.58	0.0304866	Homo sapiens, Similar to RIKEN cDNA 2810433K01 gene, clone MGC:10200 IMAGE:3909951, mRNA, complete cds	Homo sapiens, Similar to RIKEN cDNA 2810433K01 gene, clone MGC:10200 IMAGE:3909951, mRNA, complete cds
1476053	1	1.50E-04	5.4	0.03425014	RAD51	RAD51 (S. cerevisiae) homolog (E coli RecA homolog)
773345		2.70E-04	5.01	0.04935153	CCNE2	cyclin E2
769921	1	2.80E-04	4.97	0.04935153	UBE2C	ubiquitin-conjugating enzyme E2C
951080		3.60E-04	4.81	0.04935153	RECQL4	RecQ protein-like 4
814072		3.70E-04	4.78	0.04935153	Homo sapiens, clone MGC:19517 IMAGE:4335816, mRNA, complete cds	Homo sapiens, clone MGC:19517 IMAGE:4335816, mRNA, complete cds
1553306		3.80E-04	4.77	0.04935153	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
415102		3.90E-04	4.75	0.04935153	CDC25C	cell division cycle 25C
128711	1	4.10E-04	4.72	0.04935153	ANLN	anillin (Drosophila Scraps homolog), actin binding protein
210717		4.50E-04	4.66	0.0506773	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
814270	1	4.80E-04	4.61	0.05092141	PMSCL1	polymyositis/scleroderma autoantigen 1 (75kD)
209066	1	5.00E-04	4.58	0.05092141	STK15	serine/threonine kinase 15
2017415	1	5.60E-04	4.52	0.05338307	CENPA	centromere protein A (17kD)
364681		6.40E-04	4.42	0.05852554	ESTs	ESTs
823598	1	8.10E-04	4.28	0.0703179	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
878330	1	9.60E-04	4.17	0.07962393	Homo sapiens cDNA: FLJ22044 fis, clone HEP09141	Homo sapiens cDNA: FLJ22044 fis, clone HEP09141
1455394		1.10E-03	4.09	0.08461982	HCS	cytochrome c
785368	1	1.20E-03	4.05	0.08461982	TOPK	PDZ-binding kinase; T-cell originated protein kinase
839682	1	1.30E-03	3.96	0.08461982	UBE2N	ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)
248649		1.30E-03	3.99	0.08461982	FLJ13910	hypothetical protein FLJ13910
277463		1.30E-03	3.98	0.08461982	C18orf1	chromosome 18 open reading frame 1
757489		1.30E-03	3.98	0.08461982	TUBA2	tubulin, alpha 2
756595	1	1.50E-03	3.89	0.08461982	S100A10	S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
774082		1.50E-03	3.88	0.08461982	ASCL1	achaete-scute complex (Drosophila) homolog-like 1
347373	1	1.60E-03	3.86	0.08461982	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)
624627	1	1.60E-03	3.84	0.08461982	RRM2	ribonucleotide reductase M2 polypeptide
1517595	1	1.60E-03	3.84	0.08461982	KIAA0175	likely ortholog of maternal embryonic leucine zipper kinase
825470	1	1.70E-03	3.83	0.08461982	TOP2A	topoisomerase (DNA) II alpha (170kD)
785707		1.70E-03	3.82	0.08461982	PRC1	protein regulator of cytokinesis 1
824426		1.70E-03	4.12	0.08461982	PDAP1	PDGFA associated protein 1
121251		1.80E-03	3.8	0.08461982	MGC5576	hypothetical protein MGC5576
842765		1.80E-03	3.79	0.08461982	PC326	PC326 protein
754040		1.90E-03	3.73	0.08771114	Homo sapiens cDNA FLJ31626 fis, clone NT2RI2003317	Homo sapiens cDNA FLJ31626 fis, clone NT2RI2003317
810899		1.90E-03	3.74	0.08771114	ESTs	ESTs
358052		2.00E-03	3.72	0.08771114	ESTs	ESTs
259950	1	2.20E-03	3.67	0.08771114	CML66	chronic myelogenous leukemia tumor antigen 66
292936	1	2.20E-03	3.67	0.08771114	FLJ10468	hypothetical protein FLJ10468
1416055	1	2.20E-03	3.67	0.08771114	KIAA0165	extra spindle poles, S. cerevisiae, homolog of
809901		2.20E-03	3.66	0.08771114	COL15A1	collagen, type XV, alpha 1
1505038		2.20E-03	3.65	0.08771114	FLJ20171	hypothetical protein FLJ20171
347436		2.30E-03	3.62	0.09098107	GSTTLp28	glutathione-S-transferase like; glutathione transferase omega
744047	1	2.60E-03	3.55	0.09967783	PLK	polo (Drosophia)-like kinase
1636092		2.70E-03	3.54	0.10005488	NPL4	hypothetical protein FLJ20657
126341		2.90E-03	3.48	0.10653515	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759
1602516		3.00E-03	3.48	0.10653515	DAXX	death-associated protein 6
705064	1	3.20E-03	3.44	0.10860726	TACC3	transforming, acidic coiled-coil containing protein 3
2322367	1	3.20E-03	3.44	0.10860726	RTN4	reticulon 4
66406	1	3.50E-03	3.39	0.116593	ESTs, Highly similar to T47163 hypothetical protein DKFZp762E1312.1 [H.sapiens]	ESTs, Highly similar to T47163 hypothetical protein DKFZp762E1312.1 [H.sapiens]
462926	1	3.60E-03	3.36	0.11872875	NEK2	NIMA (never in mitosis gene a)-related kinase 2
345034		3.70E-03	3.34	0.11872875	SCYB14	small inducible cytokine subfamily B (Cys-X-Cys), member 14 (BRAK)
503682		3.70E-03	3.35	0.11872875	C9orf12	chromosome 9 open reading frame 12
815501	1	4.00E-03	3.3	0.12440908	MGC2721	hypothetical protein MGC2721
1550783		4.00E-03	3.3	0.12440908	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1
1035796	1	4.60E-03	3.21	0.13817458	ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans]	ESTs, Weakly similar to T33068 hypothetical protein C35E7.9 - Caenorhabditis elegans [C.elegans]
431505		4.60E-03	3.22	0.13817458	HS1-2	putative transmembrane protein
1631735		4.80E-03	3.19	0.14166226	Homo sapiens, clone IMAGE:3604336, mRNA, partial cds	Homo sapiens, clone IMAGE:3604336, mRNA, partial cds
700792	1	5.10E-03	3.15	0.14848582	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
207288		5.60E-03	3.1	0.15877642	INSIG1	insulin induced gene 1
2018131	1	5.80E-03	3.09	0.16117884	RACGAP1	Rac GTPase activating protein 1
