Probe set	Gene symbol	Gene title	Function/biological process	Fold change	Parametric P
204751_x_at	DSC2	Desmocollin 2	Cell adhesion	8,2	P < 0,000001
223861_at	HORMAD1	HORMA domain containing 1		21,5	2,00E-06
228171_s_at	PLEKHG4	Pleckstrin homology domain containing, family G, member 4	Rho protein signal transduction	2,7	2,00E-06
228577_x_at	ODF2L	Outer dense fiber of sperm tails 2 like		2,9	8,00E-06
220941_s_at	C21orf91	Chromosome 21 open reading frame 91		3,6	1,00E-05
227642_at	TFCP2L1	Transcription factor CP2 like 1	Regulation of transcription	5,5	1,00E-05
219867_at	CHODL	Chondrolectin	Hyaluronic acid binding	2,8	1,40E-05
205428_s_at	CALB2	Calbindin 2 (calretinin)	Calcium ion binding	9,2	1,60E-05
228956_at	UGT8	UDP glycosyltransferase 8	Glycosphingolipid biosynthetic process	15,4	1,80E-05
1554246_at	C1orf210	Chromosome 1 open reading frame 210		2,3	2,10E-05
221705_s_at	SIKE	Suppressor of IKK ?		1,9	2,10E-05
211488_s_at	ITGB8	Integrin, Beta 8	Cell adhesion/Signal transduction	1,7	2,60E-05
213372_at	PAQR3	Progestin and adipoQ receptor family member III	Receptor activity	5,6	2,90E-05
208103_s_at	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Phosphatase inhibitor activity	6,0	3,20E-05
60474_at	FERMT1	Fermitin family homologue 1 (drosophila)	Cell adhesion	6,9	3,60E-05
222869_s_at	ELAC1	elaC homologue 1 (Escherichia coli)	tRNA processing	1,6	3,60E-05
227829_at	GYLTL1B	Glycosyltransferase-like 1B	Glycosphingolipid biosynthetic process	2,6	3,90E-05
226075_at	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	Intracellular signaling cascade	2,9	5,60E-05
1553705_a_at	CHRM3	Cholinergic receptor, muscarinic 3	G-protein coupled signal transduction	2,0	6,10E-05
225363_at	PTEN	Phosphatase and tensin homologue (mutated in multiple advanced cancers 1)	Phosphatidylinositol signaling	0,4	6,20E-05
203256_at	CDH3	Cadherin 3, type 1, P-cadherin (placental)	Cell adhesion	6,1	9,50E-05
