Accession No.	Gene Title	Fold change	Function
NM_000602	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	2.03	ANGIOGENESIS
AF135266	nuclear protein 1	-2.24	APOPTOSIS
AA129716	poliovirus receptor-related 3	2.22	CELL ADHESION
AI524125	protocadherin 9	2.75	CELL ADHESION
N95414	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	2.17	CELL ADHESION
BC031054	oxidative stress induced growth inhibitor family member 2	3.49	CELL CYCLE
BF576710	protein tyrosine phosphatase type IVA, member 1	2.51	CELL CYCLE
AW165960	protein tyrosine phosphatase type IVA, member 1	1.94	CELL CYCLE
U83981	protein phosphatase 1, regulatory (inhibitor) subunit 15A	1.78	CELL CYCLE
BF695847	YDD19 protein /// hypothetical LOC646208 /// hypothetical protein LOC651015 /// similar to CG4775-PA /// similar to lethal (2) k00619 CG4775-PA	1.8	DIFFERENTIATION
NM_014903	neuron navigator 3	2.86	DNA BINDING
NM_014903	neuron navigator 3	2.59	DNA BINDING
NM_001498	glutamate-cysteine ligase, catalytic subunit	2.17	METABOLIC PROCESS
NM_014905	glutaminase	2.12	METABOLIC PROCESS
NM_002970	spermidine/spermine N1-acetyltransferase 1	2.88	METABOLIC PROCESS
NM_020299	aldo-keto reductase family 1, member B10 (aldose reductase)	4.03	METABOLIC PROCESS
NM_000167	glycerol kinase	2.75	METABOLIC PROCESS
NM_000169	galactosidase, alpha	2	METABOLIC PROCESS
X78713	glycerol kinase /// glycerol kinase 3 pseudogene	2.01	METABOLIC PROCESS
AB024518	interleukin 33	4.01	PROTEIN BINDING
AA526844	myosin, light chain kinase	-1.62	PROTEIN BINDING
BC005020	peptidylprolyl isomerase F (cyclophilin F)	2.58	PROTEIN BINDING
NM_005729	peptidylprolyl isomerase F (cyclophilin F)	2.84	PROTEIN BINDING
BG252490	DnaJ (Hsp40) homolog, subfamily B, member 4	2.22	PROTEIN BINDING
AF084462	Ras-like without CAAX 1	1.79	SIGNALLING
N30649	sequestosome 1	2	SIGNALLING
AI378647	coagulation factor II (thrombin) receptor-like 2	2.87	SIGNALLING
AL037450	Ras-like without CAAX 1	2.18	SIGNALLING
NM_002398	Meis homeobox 1	-2.01	TRANSCRIPTION
NM_013409	follistatin	2.28	TRANSCRIPTION
AA716425	jun dimerization protein 2	-1.93	TRANSCRIPTION
BF438173	follistatin	2.36	TRANSCRIPTION
BC002841	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	1.53	TRANSLATION
AF063825	transient receptor potential cation channel, subfamily C, member 4	1.92	TRANSPORT
NM_001353	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	1.52	XENOBIOTIC METABOLISM
S68290	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	1.64	XENOBIOTIC METABOLISM
AA594609	Transcribed locus	2.68	MISC
NM_016391	hypothetical protein HSPC111	2.26	MISC
M90657	transmembrane 4 L six family member 1	1.75	MISC
BF062629	transmembrane protein 158	2.55	MISC
NM_025160	WD repeat domain 26	1.82	MISC
AA037664	Cbl-interacting protein Sts-1	2.41	MISC
