Gene Symbol	Name
C16orf45	Chromosome 16 open reading frame 45
CAMK2N1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
CCND1	Cyclin D1
CDH3	Cadherin 3, type 1, P-cadherin (placental)
COX6C	Cytochrome c oxidase subunit VIc
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ESR1	Estrogen receptor 1
FOXA1	Forkhead box A1
GATA3	GATA binding protein 3
GRB7	Growth factor receptor-bound protein 7
ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa
INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105kDa
KRT17	Keratin 17
KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
SCUBE2	Signal peptide, CUB domain, EGF-like 2
SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SLC39A6	Solute carrier family 39 (zinc transporter), member 6
SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1
SLC5A6	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6
TAP1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
TMSB10	Thymosin, beta 10
VAV3	Vav 3 oncogene
XBP1	X-box binding protein 1
ABLIM1	Actin binding LIM protein 1
ACADSB	Acyl-Coenzyme A dehydrogenase, short/branched chain
ACBD4	Acyl-Coenzyme A binding domain containing 4
ACOX2	Acyl-Coenzyme A oxidase 2, branched chain
ACSL1	Acyl-CoA synthetase long-chain family member 1
AKR1C2	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
AKR7A2	Aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
ALCAM	Activated leukocyte cell adhesion molecule
ALDH3A2	Aldehyde dehydrogenase 3 family, member A2
ANG	Angiogenin, ribonuclease, RNase A family, 5
