Probe set	Uni gene	Symbol	Name	Pattern	Location P
218516_s_at	Hs.438689	IMPA3	myo-inositol monophosphatase A3	21	4.37E-10
209642_at	Hs.469649	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homologue (yeast)	21	8.68E-10
223062_s_at	Hs.494261	PSAT1	phosphoserine aminotransferase 1	28	9.43E-10
201475_x_at	Hs.355867	MARS	methionine-tRNA synthetase	28	1.04E-09
208778_s_at	Hs.487054	TCP1	t-complex 1	21	1.30E-09
208079_s_at	Hs.250822	STK6	serine/threonine kinase 6	21	2.61E-09
201263_at	Hs.481860	TARS	threonyl-tRNA synthetase	28	3.15E-09
202737_s_at	Hs.515255	LSM4	LSM4 homologue, U6 small nuclear RNA associated (Saccharomyces cerevisiae)	28	3.38E-09
205047_s_at	Hs.489207	ASNS	asparagine synthetase	28	7.21E-09
216052_x_at	Hs.194689	ARTN	artemin	20	8.46E-09
204744_s_at	Hs.445403	IARS	isoleucine-tRNA synthetase	21	9.30E-09
221059_s_at	Hs.289092	COTL1	coactosin-like 1 (Dictyostelium)	21	1.26E-08
214452_at	Hs.438993	BCAT1	branched chain aminotransferase 1, cytosolic	28	1.93E-08
203209_at	Hs.506989	RFC5	replication factor C (activator 1) 5, 36.5 kDa	28	2.48E-08
213008_at	Hs.513126	FLJ10719	hypothetical protein FLJ10719	28	2.53E-08
203145_at	Hs.514033	SPAG5	sperm associated antigen 5	21	2.64E-08
202481_at	Hs.289347	DHRS3	dehydrogenase/reductase (SDR family) member 3	15	2.78E-08
209408_at	Hs.69360	KIF2C	kinesin family member 2C	21	2.80E-08
217829_s_at	Hs.469173	USP39	ubiquitin specific protease 39	21	2.84E-08
213671_s_at	Hs.355867	MARS	methionine-tRNA synthetase	28	3.38E-08
225300_at	Hs.525796	C15orf23	chromosome 15 open reading frame 23	21	3.77E-08
228400_at	Hs.432504	—	transcribed locus, strongly similar to NP_065910.1 Shroom-related protein; likely orthologue of mouse Shroom; F-actin-binding protein [Homo sapiens]	28	3.81E-08
209545_s_at	Hs.103755	RIPK2	receptor-interacting serine-threonine kinase 2	28	4.12E-08
217853_at	Hs.520814	TENS1	tensin-like SH2 domain containing 1	28	5.44E-08
205194_at	Hs.512656	PSPH	phosphoserine phosphatase	28	6.30E-08
204092_s_at	Hs.250822	STK6	serine/threonine kinase 6	21	6.39E-08
203405_at	Hs.473838	DSCR2	Down syndrome critical region gene 2	21	8.09E-08
214794_at	Hs.478044	PA2G4	proliferation-associated 2G4, 38 kDa	21	8.94E-08
220181_x_at	Hs.482363	SLC30A5	solute carrier family 30 (zinc transporter), member 5	28	1.14E-07
208969_at	Hs.75227	NDUFA9	NADH dehydrogenase (ubiquinone) 1? subcomplex, 9, 39 kDa	28	1.19E-07
226517_at	Hs.438993	BCAT1	branched chain aminotransferase 1, cytosolic	21	1.26E-07
207528_s_at	Hs.6682	SLC7A11	solute carrier family 7, member 11	21	1.32E-07
203968_s_at	Hs.405958	CDC6	CDC6 cell division cycle 6 homologue (S. cerevisiae)	28	1.40E-07
225687_at	Hs.472716	C20orf129	chromosome 20 open reading frame 129	21	1.46E-07
208511_at	Hs.521097	PTTG3	pituitary tumor-transforming 3	28	1.60E-07
201266_at	Hs.434367	TXNRD1	thioredoxin reductase 1	28	1.66E-07
205401_at	Hs.516543	AGPS	alkylglycerone phosphate synthase	28	1.66E-07
217080_s_at	Hs.93564	HOMER2	homer homologue 2 (Drosophila)	20	1.73E-07
202533_s_at	Hs.83765	DHFR	dihydrofolate reductase	21	1.81E-07
204033_at	Hs.436187	TRIP13	thyroid hormone receptor interactor 13	21	1.93E-07
206085_s_at	Hs.19904	CTH	cystathionase (cystathionine ?-lyase)	15	2.02E-07
226001_at	Hs.272251	KLHL5	kelch-like 5 (Drosophila)	28	2.07E-07
202870_s_at	Hs.524947	CDC20	CDC20 cell division cycle 20 homologue (S. cerevisiae)	21	2.10E-07
202705_at	Hs.194698	CCNB2	cyclin B2	21	2.13E-07
204023_at	Hs.518475	RFC4	replication factor C (activator 1) 4, 37 kDa	21	2.20E-07
226661_at	Hs.33366	CDCA2	cell division cycle associated 2	28	2.40E-07
218073_s_at	Hs.476525	TMEM48	transmembrane protein 48	21	2.45E-07
1555427_s_at	Hs.472056	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	21	2.57E-07
225285_at	Hs.438993	BCAT1	branched chain aminotransferase 1, cytosolic	21	2.65E-07
202402_s_at	Hs.274873	CARS	cysteinyl-tRNA synthetase	20	3.13E-07
