Genes	Dermal neurofibromas (n = 22)	Dermal neurofibromas (n = 22)	Plexiform neurofibromas (n = 14)	Plexiform neurofibromas (n = 14)	P	ROC-AUC
FOS	0.61	(0.15–6.30)	8.79	(1.90–344)	0.000053	0.904
JUN	0.83	(0.51–2.35)	2.56	(1.28–11.7)	0.000075	0.896
CDKN1A / P21	0.7	(0.22–3.05)	2.8	(0.83–59.9)	0.00011	0.886
TNFRSF10B / TRAILR2	0.97	(0.41–1.67)	1.62	(1.28–8.42)	0.00013	0.883
IL8	0.86	(0–7.80)	62.9	(2.96–2493)	0.00028	0.864
NOS3	0.98	(0.25–3.00)	1.83	(1.15–11.4)	0.0003	0.862
GRO1 / CXCL1	0.54	(0–4.80)	2.05	(0.04–99.0)	0.001	0.828
PTGS2 / COX2	0.74	(0.25–3.17)	2.47	(0.41–83.6)	0.0015	0.818
EGR1 / KROX24	0.53	(0.24–3.89)	1.57	(0.17–23.4)	0.0017	0.813
SERPINE1 / PAI1	0.68	(0.11–4.41)	2.98	(0.36–35.6)	0.0021	0.808
JUNB	0.77	(0.19–5.57)	3.76	(0.42–151)	0.0041	0.787
LIF	0.88	(0.35–7.87)	1.83	(0.63–48.0)	0.0041	0.787
MYC	0.89	(0.40–2.18)	1.73	(0.41–28.5)	0.0048	0.782
ANGPT2	0.77	(0.26–3,22)	1.6	(0.64–13.8)	0.0067	0.771
H19	0.5	(0.06–3.28)	2.66	(0.13–93.2)	0.0099	0.759
SHC1	0.93	(0.55–2.46)	1.17	(0.85–6.03)	0.012	0.75
THBD / Thrombomodulin	1.04	(0.30–4.43)	1.72	(0.65–22.3)	0.013	0.748
THBS1 / Thrombospondin1	0.67	(0.31–2.76)	1.49	(0.20–31.5)	0.014	0.745
IGF2	0.66	(0.22–10.7)	1.7	(0.58–68.5)	0.016	0.742
NOS1	0.56	(0–7.23)	4.82	(0.03–89.5)	0.016	0.742
RASSF3	0.99	(0.14–11.0)	3.37	(0.37–12.1)	0.016	0.74
IL1B	0.67	(0.08–2.76)	8.91	(0–518)	0.017	0.739
SHH	0.54	(0–14.3)	2.31	(0–1464)	0.018	0.737
GJA1	0.8	(0.48–4.71)	1.21	(0.49–7.67)	0.018	0.737
TNF	0.69	(0.19–3.17)	1.2	(0.41–13.9)	0.02	0.732
FOSB	0.28	(0.03–3.80)	6.84	(0.01–1007)	0.022	0.729
TGFA	0.62	(0.08–15.1)	1.63	(0.36–8.31)	0.023	0.727
TNFRSF10A / TRAILR1	0.87	(0.13–2.51)	1.37	(0.64–12.8)	0.03	0.718
CEBPB / NF-IL6	0.85	(0–2.82)	2.32	(0.19–18.1)	0.043	0.703
IL6	0.64	(0.01–10.2)	6.48	(0.03–8901)	0.046	0.7
S100B	0.98	(0.44–1.68)	0.77	(0.14–3.03)	NS	0.424
TPSB	0.7	(0.32–4.38)	0.96	(0.03–2.57)	NS	0.549
