Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
1552719_at	cancer susceptibility candidate 4	CASC4	15q15.3	113201	0.40031	0.0027	0.40409	0.0024	0.37276	0.0055	0.34536	0.0105
1552773_at	C-type lectin domain family 4, member D	CLEC4D	12p13.31	338339	-0.36711	0.0063	-0.27615	0.0432	-0.32608	0.0161	-0.3499	0.0095
1553508_at	Myelodysplastic syndrome 2 translocation associated	MDS2	1p36	259283	-0.40795	0.0022	-0.29817	0.0285	-0.36795	0.0062	-0.41001	0.0021
1554765_a_at	chromosome 11 open reading frame 64	C11orf64	11q12.2	283197	-0.37354	0.0054	-0.33712	0.0127	-0.41718	0.0017	-0.36112	0.0073
1554874_at	microphthalmia-associated transcription factor	MITF	3p14.2-p14.1	4286	-0.39377	0.0032	-0.42306	0.0014	-0.29674	0.0293	-0.36058	0.0074
1555273_at	GalNAc transferase 10 isoform-like	LOC132604	4q34.1	132604	-0.31781	0.0192	-0.29467	0.0305	-0.39464	0.0031	-0.28987	0.0335
1555688_s_at	Src-like-adaptor 2	SLA2	20q11.23	84174	-0.3791	0.0047	-0.27888	0.0411	-0.41298	0.0019	-0.44855	0.0007
1555897_at	amine oxidase (flavin containing) domain 2	AOF2	1p36.12	23028	0.27524	0.044	0.27058	0.0478	0.36308	0.007	0.32011	0.0183
1556253_s_at	CDNA FLJ37989 fis, clone CTONG2011676	---	---	---	0.29487	0.0304	0.32139	0.0178	0.33453	0.0134	0.35368	0.0087
1556344_at	hypothetical LOC150051	LOC150051	21q22.11	150051	-0.54991	0.0001	-0.50394	0.0001	-0.38754	0.0038	-0.4395	0.0009
1556388_a_at	CDNA FLJ38824 fis, clone LIVER2008945	---	---	---	-0.42203	0.0015	-0.45227	0.0006	-0.58193	0.0001	-0.5068	0.0001
1556992_at	hypothetical LOC550113	LOC550113	4q13.2	550113	-0.32823	0.0154	-0.3627	0.007	-0.32211	0.0175	-0.37481	0.0052
1557293_at	hypothetical gene supported by AK128346	LOC440993	3q29	440993	0.30567	0.0246	0.31244	0.0214	0.42102	0.0015	0.42196	0.0015
1557667_at	CDNA FLJ36588 fis, clone TRACH2013991	---	---	---	0.32288	0.0173	0.32492	0.0165	0.3591	0.0077	0.43248	0.0011
1557861_at	CDNA clone IMAGE:5302109	---	---	---	-0.31497	0.0204	-0.35745	0.008	-0.2799	0.0404	-0.32702	0.0158
1558007_s_at	Leucine carboxyl methyltransferase 1	LCMT1	16p12.3-16p12.1	51451	-0.47649	0.0003	-0.38059	0.0045	-0.4062	0.0023	-0.47625	0.0003
1558605_at	CDNA clone IMAGE:4819775	---	---	---	0.29374	0.0311	0.28653	0.0357	0.38957	0.0036	0.31634	0.0198
1558714_at	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	ROBO1	3p12	6091	0.47168	0.0003	0.50915	0.0001	0.28102	0.0396	0.3348	0.0133
1558905_at	Homo sapiens, clone   IMAGE:4414836, mRNA	---	---	---	-0.29012	0.0333	-0.32903	0.0151	-0.3471	0.0101	-0.39712	0.0029
1559195_at	Similar to SLIT-ROBO Rho GTPase- activating protein 2 (srGAP2) (Formin-binding protein 2)	LOC644312	1p12	644312	-0.31033	0.0224	-0.36587	0.0065	-0.36565	0.0065	-0.43671	0.001
1559491_at	MRNA; cDNA DKFZp761L149 (from clone DKFZp761L149)	---	---	---	0.30658	0.0241	0.28563	0.0363	0.35784	0.0079	0.34204	0.0114
1561171_a_at	FLJ40198 protein /// hypothetical protein FLJ36131 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-G	LOC283767 /// FLJ36131 /// LOC440243 /// LOC440247 /// LOC440320 /// LOC645202 /// LOC646145	15q11.2 /// 15q13.1	283767 /// 338999 /// 440243 /// 440247 /// 440320 /// 645202 /// 646145	-0.32665	0.0159	-0.34076	0.0117	-0.43312	0.0011	-0.43767	0.0009
1561194_at	Full length insert cDNA YN60E10	---	---	---	-0.38156	0.0044	-0.32973	0.0149	-0.38737	0.0038	-0.44064	0.0009
1561303_at	CDNA clone IMAGE:4828317	---	---	---	-0.32772	0.0156	-0.33576	0.0131	-0.46099	0.0005	-0.54359	0.0001
1561427_at	CDNA clone IMAGE:4830402	---	---	---	-0.36267	0.007	-0.33442	0.0135	-0.47913	0.0002	-0.48565	0.0002
1561467_at	CDNA clone IMAGE:4831108	---	---	---	-0.32465	0.0166	-0.31627	0.0198	-0.41163	0.002	-0.44995	0.0006
1562019_at	5-nucleotidase domain containing 4	NT5DC4	2q13	284958	-0.30113	0.0269	-0.28692	0.0354	-0.47719	0.0003	-0.42296	0.0014
1562162_at	Gamma-aminobutyric acid (GABA) B receptor, 2	GABBR2	9q22.1-q22.3	9568	-0.4839	0.0002	-0.47519	0.0003	-0.45775	0.0005	-0.42142	0.0015
1562409_s_at	CDNA clone IMAGE:5269062	---	---	---	-0.4686	0.0004	-0.38913	0.0036	-0.52767	0.0001	-0.51138	0.0001
1562462_at	dynein, axonemal, heavy polypeptide 10	DNAH10	12q24.31	196385	-0.31107	0.022	-0.28249	0.0385	-0.33826	0.0124	-0.40079	0.0027
1562524_at	Homo sapiens, clone IMAGE:5241041, mRNA	---	---	---	-0.44888	0.0007	-0.48315	0.0002	-0.45719	0.0005	-0.49042	0.0002
1562633_at	rhabdomyosarcoma 2 associated transcript (non-coding RNA)	RMST	12q23.1|12 q21	196475	-0.39217	0.0034	-0.45644	0.0005	-0.47352	0.0003	-0.51549	0.0001
1562827_at	Homo sapiens, clone IMAGE:5167652, mRNA	---	---	---	-0.32246	0.0174	-0.3071	0.0239	-0.30557	0.0246	-0.4218	0.0015
1563462_at	Hypothetical protein LOC285419	LOC285419	4q28.1	285419	0.36504	0.0066	0.39618	0.003	0.36269	0.007	0.37977	0.0046
1563854_s_at	hypothetical protein LOC283045	LOC283045	10q21.3	283045	-0.33069	0.0146	-0.33761	0.0125	-0.47074	0.0003	-0.4844	0.0002
1564444_at	Solute carrier family 24 (sodium/potassium/c alcium exchanger), member 3	SLC24A3	20p13	57419	-0.29116	0.0327	-0.33543	0.0132	-0.46549	0.0004	-0.53406	0.0001
1565925_at	solute carrier family 17 (sodium phosphate), member 4	SLC17A4	6p22-p21.3	10050	-0.4006	0.0027	-0.2881	0.0346	-0.52769	0.0001	-0.56904	0.0001
1568658_at	hypothetical gene supported by AK075484; BC014578	LOC339804	2p15	339804	0.402	0.0026	0.41097	0.002	0.41224	0.002	0.4733	0.0003
1569325_at	Actin related protein 2/3 complex, subunit 5, 16kDa	ARPC5	1q25.3	10092	-0.34315	0.0111	-0.39999	0.0027	-0.40152	0.0026	-0.49378	0.0001
202057_at	karyopherin alpha 1 (importin alpha 5)	KPNA1	3q21	3836	0.33657	0.0128	0.31769	0.0192	0.44626	0.0007	0.42894	0.0012
202490_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	IKBKAP	9q31	8518	0.32928	0.015	0.27029	0.0481	0.37014	0.0059	0.32195	0.0176
202497_x_at	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	12p13.3	6515	-0.37549	0.0051	-0.30535	0.0247	-0.32237	0.0174	-0.33285	0.0139
202616_s_at	methyl CpG binding protein 2 (Rett syndrome)	MECP2	Xq28	4204	0.36643	0.0064	0.38973	0.0036	0.35597	0.0082	0.32492	0.0165
203597_s_at	WW domain binding protein 4 (formin binding protein 21)	WBP4	13q14.11	11193	0.35617	0.0082	0.37085	0.0058	0.41164	0.002	0.37946	0.0047
203914_x_at	hydroxyprostaglandi n dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248	0.29447	0.0307	0.27121	0.0473	0.37591	0.0051	0.3737	0.0054
204442_x_at	latent transforming growth factor beta binding protein 4	LTBP4	19q13.1-q13.2	8425	0.35536	0.0084	0.34197	0.0114	0.35107	0.0092	0.32476	0.0166
204671_s_at	ankyrin repeat domain 6	ANKRD6	6q14.2-q16.1	22881	0.47235	0.0003	0.45392	0.0006	0.43718	0.0009	0.35143	0.0092
205415_s_at	ataxin 3	ATXN3	14q24.3-q32.2	4287	0.28426	0.0372	0.32555	0.0163	0.36815	0.0062	0.37917	0.0047
205941_s_at	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	COL10A1	6q21-q22	1300	-0.42337	0.0014	-0.3643	0.0068	-0.43926	0.0009	-0.44606	0.0007
206134_at	ADAM-like, decysin 1	ADAMDEC 1	8p21.2	27299	-0.39455	0.0032	-0.31427	0.0207	-0.43913	0.0009	-0.30264	0.0261
206244_at	complement component (3b/4b) receptor 1 (Knops blood group)	CR1	1q32	1378	-0.40808	0.0022	-0.32418	0.0168	-0.27001	0.0483	-0.27743	0.0423
206281_at	adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1	18p11	116	-0.48362	0.0002	-0.34442	0.0108	-0.60253	0.0001	-0.61615	0.0001
206569_at	interleukin 24	IL24	1q32	11009	-0.32732	0.0157	-0.44761	0.0007	-0.39116	0.0034	-0.45247	0.0006
207158_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	APOBEC1	12p13.1	339	-0.47413	0.0003	-0.40236	0.0026	-0.41612	0.0018	-0.47986	0.0002
207417_s_at	zinc finger protein 177	ZNF177	19p13.2	7730	0.34641	0.0103	0.33959	0.012	0.33752	0.0126	0.31637	0.0198
207859_s_at	cholinergic receptor, nicotinic, beta 3	CHRNB3	8p11.2	1142	-0.43364	0.0011	-0.27539	0.0439	-0.42649	0.0013	-0.38167	0.0044
208289_s_at	etoposide induced 2.4 mRNA	EI24	11q24	9538	0.39233	0.0033	0.3684	0.0061	0.35327	0.0088	0.28878	0.0342
208933_s_at	---	---	---	---	0.32797	0.0155	0.31683	0.0196	0.37328	0.0054	0.33365	0.0137
208940_at	Selenophosphate synthetase 1	SEPHS1	10p14	22929	0.34284	0.0112	0.3493	0.0096	0.50073	0.0001	0.49085	0.0002
209468_at	low density lipoprotein receptor-related protein 5	LRP5	11q13.4	4041	0.35363	0.0087	0.34424	0.0108	0.35033	0.0094	0.32469	0.0166
209815_at	patched homolog (Drosophila)	PTCH	9q22.3	5727	0.41229	0.0019	0.42596	0.0013	0.3826	0.0043	0.40639	0.0023
210111_s_at	KIAA0265 protein	KIAA0265	7q32.2	23008	0.35594	0.0083	0.30714	0.0239	0.42254	0.0015	0.31324	0.0211
210312_s_at	intraflagellar transport 20 homolog (Chlamydomonas)	IFT20	17q11.2	90410	0.35734	0.008	0.29877	0.0282	0.39774	0.0029	0.38187	0.0044
210356_x_at	membrane-spanning 4-domains, subfamily A, member 1	MS4A1	11q12	931	-0.34758	0.01	-0.27582	0.0435	-0.36916	0.006	-0.2833	0.0379
210536_s_at	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	SPAM1	7q31.3	6677	-0.34491	0.0106	-0.37536	0.0052	-0.35904	0.0077	-0.27071	0.0477
210741_at	Rho guanine nucleotide exchange factor (GEF) 12	ARHGEF12	11q23.3	23365	-0.27706	0.0425	-0.28275	0.0383	-0.30019	0.0274	-0.31472	0.0205
211548_s_at	hydroxyprostaglandi n dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248	0.33562	0.0131	0.31141	0.0219	0.39058	0.0035	0.37286	0.0055
211565_at	SH3-domain GRB2-like 3	SH3GL3	15q24	6457	-0.33466	0.0134	-0.44268	0.0008	-0.42429	0.0014	-0.47997	0.0002
212781_at	retinoblastoma binding protein 6	RBBP6	16p12.2	5930	0.30737	0.0238	0.2809	0.0396	0.37945	0.0047	0.32358	0.017
212785_s_at	HDCMA18P protein	HDCMA18P	4q25	51574	0.32972	0.0149	0.28825	0.0345	0.43025	0.0012	0.38518	0.004
