Gene symbol	ProbeSet	Fold	P-value	Function	Refs.
SAM68	39346_at	2.8	4.63E-07	Signal transduction-dependent regulator of RNA splicing	Coyle et al. (2003), Matter et al. (2002), Najib and Sanchez-Margalet (2002)
nmt55	38527_at	3.5	1.90E-07	RNA splicing, cellular proliferation, and carbonic anhydrase activity	Shav-Tal and Zipori (2002)
RNPS1	36186_at	2	1.28E-07	Regulator of RNA splicing	Lykke-Andersen et al. (2001)
NPM	38542_at	2.1	3.38E-07	Cellular proliferation and cell cycle control	Okuda (2002), Okuda et al. (2000)
RAN	38708_at	3.3	7.05E-07	Cellular proliferation	De Luca et al. (2003), Yano (2002)
PSMB7	1313_at	2.7	1.72E-07	Component of 20S proteosome	Nandi et al. (1997)
PSMB1	1447_at	2.6	1.06E-06	Component of 20S proteosome	Nandi et al. (1997)
CTNND2 (delta catenin)	40444_s_at	2.8	2.32E-07	Motility and signaling	Burger et al. (2002), Lu et al. (1999)
ARPC3	35810_at	2.5	1.16E-07	Motility and signaling	Robinson et al. (2001)
PSMB3	1309_at	4.4	2.04E-08	Component of 20S proteosome	Nandi et al. (1997)
PSMB4	1311_at	3.4	7.99E-08	Component of 26S proteosome	McCusker et al. (1997)
PSMA2	1446_at	9.1	8.21E-08	Component of 20S proteosome	Nandi et al. (1997)
PSMA3	1448_at	9.9	1.57E-08	Component of 20S proteosome	Nandi et al. (1997)
PSMC1	688_at	3.4	1.59E-07	Component of 26S proteosome	Tanahashi et al. (1998)
UBC13	1660_at	7.1	1.77E-11	DNA repair-RAD 6 pathway	Hoege et al. (2002)
VBP1	171_at	5.2	3.92E-08	VBP1-DNA mismatch repair	Her et al. (2003)
NDUFA5	38462_at	10.5	8.61E-09	Mitochondrial respiratory chain complex	Zhang et al. (2002)
NDUFB1	38605_at	3.7	3.90E-08	Mitochondrial 38 espiratory chain complex	Zhang et al. (2002)
NDUFS4	38695_at	4.2	1.62E-07	Mitochondrial respiratory chain complex	Zhang et al. (2002)
NDUFB3	38981_at	7.9	1.05E-07	Mitochondrial respiratory chain complex	Zhang et al. (2002)
