Gene Name	Gene Symbol	Affymetrix Probe ID a	Fold Change b	p
Chemokine (C-X-Cmotif) ligand 2	CXCL2	1449984_at	225.985	0.00085
Interleukin 6	IL-6	1450297_at	54.449	0.00085
Interleukin 1 beta	IL-1b	1449399_a_at	47.236	0.03878
Chemokine (C-X-Cmotif) ligand 1	CXCL1	1457644_s_at	37.353	0.00085
Chemokine (C-X-Cmotif) ligand 5	CXCL5	1419728_at	37.709	0.0252
Cyclo oxygenase 2	Cox-2	1417262_at	18.521	0.03465
Serglycine	SRGN	1417426_at	16.612	0.0252
Chemokine (C-Cmotif) ligand 3	CCL3	1419561_at	15.162	0.03878
Matrix metallopeptidase 12	MMP12	1449153_at	11.502	0.04352
Interleukin 1 family, member 9	IL-1F9	1425958_at	6.867	0.042
Matrix metallopeptidase 3	MMP3	1418945_at	3.663	0.04515
Fibrinogen, apolypeptide	FGA	1424279_at	6.942	0.03864
Nuclear receptor subfamily 4, member 1	Nur77 / NR4A	1416505_at	7.92	0.04673
Secretory leukocyte peptidase inhibitor	Slpi	1448377_at	8.996	0.04869
Osteopontin (secreted Phosphoprotein 1)	OPN / Spp1	1449254_at	9.364	0.19182
