Symbol	Locus Link Gene Name	Variation
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	Down-Regulated
ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	Down-Regulated
AOX1	aldehyde oxidase 1	Down-Regulated
ATF3	activating transcription factor 3	Down-Regulated
C	phosphoglucomutase 5	Down-Regulated
C1S	t component 1, s subcomponent	Down-Regulated
C3	complement component 3	Down-Regulated
C7	complement component 7	Down-Regulated
CCL21	chemokine (C-C motif) ligand 21	Down-Regulated
COPEB	core promoter element binding protein	Down-Regulated
CRABP1	cellular retinoic acid binding protein 1	Down-Regulated
CRYAB	crystallin, alpha B	Down-Regulated
CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Down-Regulated
DCN	Decorin	Down-Regulated
DDR2	discoidin domain receptor family, member 2	Down-Regulated
DF	D component of complement (adipsin)	Down-Regulated
DKFZp434B1231	eEF1A2 binding protein (Interim)	Down-Regulated
DPP6	dipeptidylpeptidase VI	Down-Regulated
ECRG4	esophageal cancer related gene 4 protein (Interim)	Down-Regulated
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	Down-Regulated
FBLN2	fibulin 2	Down-Regulated
FGL2	fibrinogen-like 2	Down-Regulated
FLJ44318	Homo sapiens cDNA FLJ44318 fis, clone TRACH3000780	Down-Regulated
GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	Down-Regulated
GEM	GTP binding protein overexpressed in skeletal muscle	Down-Regulated
GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	Down-Regulated
GSN	gelsolin (amyloidosis, Finnish type)	Down-Regulated
HBA1	hemoglobin, alpha 1	Down-Regulated
HBA2	hemoglobin, alpha 2	Down-Regulated
HBB	hemoglobin, beta	Down-Regulated
HF1	H factor 1 (complement)	Down-Regulated
HFL1	H factor (complement)-like 1	Down-Regulated
HFL2	H factor (complement)-like 2	Down-Regulated
IL6	interleukin 6 (interferon, beta 2)	Down-Regulated
KLF2	Kruppel-like factor 2 (lung)	Down-Regulated
LOC83468	gycosyltransferase (Interim)	Down-Regulated
LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	Down-Regulated
MAN1A1	mannosidase, alpha, class 1A, member 1	Down-Regulated
NPC2	Niemann-Pick disease, type C2	Down-Regulated
PLA2R1	phospholipase A2 receptor 1, 180kDa	Down-Regulated
PROML1	prominin-like 1 (mouse)	Down-Regulated
RGS2	regulator of G-protein signalling 2, 24kDa	Down-Regulated
SELE	selectin E (endothelial adhesion molecule 1)	Down-Regulated
SERPINF1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	Down-Regulated
SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	Down-Regulated
SLIT2	slit homolog 2 (Drosophila)	Down-Regulated
SMOC2	secreted modular calcium-binding protein 2 (Interim)	Down-Regulated
SPON2	spondin 2, extracellular matrix protein	Down-Regulated
THBD	Thrombomodulin	Down-Regulated
WISP2	WNT1 inducible signaling pathway protein 2	Down-Regulated
XLKD1	extracellular link domain containing 1	Down-Regulated
DKFZp761K1423	hypothetical protein DKFZp761K1423 (Interim)	Up-Regulated
EFA6R	ADP-ribosylation factor guanine nucleotide factor 6 (Interim)	Up-Regulated
GATA5	GATA binding protein 5	Up-Regulated
HMGA2	high mobility group AT-hook 2	Up-Regulated
KIAA1039	KIAA1039 protein (Interim)	Up-Regulated
LOC220963	hypothetical protein LOC220963 (Interim)	Up-Regulated
NRCAM	neuronal cell adhesion molecule	Up-Regulated
PIWIL1	piwi-like 1 (Drosophila)	Up-Regulated
SORCS1	VPS10 domain receptor protein SORCS 1 (Interim)	Up-Regulated
ST6GalII	alpha 2,6-sialyltransferase (Interim)	Up-Regulated
