Gene	PCOS/NL CTL	PCOS/NL FSK	FSK/CTL NL	FSK/CTL PCOS	Functional Cluster	Further Description
Radical Fringe	1.62	1.22	0.63	0.47	Secreted Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Phosphatase with Tensin Homology	0.45	0.94	0.89	1.88	Kinase/Phosphatase Receptor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Protein Phosphatase 4	3.21	ND	1.19	0.52	Phosphatase	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Adenomatosis polyposis coli	0.46	0.81	0.96	1.72	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Cell Cycle Progression 8	0.46	1.13	0.76	1.86	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Matrix Metalloproteinase 16	0.52	0.94	0.92	1.66	Protein Degradation	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Nucleophosmin/Nucleoplasmin 3	2.05	1.28	0.72	0.45	Protein Translation	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Nuclear Autoantigenic Sperm Protein	1.9	1.06	0.99	0.55	Cellular Trafficking	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Transcription Termination Factor (Pol II)	0.56	0.8	1.14	1.62	Transcription Co-Regulator	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Transformation/Transcription Domain Protein	1.59	0.9	0.91	0.51	Transcription Co-Regulator	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Protein Regulator of Cytokinesis 1	1.77	1.21	0.73	0.5	Structural Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Protocadherin LKC	0.61	1.03	0.91	1.55	Cell Adhesion	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
ATP Binding Cassette D4	1.44	0.82	1	0.57	Pumps and Channels	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 3608205	0.54	0.85	1.18	1.85	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
IMAGE: 843101	0.35	1.17	0.72	2.4	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ22559	1.48	0.67	0.95	0.43	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
EST76509	0.58	0.99	0.85	1.45	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Hypothalamus protein HT009	0.45	0.85	0.93	1.78	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
KIAA1802	1.52	0.98	0.72	0.46	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
FLJ00052	1.55	1.1	0.77	0.54	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
KIAA1887	1.87	0.82	1.17	0.51	Expressed Sequence Tags	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in PCOS but not Normal Theca Cells
Inhibin betaA	0.34	1.25	0.14	0.69	Secreted Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Gremlin	0.46	0.91	0.48	0.93	Secreted Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
ESDN (neurophilin-like protein)	1.8	1.25	1.79	1.24	Transmembrane Receptor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Chromosome 20 ORF 97	0.44	1.38	0.24	0.76	Kinase	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Protein Phosphatase Type 2A	0.51	0.95	0.63	1.17	Phosphatase	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Phosphodiesterase 6D (cGMP-specific)	1.58	1.08	1.99	1.36	Phosphatase	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Wiskott-Aldrich Syndrome like	2.41	0.76	2.97	0.93	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Vav 1 oncogene	0.52	1.36	0.5	1.31	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Phospholipase C, gamma2	0.51	0.74	0.5	0.71	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Butyrate-induced Transcript 1	1.69	1.14	1.82	1.24	Intracellular Signaling	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Glutathione S-transferase A4	1.42	0.92	2.09	1.37	Fatty Acid Metabolism	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Aldehyde Dehydrogenase 1, B1	0.58	0.91	0.45	0.7	Fatty Acid Metabolism	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Fatty Acid Desaturase 1	1.96	1.2	1.98	1.21	Fatty Acid Metabolism	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Group XII secreted phospholipase A2	1.69	1.22	1.95	1.41	Lipid Metabolism	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Phorbolin-like protein MDS019	1.9	0.97	2.31	1.18	Nucleotide Metabolism	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Replication Protein A3	1.38	0.9	1.69	1.1	DNA Replication	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Geminin	1.44	0.91	1.83	1.16	DNA Replication	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Replication factor C	1.56	1.04	1.54	1.02	DNA Replication	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Chondroitin-4-sulfotransferase	2.16	0.86	3.15	1.26	Protein Modification	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Ubiquitin-conjugating enzyme E2E3	1.38	0.95	1.45	0.99	Protein Degradation	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Ring-box 1	1.41	1.09	1.68	1.29	Protein Degradation	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
SMT3 homolog 2	1.45	0.92	1.89	1.19	Protein Degradation	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
High mobility group 20A	1.43	1.02	1.67	1.2	Transcription Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Interleukin enhancer binding factor 2	1.56	0.9	1.55	0.9	Transcription Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Regulatory factor X	1.61	0.95	1.67	0.98	Transcription Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
General transcription factor II, i	1.52	1.06	2.45	1.14	Transcription Factor	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Histone deacetylase 1	1.46	1.1	1.59	1.2	Co-regulator	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
H3 histone family 3B	1.39	1.03	1.52	1.12	Chromatin-associated Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
H2B histone family member A	1.75	1.08	2.29	1.41	Chromatin-associated Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
H2B histone family member S	2.57	0.98	2.67	1.35	Chromatin-associated Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Myosin-I beta	0.62	0.96	0.6	0.93	Structural Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Matrilin 2	2.77	1.01	2.7	0.99	Structural Protein	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Transmembrane 4 superfamily 6	1.6	0.85	2.46	1.3	Cell Surface Antigen	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Solute carrier family 9 isoform 2	0.5	1	0.47	0.93	Pumps and Channels	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
SAM and HD domain 1	2.73	1.53	1.64	0.9	Miscellaneous	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Hepatitis C virus core binding protein 6	1.59	1.02	2.14	1.37	Miscellaneous	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
MGC3067	1.53	1.15	2.04	1.53	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
MGC5149	1.46	0.86	1.78	1.04	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Clone 272E8	0.43	0.85	0.56	1.12	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
Hypothetical protein	2.73	1.24	3.25	1.48	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
MPMGp800CO4260Q003	1.72	1.11	1.62	1.04	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
LOC221302	1.63	1.21	1.75	1.29	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
CGI-110	1.57	1.21	1.8	1.39	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
IMAGE: 265383	2.13	1.27	2.08	1.24	Expressed Sequence Tag	Genes with Altered Expression in Untreated PCOS Theca Cells and Regulated by Forskolin in Normal but not PCOS Theca Cells
