Gene	IMMORT	5AZA	CpG	Locus
Interferon-induced 17 kDa/15 kDa	-4.2	13.9	+	1p36.33
Interferon-inducible peptide (6–16)	-3.3	10.2	-	1p36
mRNA expressed in osteoblast	-4.3	32.5	-	1p31
Microtubular protein p44 (IFI44)	-5.5	17.8	-	1p31.1
Interferon-inducible protein (absent in melanoma 2, AIM2)	-5.3	21.6	-	1q22
Complement factor H	-6.6	6.8	-	1q32
CIG5 vipirin; similar to inflammatory response protein 6	-13.9	67	-	2p25.3
Signal transducer activator of transcription 1 STAT1 91 kDa	-1.9	7.6	+	2q32.2
TNF-related apoptosis-inducing ligand, TRAIL	-6.7	42.2	-	3q26
Cytokine (GRO-beta, GRO-2)	-12.9	29.6	+	4q12-13
Interleukin 8	-15.5	92.7	-	4q12-13
Melanoma growth-stimulatory activity (MGSA) (GRO-1)	-146.3	64.6	+	4q21
HLA class I locus C heavy chain	-4.1	5.7	+	6p21
HLA-F, gene for major histocompatibility complex class I Fa	-8.9	29.4	+	6q21.3
uPA gene (urokinase-plasminogen activator gene)	-14.6	4.4	+	8p12
Ly-6-related protein (9804) gene	-73.7	34.1	+	8q24.3
Tripartite motif-containing protein 14, TRIM14	-4.3	6.2	+	9q22-q31
PCTAIRE 2 (pctaire protein kinase)a	-13.7	19.3	+	9q22.33
Dickkopf-1 (hdkk-1)a	-8.3	14.4	-	10q11.2
CIG49 interferon-induced protein with tetratricopeptide repeats 4	-12.8	70.2	-	10q24
DUSP5 (dual specificity MAP kinase-phosphatase)a	-8.9	12.6	+	10q25
Interferon-inducible 56 kDa protein	-8.6	36.6	-	10q25-q26
Interferon-inducible membrane protein 9–27 (IFITM1)	-11.8	8.8	-	11p15.5
Interferon regulatory factor 7	-6.3	17.5	+	11p15.5
DUSP6 (dual specificity MAP kinase-phosphatase) alpha	-4.7	4.6	+	12q22-q23
(2–5) oligoadenylate synthetase p46/p42 E gene, OAS-1	-15.4	76.5	-	12q24.1
(2–5) oligoadenylate synthetase 59 kDa isoform, OAS-L	-7.4	40	-	12q24.2
(2–5) oligoadenylate synthetase 69/71 kDa isoform, OAS-2	-2.7	19.6	-	12q24.2
Interferon alpha-inducible protein, p27	-13.0	482	-	14q32
HEM45, ISG-20	-21.7	50.2	-	15q26
NK4 protein (natural killer cell transcript 4)	-35.0	20.2	-	16p13.3
Insulin-like growth factor binding protein-4	-33.3	3.8	-	17q12-q21
K12 protein precursor (SECTM1)a	-10.7	19.6	+	17q25
Gamma-interferon-inducible protein (IP-30)	-27.8	31.2	+	19p13.1
BST-2 (bone marrow stroma cell surface gene)	-9.9	38.7	-	19p13.2
Major group rhinovirus receptor (HRV) ICAM	-9.3	28.9	+	19p13.3
Transglutaminase (TGase)	-50.9	144.6	+	20q12
Interferon-inducible protein p78, MX1	-75.7	162	+	21q22.3
Interferon-inducible protein MX2	-5	42	-	21q22.3
