Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
TOCA1	215017_s_at	2.559952788	6.89E-15	gb:AW270932 /DB_XREF=gi:6657962 /DB_XREF=xs06c12.x1 /CLONE=IMAGE:2768854 /FEA=mRNA /CNT=8 /TID=Hs.239681.1 /TIER=ConsEnd /STK=1 /UG=Hs.239681 /LL=54874 /UG_GENE=FLJ20275 /UG_TITLE=hypothetical protein FLJ20275
TPD52L2	201379_s_at	1.488809323	2.15E-13	gb:NM_003288.1 /DB_XREF=gi:4507642 /GEN=TPD52L2 /FEA=FLmRNA /CNT=248 /TID=Hs.154718.0 /TIER=FL+Stack /STK=76 /UG=Hs.154718 /LL=7165 /DEF=Homo sapiens tumor protein D52-like 2 (TPD52L2), mRNA. /PROD=tumor protein D52-like 2 /FL=gb:NM_003288.1 gb:AF004430.1
DNTT	210487_at	3.063569438	6.35E-10	gb:M11722.1 /DB_XREF=gi:339436 /GEN=LA0024A /FEA=FLmRNA /CNT=9 /TID=Hs.272537.0 /TIER=FL /STK=0 /UG=Hs.272537 /LL=1791 /DEF=Human terminal transferase mRNA, complete cds. /PROD=terminal transferase /FL=gb:M11722.1 gb:NM_004088.1
DNTT	1566363_at	2.572287635	7.28E-10	gb:AA585152 /DB_XREF=gi:2385040 /DB_XREF=ATH627 /TID=Hs2.407439.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.407439 /UG_TITLE=Homo sapiens deoxynucleotidyltransferase (DNTT) mRNA, 3 end.
CCNJ	229091_s_at	0.926719327	1.43E-09	gb:AU154786 /DB_XREF=gi:11016307 /DB_XREF=AU154786 /CLONE=NT2RP4002905 /FEA=EST /CNT=13 /TID=Hs.281348.1 /TIER=Stack /STK=9 /UG=Hs.281348 /LL=54619 /UG_GENE=FLJ10895 /UG_TITLE=hypothetical protein FLJ10895
TOCA1	242310_at	1.374710548	3.44E-09	gb:AA665058 /DB_XREF=gi:2619671 /DB_XREF=nu73h06.s1 /CLONE=IMAGE:1216379 /FEA=EST /CNT=6 /TID=Hs.134060.0 /TIER=ConsEnd /STK=0 /UG=Hs.134060 /UG_TITLE=ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
LHFP	218656_s_at	1.694537431	7.26E-09	gb:NM_005780.1 /DB_XREF=gi:5031864 /GEN=LHFP /FEA=FLmRNA /CNT=80 /TID=Hs.93765.0 /TIER=FL+Stack /STK=44 /UG=Hs.93765 /LL=10186 /DEF=Homo sapiens lipoma HMGIC fusion partner (LHFP), mRNA. /PROD=lipoma HMGIC fusion partner /FL=gb:NM_005780.1 gb:AF098807.1
CCNJ	219470_x_at	0.796031321	7.26E-09	gb:NM_019084.1 /DB_XREF=gi:9506628 /GEN=FLJ10895 /FEA=FLmRNA /CNT=35 /TID=Hs.281348.0 /TIER=FL /STK=1 /UG=Hs.281348 /LL=54619 /DEF=Homo sapiens hypothetical protein FLJ10895 (FLJ10895), mRNA. /PROD=hypothetical protein FLJ10895 /FL=gb:NM_019084.1
DKFZp451A211	1556114_a_at	1.28537302	7.95E-09	gb:BC036906.1 /DB_XREF=gi:22477919 /TID=Hs2.181704.1 /CNT=15 /FEA=mRNA /TIER=ConsEnd /STK=6 /UG=Hs.181704 /UG_TITLE=Homo sapiens, clone IMAGE:4524214, mRNA /DEF=Homo sapiens, clone IMAGE:4524214, mRNA.
CDKN2A	209644_x_at	0.923951541	2.24E-08	gb:U38945.1 /DB_XREF=gi:1353569 /GEN=CDKN2A /FEA=FLmRNA /CNT=112 /TID=Hs.1174.1 /TIER=FL+Stack /STK=49 /UG=Hs.1174 /LL=1029 /UG_TITLE=cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) /DEF=Human hypothetical 18.1 kDa protein (CDKN2A) mRNA, complete cds. /FL=gb:U38945.1 gb:U26727.1
DNTT	1566362_at	1.746102841	6.74E-08	gb:AA585152 /DB_XREF=gi:2385040 /DB_XREF=ATH627 /TID=Hs2.407439.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.407439 /UG_TITLE=Homo sapiens deoxynucleotidyltransferase (DNTT) mRNA, 3 end.
MOCS2B	218212_s_at	1.363283711	1.90E-07	gb:NM_004531.1 /DB_XREF=gi:4758731 /GEN=MOCS2 /FEA=FLmRNA /CNT=149 /TID=Hs.70565.0 /TIER=FL+Stack /STK=63 /UG=Hs.70565 /LL=4338 /DEF=Homo sapiens molybdenum cofactor synthesis 2 (MOCS2), mRNA. /PROD=molybdenum cofactor synthesis 2 /FL=gb:NM_004531.1 gb:AF155659.1
S100A16	227998_at	1.278860771	6.31E-07	gb:AA045184 /DB_XREF=gi:1523386 /DB_XREF=zk66c01.s1 /CLONE=IMAGE:487776 /FEA=EST /CNT=23 /TID=Hs.738.3 /TIER=Stack /STK=16 /UG=Hs.738 /LL=9045 /UG_GENE=RPL14 /UG_TITLE=ribosomal protein L14
CDKN2A	207039_at	1.090365503	1.45E-06	gb:NM_000077.1 /DB_XREF=gi:4502748 /GEN=CDKN2A /FEA=FLmRNA /CNT=10 /TID=Hs.1174.0 /TIER=FL /STK=0 /UG=Hs.1174 /LL=1029 /DEF=Homo sapiens cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) (CDKN2A), mRNA. /PROD=cyclin-dependent kinase inhibitor 2A (melanoma,p16, inhibits CDK4) /FL=gb:NM_000077.1 gb:L27211.1
C5orf33	229299_at	1.090741422	1.51E-06	gb:AI816919 /DB_XREF=gi:5435998 /DB_XREF=wj35c01.x1 /CLONE=IMAGE:2404800 /FEA=EST /CNT=17 /TID=Hs.46637.0 /TIER=Stack /STK=11 /UG=Hs.46637 /UG_TITLE=ESTs, Weakly similar to cDNA EST yk289g5.5 comes from this gene (C.elegans)
CYB5R2	220230_s_at	1.498322908	1.71E-06	gb:NM_016229.1 /DB_XREF=gi:7706442 /GEN=LOC51700 /FEA=FLmRNA /CNT=9 /TID=Hs.22142.0 /TIER=FL /STK=5 /UG=Hs.22142 /LL=51700 /DEF=Homo sapiens cytochrome b5 reductase b5R.2 (LOC51700), mRNA. /PROD=cytochrome b5 reductase b5R.2 /FL=gb:AF169802.1 gb:NM_016229.1
NEK6	223158_s_at	0.80673873	2.21E-06	gb:BE616825 /DB_XREF=gi:9898424 /DB_XREF=601279494F1 /CLONE=IMAGE:3611662 /FEA=FLmRNA /CNT=159 /TID=Hs.9625.2 /TIER=Stack /STK=40 /UG=Hs.9625 /LL=10783 /UG_GENE=NEK6 /UG_TITLE=NIMA (never in mitosis gene a)-related kinase 6 /FL=gb:BC000101.1
C5orf33	226946_at	1.080411814	2.86E-06	gb:AI453203 /DB_XREF=gi:4308715 /DB_XREF=tj35h08.x1 /CLONE=IMAGE:2143551 /FEA=EST /CNT=33 /TID=Hs.46637.1 /TIER=Stack /STK=10 /UG=Hs.46637 /UG_TITLE=ESTs, Weakly similar to cDNA EST yk289g5.5 comes from this gene (C.elegans)
LHFP	232935_at	1.218227661	4.48E-06	gb:AA569225 /DB_XREF=gi:2342279 /DB_XREF=nm30h11.s1 /CLONE=IMAGE:1061733 /FEA=mRNA /CNT=5 /TID=Hs.298055.0 /TIER=ConsEnd /STK=0 /UG=Hs.298055 /UG_TITLE=Homo sapiens cDNA FLJ11915 fis, clone HEMBB1000198
RNU19	1567681_at	0.885786763	7.92E-06	gb:X94290.1 /DB_XREF=gi:1296741 /TID=Hs2.381336.1 /CNT=1 /FEA=mRNA /TIER=ConsEnd /STK=0 /LL=26821 /UG_GENE=RNU19 /UG=Hs.381336 /UG_TITLE=RNA, U19 small nucleolar /DEF=H.sapiens small nuclear RNA.
MYC	202431_s_at	1.013794123	8.47E-06	gb:NM_002467.1 /DB_XREF=gi:12962934 /GEN=MYC /FEA=FLmRNA /CNT=167 /TID=Hs.79070.0 /TIER=FL /STK=3 /UG=Hs.79070 /LL=4609 /DEF=Homo sapiens v-myc avian myelocytomatosis viral oncogene homolog (MYC), mRNA. /PROD=v-myc avian myelocytomatosis viral oncogenehomolog /FL=gb:BC000917.2 gb:BC000141.1 gb:NM_002467.1
SYNGR1	210613_s_at	0.792152081	8.47E-06	gb:BC000731.1 /DB_XREF=gi:12653878 /FEA=FLmRNA /CNT=7 /TID=Hs.6139.1 /TIER=FL /STK=0 /UG=Hs.6139 /LL=9145 /UG_GENE=SYNGR1 /DEF=Homo sapiens, synaptogyrin 1, clone MGC:1939, mRNA, complete cds. /PROD=synaptogyrin 1 /FL=gb:BC000731.1
NPM1	221923_s_at	0.528622666	1.12E-05	gb:AA191576 /DB_XREF=gi:1780275 /DB_XREF=zp81c10.s1 /CLONE=IMAGE:626610 /FEA=EST /CNT=32 /TID=Hs.9614.1 /TIER=Stack /STK=14 /UG=Hs.9614 /LL=4869 /UG_GENE=NPM1 /UG_TITLE=nucleophosmin (nucleolar phosphoprotein B23, numatrin)
Matrin 3	242260_at	0.954128805	1.49E-05	gb:BG283790 /DB_XREF=gi:13034085 /DB_XREF=602408096F1 /CLONE=IMAGE:4520327 /FEA=EST /CNT=7 /TID=Hs.214238.0 /TIER=ConsEnd /STK=0 /UG=Hs.214238 /UG_TITLE=ESTs
RPP40	213427_at	0.778874773	1.63E-05	gb:NM_006638.1 /DB_XREF=gi:5730016 /GEN=RPP40 /FEA=FLmRNA /CNT=37 /TID=Hs.115823.0 /TIER=FL+Stack /STK=20 /UG=Hs.115823 /LL=10799 /DEF=Homo sapiens ribonuclease P, 40kD subunit (RPP40), mRNA. /PROD=ribonuclease P, 40kD subunit /FL=gb:NM_006638.1
TBC1D16	222116_s_at	1.107452264	2.23E-05	gb:AL157485.1 /DB_XREF=gi:7018528 /FEA=mRNA /CNT=33 /TID=Hs.91973.1 /TIER=ConsEnd /STK=0 /UG=Hs.91973 /LL=54493 /UG_GENE=FLJ20748 /UG_TITLE=hypothetical protein /DEF=Homo sapiens mRNA; cDNA DKFZp762O207 (from clone DKFZp762O207).
NUDT5	222824_at	0.842525265	2.25E-05	gb:AW237290 /DB_XREF=gi:6569679 /DB_XREF=xm69e05.x1 /CLONE=IMAGE:2689472 /FEA=FLmRNA /CNT=70 /TID=Hs.301957.0 /TIER=Stack /STK=26 /UG=Hs.301957 /LL=11164 /UG_GENE=NUDT5 /UG_TITLE=nudix (nucleoside diphosphate linked moiety X)-type motif 5 /FL=gb:NM_014142.1
GNG11	204115_at	1.534628426	2.81E-05	gb:NM_004126.1 /DB_XREF=gi:4758447 /GEN=GNG11 /FEA=FLmRNA /CNT=81 /TID=Hs.83381.0 /TIER=FL+Stack /STK=23 /UG=Hs.83381 /LL=2791 /DEF=Homo sapiens guanine nucleotide binding protein 11 (GNG11), mRNA. /PROD=guanine nucleotide binding protein 11 /FL=gb:NM_004126.1 gb:U31384.1
DHX33	222875_at	0.606982878	2.83E-05	gb:AI720923 /DB_XREF=gi:5038179 /DB_XREF=as72f06.x1 /CLONE=IMAGE:2334275 /FEA=FLmRNA /CNT=42 /TID=Hs.250456.0 /TIER=Stack /STK=15 /UG=Hs.250456 /LL=56919 /UG_GENE=DKFZp762F2011 /UG_TITLE=hypothetical protein DKFZp762F2011 /FL=gb:NM_020162.1
HSPC111	203023_at	0.738845711	2.84E-05	gb:NM_016391.1 /DB_XREF=gi:7705450 /GEN=HSPC111 /FEA=FLmRNA /CNT=136 /TID=Hs.279918.0 /TIER=FL+Stack /STK=61 /UG=Hs.279918 /LL=51491 /DEF=Homo sapiens hypothetical protein (HSPC111), mRNA. /PROD=hypothetical protein /FL=gb:NM_016391.1 gb:AF151875.1 gb:AF161460.1 gb:AF151019.1
ABHD4	218581_at	0.970173467	3.53E-05	gb:NM_022060.1 /DB_XREF=gi:11545766 /GEN=FLJ12816 /FEA=FLmRNA /CNT=80 /TID=Hs.9175.0 /TIER=FL+Stack /STK=43 /UG=Hs.9175 /LL=63874 /DEF=Homo sapiens hypothetical protein FLJ12816 (FLJ12816), mRNA. /PROD=hypothetical protein FLJ12816 /FL=gb:NM_022060.1
LDHB	201030_x_at	0.499642634	3.53E-05	gb:NM_002300.1 /DB_XREF=gi:4557031 /GEN=LDHB /FEA=FLmRNA /CNT=490 /TID=Hs.234489.0 /TIER=FL+Stack /STK=218 /UG=Hs.234489 /LL=3945 /DEF=Homo sapiens lactate dehydrogenase B (LDHB), mRNA. /PROD=lactate dehydrogenase B /FL=gb:BC002362.1 gb:NM_002300.1
AHCY	200903_s_at	0.615317528	3.76E-05	gb:NM_000687.1 /DB_XREF=gi:9951914 /GEN=AHCY /FEA=FLmRNA /CNT=476 /TID=Hs.172673.0 /TIER=FL+Stack /STK=148 /UG=Hs.172673 /LL=191 /DEF=Homo sapiens S-adenosylhomocysteine hydrolase (AHCY), mRNA. /PROD=S-adenosylhomocysteine hydrolase /FL=gb:NM_000687.1 gb:M61832.1
BAG2	209406_at	0.818315011	4.57E-05	gb:AF095192.1 /DB_XREF=gi:4322819 /FEA=FLmRNA /CNT=133 /TID=Hs.55220.0 /TIER=FL /STK=0 /UG=Hs.55220 /LL=9532 /UG_GENE=BAG2 /DEF=Homo sapiens BAG-family molecular chaperone regulator-2 mRNA, complete cds. /PROD=BAG-family molecular chaperone regulator-2 /FL=gb:AL050287.1 gb:AF095192.1 gb:NM_004282.2
COBLL1	203642_s_at	0.969948444	4.62E-05	gb:NM_014900.1 /DB_XREF=gi:7662427 /GEN=KIAA0977 /FEA=FLmRNA /CNT=136 /TID=Hs.300855.0 /TIER=FL+Stack /STK=45 /UG=Hs.300855 /LL=22837 /DEF=Homo sapiens KIAA0977 protein (KIAA0977), mRNA. /PROD=KIAA0977 protein /FL=gb:AB023194.1 gb:NM_014900.1
IGF1R	225330_at	0.746950016	5.00E-05	gb:AL044092 /DB_XREF=gi:5432319 /DB_XREF=DKFZp434M1328_s1 /CLONE=DKFZp434M1328 /FEA=EST /CNT=86 /TID=Hs.293960.0 /TIER=Stack /STK=37 /UG=Hs.293960 /UG_TITLE=ESTs
