Gene Name	Gene Symbol	Expression Level
ILK=integrin-linked-kinase	ILK	Low
Protein disulfide isomerase-related protein		High
alpha-galactosidase A		High
homolog of mouse MAT-1 oncogene	MAT-1	High
KIAA0631	KIAA0631	High
CTP synthetase		High
GFI-1=growth factor independent 1	GFI-1	High
FLJ11159	FLJ11159	High
Vitamin D 1,25-dihydroxyvitamin D3 receptor		High
LC20632	LC20632	High
PBEF=pre-B cell enhancing factor	PBEF	High
CD63	CD63	High
Uridine monophosphate kinase		High
Adenylosuccinate lyase		High
Adenylosuccinate lyase		High
LC21319	LC21319	High
Importin beta subunit		High
IM1317709	IM1317709	High
SET	SET	High
TFAR15	TFAR15	High
Uridine monophosphate synthetase		High
Casein kinase II alpha chain		High
14-3-3 epsilon		High
Phosphoribosylglycinamide formyltransferase		High
HPRT	HPRT	High
putative oral tumor suppressor protein doc-1		High
PAX-3=Paired box homeotic gene 3	PAX-3	High
Cyclin D2	Cyclin D2	High
Cyclin D2	Cyclin D2	High
Adenylate kinase 2		High
Purine nucleoside translocator 2		High
nm23-H2	nm23-H2	High
LC20023	LC20023	High
CDC10	CDC10	High
Uridine monophosphate kinase		High
glutathione-S-transferase homolog		High
Glutathione synthetase		High
MDS019=phorbolin I paralogue	MDS019	High
MDS019=phorbolin I paralogue	MDS019	High
replication protein A		High
glutathione-S-transferase homolog		High
CD52	CD52	High
cathespin B		High
ER-60 protein disulfide isomerase	ER-60	High
FLJ20706	FLJ20706	Low
FLJ20706	FLJ20706	Low
FLJ20706	FLJ20706	Low
FLJ20706	FLJ20706	Low
IM1336945	IM1336945	Low
IM1352920	IM1352920	Low
IM1286796	IM1286796	Low
IM1241410	IM1241410	Low
