Accession No	Description	Intensity in normal tissue	Intensity in tumour	Ratio tumour/normal
U18018	Adenovirus E1A enhancer-binding protein; E1A-F; ets translocation variant 4	1	92	92
X02761; K00799; K02273	fibronectin precursor (FN)	81	1109	13.7
AF019770	Macrophage inhibitory cytokine 1 (MIC1)?	166	2026	12.2
J04164	Interferon-inducible protein 9–27 (IFITM1)?	211	1956	9.3
M81934; S78187	CDC25B; CDC25HU2; M-phase inducer phosphatase 2	13	120	9.2
X51688	G2/mitotic-specific cyclin A (CCNA; CCN1)	5	44	8.8
V00568	c-myc oncogene?	141	1116	7.9
J03040	Secreted protein acidic and rich in cysteine precursor (SPARC); osteonectin (ON)	18	141	7.8
X60957; S89716	Tyrosine kinase receptor tie-1 precursor	7	54	7.7
M77349	BIGH3?	68	506	7.4
X54942	Cyclin-dependent kinase regulatory subunit (CKS2)?	41	295	7.2
M13982	Interleukin-4 precursor (IL-4); B-cell stimulatory factor 1 (BSF-1)	5	34	6.8
X59618	Ribonucleoside-diphosphate reductase M2 subunit; ribonucleotide reductase	9	61	6.8
M65062	Insulin-like growth factor binding protein 5 precursor (IGF-binding protein 5; IGFBP5; IBP5)	16	105	6.6
M23619	High mobility group protein (HMG-I)	230	1496	6.5
U10564	wee1Hu CDK tyrosine 15-kinase; wee-1-like protein kinase	9	56	6.2
M31469	GTP-binding nuclear protein RAN (TC4)	7	41	5.9
X63629	Cadherin 3 (CDH3); placental cadherin precursor (P-cadherin; CDHP)	12	70	5.8
J04162	Leukocyte IgG receptor (FC-gamma-R)	7	40	5.7
J04088	DNA topoisomerase II alpha (TOP2A)	13	73	5.6
S73885	AP4 basic helix-loop-helix DNA-binding protein	10	56	5.6
U01038	Serine/threonine-protein kinase PLK1 (STPK13)	29	159	5.5
X57766	Matrix metalloproteinase 11 (MMP11); stromelysin 3	87	476	5.5
X54941	Cyclin-dependent kinase regulatory subunit 1 (CKS1)	37	191	5.2
X16707	fos-related antigen (FRA1)	12	61	5.1
M15796; J04718	Proliferating cyclic nuclear antigen (PCNA); cyclin	83	400	4.8
U59435	Cell cycle protein P38-2G4 homologue; HG4-1	47	216	4.6
J02958	met proto-oncogene; hepatocyte growth factor receptor precursor (HGF-SF receptor)	19	85	4.5
U78525	Eukaryotic translation initiation factor 3 beta subunit (EIF-3 beta); EIF3 P116	21	90	4.3
