FC	p value	Gene Name	Gene Symbol
3.995	0.009	major histocompatibility complex, class II, DR beta 5	HLA-DRB5
2.915	0.009	sorting nexin 10	SNX10
2.798	0.008	C-type lectin domain family 4, member E	CLEC4E
2.396	0.003	SLAM family member 8	SLAMF8
2.34	0.006	C-type lectin domain family 6, member A	CLEC6A
2.322	0.006	immunoglobin superfamily, member 6	IGSF6
2.23	0.009	SLAM family member 7	SLAMF7
2.225	0.003	formyl peptide receptor 3	FPR3
2.223	0.004	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	ITGB2
2.203	0.006	chromosome 17 open reading frame 87	C17orf87
2.183	0.002	interferon regulatory factor 8	IRF8
2.114	0.009	guanylate binding protein 5	GBP5
2.107	0.004	integrin, alpha X (complement component 3 receptor 4 subunit)	ITGAX
2.076	0.004	hemopoietic cell kinase	HCK
2.065	0.001	serpin peptidase inhibitor, clade E member 1	SERPINE1
2.035	0.005	interleukin 10 receptor, alpha	IL10RA
2.032	0.008	interleukin 2 receptor, gamma (severe combined immunodeficiency)	IL2RG
2.021	0	ribonuclease, Rnase A family, k6	RNASE6
2.009	0.009	CD180 molecule	CD180
1.993	0.003	FYN binding protein (FYB-120/130)	FYB
1.99	0.006	regulator of G-protein signaling 1	RGS1
1.989	0.004	replication factor C (activator 1) 1, 145kDa	RFC1
1.978	0.001	lymphocyte antigen 96	LY96
1.948	0.003	fermitin family homolog 3 (Drosophila)	FERMT3
1.945	0.009	integrin alpha M (complement component 3 receptor 3 subunit)	ITGAM
1.936	0.004	macrophage expressed 1	MPEG1
1.905	0.003	early growth response 2	EGR2
1.895	0.001	suppressor of cytokine signaling 3	SOCS3
1.878	0.007	jun B proto-oncogene	JUNB
1.869	0.006	major histocompatibility complex, class II, DQ beta 1	HLA-DQB1
1.863	0.001	solute carrier family 15, member 3	SLC15A3
1.833	0.003	neutrophil cytosolic factor 1	NCF1
1.833	0.006	carboxypeptidase, vitellogenic-like	CPVL
1.833	0.006	C-type lectin domain family 7, member A	CLEC7A
1.83	0.007	membrane-associated ring finger (C3HC4) 1	MAR_1
1.817	0.003	purinergic receptor P2Y, G-protein coupled, 13	P2RY13
1.816	0.001	chromosome 6 open reading frame 150	C6orf150
1.816	0.003	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	CSF2RB
1.815	0.005	hepatitis A virus cellular receptor 2	HAVCR2
1.8	0.003	myosin IF	MYO1F
1.797	0.004	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	CSF2RA
1.793	0.002	paired immunoglobin-like type 2 receptor alpha	PILRA
1.792	0.003	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2	MTHFD2
1.785	0.009	superoxide dismutase 2, mitochondrial	SOD2
1.779	0.001	hematopoietic cell-specific Lyn substrate 1	HCLS1
1.772	0.003	alanyl (membrane) aminopeptidase	ANPEP
1.772	0.001	colony stimulating factor 1 receptor	CSF1R
1.755	0.005	chromosome 1 open reading frame 38	C1orf38
1.748	0.006	proline-serine-threonine phosphatase interacting protein 2	PSTPIP2
1.738	0.007	interleukin 8 receptor, beta	IL8RB
