Hugo ID	Name
LDLR	Low-density lipoprotein receptor
AGPAT1	lysophosphatidic acid acyltransferase
EMP3	YMP
RNASE6PL	ribonuclease 6 precursor
LTA4H	Leukotriene A4 hydrolase
XPNPEP1	aminopeptidase P-like
ITGB1	integrin, beta 1 (fibronectin receptor)
NDRG1	RTP
PTPRF	Protein tyrosine phosphatase, receptor type F
ENPP2	autotaxin
TIMP2	Tissue inhibitor of metalloproteinase 2
IL2RB	interleukin 2 receptor beta chain
CASP3	Caspase 3
BSG	Basigin (EMMPRIN)
CASP3	cysteine protease CPPR2 (Caspase 3)
VDR	Vitamin D receptor
POLR2K	RNA polymerase II subunit
SH3GL2	protein containing SH3 domain, SH3GL2
DGCR2	a cell surface protein
EXT1	Exostoses (multiple) 1 (EXT1)
LY6E	retinoic acid induced RIG-E precursor
CD59	CD59 antigen p18-20
PBX2	Pre-B-cell leukemia transcription factor
TAF2F	TFIID subunit TAFII55 (TAFII55)
TSG101	tumor susceptibility protein (TSG101)
GCH1	GTP cyclohydrolase 1
IMPA1	Myo-inositol-1 (or 4)-monophosphatase
PSEN1	Presenilin 1 (Alzheimer disease 3)
YKT6	SNARE protein Ykt6 (YKT6)
HARS	Histidyl-tRNA synthesase
ASNA1	arsenite translocating ATPase hASNA-I
CD59	CD59 antigen p18-20
AAMP	angio-assosciated migratory cell protein
RNH	Ribonuclease/angiogenin inhibitor
PSMC2	26S protease regulatory subunit 7
PTDSS1	Phosphatidylserine synthase 1
ZYK	similar to TR:G576623 G576623 ESP-2
HYAL2	PH-20 homolog (LUCA2)
GLG1	similar to TR:Q62638 Q62638 MG-160
FARSL	putative tRNA synthetase
P4HA1	Procollagen-proline, 2 oxoglutarate 4-di
APBB1	stat-like protein (Fe65)
PTPN12	Protein tyr. Phosphatase, non-receptor type 12
MBTPS1	KIAA0091
HLA-B	MHC class I HLA-B
COPS5	V-jun oncogene homolog
PSMA2	Proteasome component C3
GLG1	cysteine-rich fibroblast growth factor receptor
DDX24	Sp17
DNM1L	dynamin-like protein
PCAF	p300/CBP-assosciated factor (P/CAF)
PTD008	Mannosidase alpha-B (lysosomal)
POLR2E	DNA-directed RNA polymerase II 23 KD
FGL2	fibrinogen-like protein (pT49 protein)
EREG	epiregulin
DHPS	Deoxyhypusine synthase
NT_5	5 nucleotidase (CD73)
SCAMP-4	similar to SCAMP 37
PRKCSH	Protein kinase C substrate 80K-H
FLOT2	surface antigen (Flotilin 2)
SRPK2	serine kinase SRPK2
TAX1BP1	tax 1-binding protein TXBP151
CASP3	cysteine protease CPP32 isoform (Caspase 3)
ADA	ADENOSINE DEAMINASE
DHPS	Deoxyhypusine synthase
PDAP1	PDGF associated protein
IK	IK
HEXB	Hexosaminidase B (beta polypeptide)
HLA-B	MHC class I HLA-B
B2M	Beta-2-microglobulin precursor
MAGEA10	Mage-10 antigen (MAGE 10)
NCSTN	KIAA0253 (Nicastrin)
EIF2B1	Eukaryotic translation initiation factor 2B alpha
AGA	lysosomal glycosylasparaginase
SEPW1	selenoprotein W (selW)
