Acccession #	Gene	Function	Fold up	% down
AJ000414	Cdc42-interacting protein 4 (CIP4)	Cell growth	11.86	–
X67951	Proliferation-associated gene (pag)	Cell proliferation	11.77	–
M24398	Parathyrmosin	Zinc binding	6.9	–
L07758	IEF SSP 9502	Cell growth	6.75	–
U39360	CROC-1A	Cell growth	6.47	–
M76979	Pigment epithelium-differentiation factor (PEDF)	Cell differentiation	6.11	–
AF026547	Neurocan (CSPG3)	Cell motility	5.63	–
U32315	Syntaxin 3	Protein secretion	5.49	–
S66431	Retinoblastoma binding protein 2 (RBP2)	Tumor suppressor	3.45	–
U34051	Cdk 5 activator isoform p39	Cell growth	3	–
U40343	INK4 p19	Induce G1 cell cycle arrest	2.65	–
X74979	trk E	NGF receptor kinase	2.68	–
X66360	p34 CDC2	Cell growth	–	98
L42611	Keratin 6 isoform K6e (KRT6E)	Growth marker	–	88
Z68092	CDC25B tyrosine phosphatase	Promote cell growth	–	87
D55716	CDC47	DNA replication	–	73
J02853	Casein kinase II alpha subunit	DNA replication	–	52
