Gene code	Ave S3	Ave R2	S:R	Difference	Gene Symbol	Protein/gene
A07i	111	36	3.1	?75	CCND2	G1/S-specific cyclin D2 (CCND2) + KIAK0002
A10f	437	77	5.7	?360	MMP11	Matrix metalloproteinase 11 (MMP11); stromelysin 3
A10k	109	34	3.2	?75	CKS1B	Cyclin-dependent kinase regulatory subunit 1 (CKS1)
A14c	197	61	3.2	?136	ETV6	ets-related protein tel; ets translocation variant 6 (ETV6)
B01e	107	32	3.3	?75	RPS6KA3	Ribosomal protein S6 kinase II alpha 3 (S6KII-alpha 3);
B03b	255	79	3.2	?176	MRAP	?-2-macroglobulin receptor-associated protein precursor (alpha-2-MRAP;
B10c	98	32	3.1	?66	MAPK9	c-jun N-terminal kinase 2 (JNK2); JNK55
C03a	107	30	3.6	?77	TNFRSF1A	Tumor necrosis factor receptor (TNFR) + tumor necrosis factor receptor 2
C04b	398	130	3.1	?268	TRAP1	Tumor necrosis factor type 1 receptor associated protein (TRAP1)
C08g	142	32	4.4	?110	MLH1	mutL protein homolog; DNA mismatch repair protein MLH1; COCA2
D06m	168	39	4.3	?129	OSD1	Cytosolic superoxide dismutase 1 (SOD1)
D08d	189	36	5.3	?153	THBS2	Thrombospondin 2 precursor (THBS2; TSP2)
E05i	1608	335	4.8	?1273	MMP1	Matrix metalloproteinase 1 (MMP1); interstitial collagenase precursor (CLG)
F05h	344	48	7.2	?296	MX1	Interferon-regulated resistance GTP-binding protein MXA (IFI-78K);
F06d	285	86	3.3	?199	LDHB	L-Lactate dehydrogenase H subunit (LDHB)
F09f	553	58	9.5	?495	KRT19	Type I cytoskeletal 19 keratin; cytokeratin 19 (K19; CK19)
F12f	2357	407	5.8	?1950	KRT2	Type II cytoskeletal 2 epidermal keratin (KRT2E); cytokeratin 2E (K2E; CK2E)
A08b	85	0	NA	?85	SMAD4	Mothers against dpp homolog 4 (SMAD4); MADR4; pancreatic carcinoma gene 4
A12c	104	0	NA	?104	FOSL2	fos-related antigen 2 (FRA2)
A12j	93	0	NA	?93		cdc2-related protein kinase PISSLRE
B01c	113	0	NA	?113		Dual-specificity mitogen-activated protein kinase kinase 1
B06a	127	0	NA	?127		Insulin-like growth factor binding protein 5 precursor (IGF-binding protein 5;)
C01h	99	0	NA	?99	XRCC1	DNA-repair protein XRCC1
C04g	85	0	NA	?85	ERCC1	DNA excision repair protein ERCC1
C09n	247	0	NA	?247		Acid finger protein
D02c	118	0	NA	?118		Lymphocyte antigen
D05h	76	0	NA	?76	PDGFRB	Platelet-derived growth factor receptor beta subunit (PDGFRB); CD140B antigen
D06c	84	0	NA	?84	CDK7	Mesothelin precursor; CAK1 antigen
D07h	88	0	NA	?88	CD40	CDW40 antigen; CD40L receptor precursor;
E03m	100	0	NA	?100	HLA-DPB1	HLA-DPB1 precursor; HLA class II histocompability antigen SB beta chain
E13h	85	0	NA	?85	WNT5A	Wnt-5A
E14j	96	0	NA	?96	MMP17	Matrix metalloproteinase 17 (MMP17);
F03g	272	0	NA	?272	KRT8	Type II cytoskeletal 8 keratin (KRT8); cytokeratin 8 (K8; CK8)
F05f	159	0	NA	?159		Type I cytoskeletal 13 keratin;
F10m	88	0	NA	?88		IFN-?-induced 11.5-kDa protein
F07a	86	0	NA	?86	LAMB1	Laminin ?-1 subunit precursor (laminin B1; LAMB1)
F13f	167	0	NA	?167	KRT4	Type II cytokeletal 4 keratin (KRT4); cytokeratin 4 (K4; CK4)
