Probe Set	Gene Title	Symbol	Entrez	Location	T-value	P-Value	SAM score (d)	T-value	P-Value	SAM score (d)
202057_at	KPNA1	karyopherin alpha 1 (importin alpha 5)	3836	3q21	0.12259651	0.90344745	0.58990556	2.5637965	0.01580023	2.4119701
202490_at	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	8518	9q31	1.6437433	0.11067028	0.8445394	1.0701033	0.29797933	1.0834165
202497_x_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), membrane 3	6515	12p13.3	0.82601815	0.41531488	0.3640459	0.2416983	0.8109101	-0.22721097
202616_s_at	MECP2	methyl CpG binding protein 2 (Rett syndrome)	4204	Xq28	1.9347867	0.06317782	-1.4506242	1.2059073	0.23727821	-1.1399778
203597_s_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	11193	13q14.11	0.55450356	0.5843651	0.025144579	1.5865519	0.12345935	-1.5057764
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35	2.5726614	0.01641571	1.8872497	2.337184	0.03052822	2.464855
204284_at	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	5507	10q23-q24	1.341642	0.1922696	-1.0442119	0.2524877	0.8032409	0.26180726
204442_x_at	LTBP4	latent transforming growth factor beta binding protein 4	8425	19q13.1-q13.2	0.1252332	0.90142715	-0.54829746	0.2628816	0.7945666	0.26372477
204671_s_at	ANKRD6	ankyrin repeat domain 6	22881	6q14.2-q16.1	0.5771843	0.5689768	0.5997384	2.079043	0.04802682	2.067694
205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	4q11-q12	0.3572672	0.7234787	-0.6653199	0.6873872	0.49729982	0.67658085
205415_s_at	ATXN3	ataxin 3	4287	14q24.3-q32.2	1.70726	0.10597056	1.012147	1.5185674	0.14966488	1.5959601
205528_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22	0.09067008	0.9283574	0.26299566	1.0438645	0.305172	-0.9901872
205941_s_at	COL10A1	collagen, type X, alpha 1 (Schmid metaphyseal chondrodysplasia)	1300	6q21-q22	4.125916	0.00038313	-3.1510775	3.538629	0.00167429	-3.244475
206134_at	ADAMDEC1	ADAM-like, decysin 1	27299	8p21.2	0.02895163	0.9771015	0.6475744	2.0950832	0.04605213	2.0304499
206244_at	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	1378	1q32	0.40969664	0.68581927	0.46444878	1.482547	0.15762293	1.524184
206281_at	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	116	18p11	1.2859701	0.2147507	1.0282719	2.4998083	0.01833346	2.4010844
206569_at	IL24	interleukin 24	11009	1q32	1.4536725	0.1589897	0.6112469	1.2821118	0.21205038	1.2257718
207158_at	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	339	12p13.1	0.7375058	0.46827275	0.4008125	0.4427552	0.6626944	0.449169
207417_s_ at	ZNF177	zinc finger protein 177	7730	19p13.2	0.85036576	0.40288517	-0.4320312	2.2158804	0.0360313	-2.1356695
207859_s_ at	CHRNB3	cholinergic receptor, nicotinic, beta 3	1142	8p11.2	2.1008606	0.04853397	1.7435461	1.1006352	0.2815406	1.0846809
208289_s_ at	EI24	etoposide induced 2.4 mRNA	9538	11q24	1.5111017	0.1415836	-1.09471	2.1091185	0.04654506	-2.1298652
208835_s_ at	CROP	cisplatin resistance-associated overexpressed protein	51747	17q21.33	0.8820753	0.38875943	0.42294025	1.5004562	0.14554319	1.4828244
208933_s_ at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	3964	1q42-q43	0.11859628	0.90672237	0.4926885	0.6866615	0.5005914	0.7006948
208940_at	SEPHS1	selenophosphate synthetase 1	22929	10p14	1.1079971	0.27729046	0.76160824	0.608438	0.5478015	0.5955652
209377_s_ at	HMGN3	high mobility group nucleosomal binding domain 3	9324	6q14.1	1.1304281	0.26725283	-0.6740826	1.2579497	0.21811348	-1.213449
209468_at	LRP5	low density lipoprotein receptor-related protein 5	4041	11q13.4	1.6454889	0.1172182	1.0323436	0.1064128	0.9162192	0.106212504
209815_at	PTCH1	patched homolog 1 (Drosophila)	5727	9q22.3	0.7030353	0.48805195	-0.64914423	0.3905035	0.70074725	0.39930078
210111_s_ at	KIAA0265	KIAA0265 protein	23008	7q32.2	2.9625804	0.00678157	-2.3544753	2.3985496	0.02288198	-2.2817383
210312_s_ at	IFT20	intraflagellar transport 20 homolog (Chlamydomonas)	90410	17q11.2	1.007323	0.32473108	-0.8979065	0.3493016	0.72967625	0.34870604
210356_x_ at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	931	11q12	0.32941124	0.74586874	0.7496904	1.1513789	0.26886111	1.2433064
210536_s_ at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.3	0.9718886	0.3427144	0.7090861	0.8753595	0.39177006	0.8829241
210741_at	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	11q23.3	1.8463064	0.07834607	1.6393275	2.009128	0.05694966	1.8932208
211548_s_ at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35	2.6417475	0.01377593	2.0159485	3.118612	0.00541145	3.2446396
211565_at	SH3GL3	SH3-domain GRB2-like 3	6457	15q24	0.25303298	0.8022327	0.6233575	0.1688865	0.8671929	0.16704962
212179_at	SFRS18	splicing factor, arginine/serine-rich 18	25957	6q16.3	0.62536895	0.53739625	0.52516437	1.0384805	0.30825752	-0.9712523
212263_at	QKI	quaking homolog, KH domain RNA binding (mouse)	9444	6q26-q27	2.2062802	0.03516226	-1.6068401	2.2200902	0.03468191	-2.194391
212781_at	RBBP6	retinoblastoma binding protein 6	5930	16p12.2	0.01391849	0.9890481	0.25667524	1.0883905	0.292546	1.1324236
212785_s_ at	LARP7	La ribonucleoprotein domain family, member 7	51574	4q25	0.35908368	0.722808	-0.000960643	0.5878264	0.5623765	0.5843334
213156_at	---	Homo sapiens, clone IMAGE:4214654, mRNA		---	0.10075089	0.92049265	-0.034530185	1.5637044	0.13283218	1.5622538
213265_at	PGA3 /// PGA4 /// PGA5	pepsinogen 5, group I (pepsinogen A) /// pepsinogen 3, group I (pepsinogen A) /// pepsinogen 4, group I (pepsinogen A)		11q12.2 /// 11q13	0.43867448	0.6653774	0.35409287	0.2233049	0.82526964	0.22233392
213269_at	ZNF248	zinc finger protein 248	57209	---	0.21897025	0.8281562	-0.39544237	0.3593417	0.72248185	-0.35211664
213650_at	GOLGA8A /// GOLGA8B	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B		15q11.2 /// 15q14	0.5888481	0.5606841	-0.250939	0.6118187	0.5479097	0.62079185
