Gene	MG_U74Av2	Normal_NNK	Tumor_NNK	Fold change	p value_NNK	GO term
Cckar	92252_at	1517.53	179.95	-8.43	<0.0001	signal transduction
Map3k6	92276_at	916.5	111.15	-8.25	<0.0001	signal transduction
Pde9a	102338_at	664.3	90.35	-7.35	<0.0001	signal transduction
Adcy8	94737_at	691.43	99.97	-6.92	0.0001	signal transduction
Bmp6	161028_at	7450.35	1087.78	-6.85	<0.0001	signal transduction
Adrb2	93193_at	9598.3	1544.28	-6.22	0.0001	signal transduction
Ptprd	93896_at	320.6	53.62	-5.98	<0.0001	signal transduction
Ptprb	92289_at	5685.18	1057.25	-5.38	<0.0001	signal transduction
Ptprz1	92378_at	159.63	30.12	-5.3	0.0002	signal transduction
Akap12	95022_at	1926.53	371.37	-5.19	<0.0001	signal transduction
Rapgef4	92659_at	363.2	76.08	-4.77	0.0001	signal transduction
Npy1r	93007_at	156.13	33.08	-4.72	<0.0001	signal transduction
Gna14	95364_at	298	66.43	-4.49	<0.0001	signal transduction
Edn1	102737_at	2777.48	628.5	-4.42	0.0001	signal transduction
Fgfr4	92937_at	852	198.85	-4.28	<0.0001	signal transduction
Adcy2	103241_at	1234.7	289.92	-4.26	0.0001	signal transduction
Smad6	104220_at	9647.23	2289.45	-4.21	<0.0001	signal transduction
Lepr	100431_at	2590.23	639.82	-4.05	<0.0001	signal transduction
Ptgfr	97769_at	617.1	152.93	-4.04	<0.0001	signal transduction
Ramp2	99444_at	21202.4	5298.75	-4	<0.0001	signal transduction
Edg2	100435_at	611.13	158.27	-3.86	0.0001	signal transduction
Fgf18	95316_at	317.58	84.6	-3.75	0.0016	signal transduction
Spa17	101850_at	485.03	129.42	-3.75	<0.0001	signal transduction
Acvrl1	100449_g_at	5683.3	1558.13	-3.65	<0.0001	signal transduction
Eng	100134_at	34680.58	9623.03	-3.6	<0.0001	signal transduction
Fgf7	99435_at	666.25	186	-3.58	<0.0001	signal transduction
Wnt11	103490_at	127.73	35.87	-3.56	<0.0001	signal transduction
Tnfrsf6	102921_s_at	687.08	193.27	-3.55	<0.0001	signal transduction
