Probe ID	Expression in relation to other B-cell tumor	Gene Name	Description
204931_at	Up-regulated	TCF21	Transcription factor 21
201650_at	Up-regulated	KRT19	keratin 19
209016_s_at	Up-regulated	KRT7	keratin 7
203453_at	Up-regulated	SCNN1A	sodium channel, nonvoltage-gated 1 alpha
209173_at	Up-regulated	AGR2	anterior gradient 2 homolog (Xenopus laevis)
202286_s_at	Up-regulated	TACSTD2	tumor-associated calcium signal transducer 2
214464_at	Up-regulated	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
204259_at	Up-regulated	MMP7	matrix metallopeptidase 7 (matrilysin, uterine)
201295_s_at	Up-regulated	WSB1	WD repeat and SOCS box-containing 1
206519_x_at	Up-regulated	SIGLEC6	sialic acid binding Ig-like lectin 6
220943_s_at	Up-regulated	PRO1853	Hypothetical protein PRO1853
217147_s_at	Up-regulated	TRAT1	T cell receptor associated transmembrane adaptor 1
210116_at	Down-Regulated	SH2D1A	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)
208192_at	Down-Regulated	---	---
217093_at	Down-Regulated	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)
208570_at	Down-Regulated	WNT1	wingless-type MMTV integration site family, member 1
222268_x_at	Down-Regulated	MUC5B	mucin MUC5B
216500_at	Down-Regulated	---	---
216329_at	Down-Regulated	---	---
216258_s_at	Down-Regulated	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
219744_at	Down-Regulated	FN3K	Fructosamine 3 kinase
206964_at	Down-Regulated	NAT8B	N-acetyltransferase 8B (gene/pseudogene)
215491_at	Down-Regulated	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)
206803_at	Down-Regulated	PDYN	prodynorphin
217158_at	Down-Regulated	LOC728683	similar to Prostaglandin E2 receptor, EP4 subtype (Prostanoid EP4 receptor) (PGE receptor, EP4 subtype)
217587_at	Down-Regulated	HNRPF	Heterogeneous nuclear ribonucleoprotein F
217439_at	Down-Regulated	---	---
207888_at	Down-Regulated	---	---
211307_s_at	Down-Regulated	FCAR	Fc fragment of IgA, receptor for
215432_at	Down-Regulated	ACSM1	acyl-CoA synthetase medium-chain family member 1
203877_at	Down-Regulated	---	---
215413_at	Down-Regulated	EXOC7	exocyst complex component 7
207609_s_at	Down-Regulated	CYP1A2	cytochrome P450, family 1, subfamily A, polypeptide 2
215362_at	Down-Regulated	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
214346_at	Down-Regulated	C1QL1	Complement component 1, q subcomponent-like 1
206877_at	Down-Regulated	MXD1	MAX dimerization protein 1
217112_at	Down-Regulated	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
215839_at	Down-Regulated	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5
208058_s_at	Down-Regulated	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
206881_s_at	Down-Regulated	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3
217229_at	Down-Regulated	ASB4	ankyrin repeat and SOCS box-containing 4
211614_at	Down-Regulated	---	C33.6 unnamed HERV-H protein /// C33.6 unnamed HERV-H protein
207412_x_at	Down-Regulated	CELP	carboxyl ester lipase pseudogene
213823_at	Down-Regulated	HOXA11	homeobox A11
207873_x_at	Down-Regulated	SEZ6L	seizure related 6 homolog (mouse)-like
216454_at	Down-Regulated	TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
206413_s_at	Down-Regulated	TCL1B	T-cell leukemia/lymphoma 1B
216777_at	Down-Regulated	BCAP29	B-cell receptor-associated protein 29
	Down-Regulated	---	---
206293_at	Down-Regulated	SULT2A1	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1
