Function	Gene Symbol	Gene Description
Transcription	DACH1	Dachshund (Drosophila) Homolog
Cell Signaling	LIM2	LIM binding domain 2
Cell Signaling	PLA2G1B	Phospholipase A2 Group IB
Cell Signaling	PLCE1	Phospholipase C, epsilon
Cell Signaling	C14orf43	Lipopolysaccharide response-68 protein
Cell Signaling	AGRP	Agouti related protein
Cell Signaling	PKCG	PKC, gamma
Cell Signaling	PTPRCAP	Protein Tyrosine Phosphatase, Receptor Type c, Polypeptide-Associated Protein
Cell Signaling	NTSR1	Neurotensin Receptor I
Cell Signaling	PDE1A	Phosphodiesterase 1A, calmodulin dependent
Cell Architecture	AP4M1	Adaptor related protein complex 4 mu 1 subunit
Cell Architecture	SNCG	Synuclein gamma
Cell Architecture	TMPO	Thymopoietin
Metabolism	PIBF1	PIBF1
Metabolism	CPB2	Carboxypeptidase B2 (plasma)
Metabolism	CYP2D6	Cytochrome P 450 subfamily VIIB, polypeptide 1
Metabolism	CTSA	Protective protein for beta-galactosidase
Cell growth and differentiation	CDKN2D	Cyclin-dependent kinase inhibitor P19
Cell growth and differentiation	GAP43	GAP-43
Intracellular Protein degradation	SETD2	Huntingtin interacting protein B
Intracellular Protein degradation	UBL4A	Ubiquitin-like 4
