Symbol	Function	Description	KO HDM	WT HDM
Agr2	Secreted epithelial products	Anterior gradient 2 (Xenopuslaevis)	1.4	4.5
Itlna	Secreted epithelial products	Intelectin a	1.3	8.6
Retnlb	Secreted epithelial products	Resistin-like b	1.1	5.8
Scgb3a2	Secreted epithelial products	Secretoglobin, family 3A, member 2	21.5	23.9
Atp1a3	Ion channels/transporters	ATPase, Na1/K1transporting, a3 polypeptide	1.4	2.7
Clca3	Ion channels/transporters	Chloride channel calcium activated 3	1.2	4.7
Fxyd4	Ion channels/transporters	FXYD domain–containing ion transport regulator 4	1.4	3.7
Kcnj15	Ion channels/transporters	Potassium inwardly-rectifying channel, subfamily J, member 15	21.1	2.3
Slc5a1	Ion channels/transporters	Solute carrier family 5 (sodium/glucose cotransporter), member 1	1.2	2.6
Cxcl1	Chemokines	Chemokine (C-X-C motif) ligand 1	1.2	2.3
Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	1.1	12.7
Csf2ra	Host immune response	Colony-stimulating factor 2 receptor, a, low-affinity (granulocyte-macrophage)	1.4	2.3
Fpr-rs2	Host immune response	Formyl peptide receptor, related sequence 2	1.2	22.4
Klf4	Host immune response	Kruppel-like factor 4 (gut)	21.5	22.1
Ltb	Host immune response	Lymphotoxin B	1.3	2.6
Pigr	Host immune response	Polymeric immunoglobulin receptor	1.2	7.6
Scin	Host immune response	Scinderin	1.3	3.4
Tnfrsf9	Host immune response	TNF receptor superfamily, member 9	1.2	2.1
Tnfaip8	Host immune response	TNF-a–induced protein 8	1	2.2
Chi3l1	Inflammation	Chitinase 3-like 1	1.1	2.1
Ear2	Inflammation	Eosinophil-associated, ribonuclease A family, member 2	1.5	2.5
Ear3	Inflammation	Eosinophil-associated, ribonuclease A family, member 3	1.3	2.4
Fcer2a	Inflammation	Fc receptor, IgE, low affinity II, apolypeptide	1.2	2.6
Il33	Inflammation	IL-33	1.3	2.9
Olr1	Inflammation	Oxidized low-density lipoprotein (lectin-like) receptor 1	1.2	2.5
Col6a2	Matrix homeostasis	Procollagen, type VI, a2	1	2.1
Tnc	Matrix homeostasis	Tenascin C	1.4	2.5
Aass	Lysine metabolism	Aminoadipate-semialdehyde synthase	1.1	2.5
Adra2a	Signaling	Adrenergic receptor, a2a	1.3	3.2
Gpr35	Signaling	G protein–coupled receptor 35	1.2	2.1
Gla	Signaling	Galactosidase, a	1.5	2.5
Gclc	Signaling	Glutamate-cysteine ligase, catalytic subunit	1.2	2.5
Guca2a	Signaling	Guanylate cyclase activator 2a (guanylin)	1.1	2.1
Hrb	Signaling	HIV-1 Rev binding protein	21.5	22.6
Mod1	Signaling	Malic enzyme, supernatant	21.1	2.2
Prkcb1	Signaling	Protein kinase C, b1	1.4	2
Ppp1r9a	Signaling	Protein phosphatase 1, regulatory (inhibitor) subunit 9A	21.4	22
Rgs4	Signaling	Regulator of G-protein signaling 4	1.3	2.1
Rbbp4	Signaling	Retinoblastoma binding protein 4	21.1	2
Rbp4	Signaling	Retinol binding protein 4, plasma	21.5	3.2
LOC640441	Signaling	Similar to thrombospondin 1	1.3	2.4
Thbs1	Signaling	Thrombospondin 1	1	2.5
Tmepai	Signaling	Transmembrane, prostate androgen-induced RNA	1.2	2
Atf3	Regulation of gene expression	Activating transcription factor 3	1.3	2.2
Eif3m	Regulation of gene expression	Eukaryotic translation initiation factor 3, subunit M	1	22
Ubtf	Regulation of gene expression	Upstream binding transcription factor, RNA polymerase I	1.3	6.5
Capn9	Protease pathways	Calpain 9 (nCL-4)	1.1	2.7
Corin	Protease pathways	Corin	1.1	2.4
Arrdc3	Cell growth	Arrestin domain containing 3	21.5	22.1
BC004044	Cell growth	cDNA sequence BC004044	1.3	2.4
Egln3	Cell growth	EGL nine homolog 3 (Caenorhabditiselegans)	1.2	2.1
Efnb2	Cell growth	Ephrin B2	21.4	22.2
Fgfbp1	Cell growth	Fibroblast growth factor binding protein 1	21.5	22.2
Gadd45g	Cell growth	Growth arrest and DNA damage–inducible 45 g	1.2	2.3
Tfpi2	Cell growth	Tissue factor pathway inhibitor 2	1.2	2.6
EG668771	Electron transport	3-Phosphoglycerate dehydrogenase	1.1	2.6
Ckmt1	Electron transport	Creatine kinase, mitochondrial 1, ubiquitous	1	2.3
Fmo3	Electron transport	Flavin containing monooxygenase 3	21.3	22.3
Hba-a1	Electron transport	Hemoglobin a, adult chain 1	1.3	3.9
Tdo2	Electron transport	Tryptophan 2,3-dioxygenase	1.2	4
Bex2	Other	Brain expressed X-linked 2	0.7	22.2
Cttnbp2nl	Other	CTTNBP2 N-terminal like	0.7	22.1
1190002H23Rik	Other	RIKEN cDNA 1190002H23 gene	0.7	22.5
4833422F24Rik	Other	RIKEN cDNA 4833422F24 gene	1.3	2.5
3200002M19Rik	Other	RIKEN cDNA 3200002M19 gene	1	2.2
