Fold Change	Genename	Function
200	CHI3L1	ECM
154	CCL18	Chemokine
120	CCL5	Chemokine
120	SH2D1A	Proliferation
120	NKG7	Natural killer receptor
113	HLA-DQB1	Immune regulation
109	FLI1	Oncogene
108	AIF1	Proliferation
108	CORO1A	Cytoskeleton
107	RAC2	Proliferation
106	MAP4K1	Proliferation
104	PSMB8	Proteasome
104	TCRc	T-cell
102	CARD15	Apoptosis
100	LYZ	ECM
100	TRIM	Inflammation
100	CRIP1	Proliferation
96	CDW52	Proliferation
92	TCRb	T-cell receptor
89	UBD	Protein degradation
89	PPP1R16B	Protein phosphatase
