Rank	Gene Symbol	Probe Set ID	P (biCEBPA v moCEBPA)	Fold Change (biCEBPA v moCEBPA)	Fold Change (biCEBPA v wtCEBPA)
1	CLC	GC19M044913_at	0.0002	0.2065	0.2756
2	HOXA9	GC07M027168_at	0.0082	0.328	0.0972
3	PPBP	GC04M075092_at	0.0181	0.4062	0.2675
4	ELA2	GC19P000803_at	0.0433	0.4078	0.356
5	S100A8	GC01M151629_at	0.0037	0.408	0.3702
6	CD52	GC01P026516_at	0.0024	0.4135	0.307
7	DEFA4	GC08M006780_at	0.0422	0.4139	0.5746
8	PRG2	GC11M056911_at	0.0159	0.4159	0.9168
9	KIAA0125	GC14P105461_at	0.006	0.4171	0.5952
10	TUBB6	GC18P012299_at	0.001	0.4251	0.3458
11	NDFIP1	GC05P141468_at	0.0084	0.4399	0.2852
12	COL4A5	GC0XP107489_at	0.0083	0.446	0.3453
13	ZFP36L2	GC02M043362_at	0.0003	0.4567	0.4563
14	SCHIP1	GC03P160474_at	0.0121	0.464	0.3128
15	IGJ	GC04M071761_at	0.0112	0.4701	0.5948
16	CEACAM6	GC19P046954_at	0.0155	0.4731	0.7657
17	GCH1	GC14M054378_at	0.0149	0.4935	0.5133
18	HOXA5	GC07M027147_at	0.0258	0.501	0.1804
19	SPINT2	GC19P043447_at	0.0059	0.5092	0.7348
20	SPINK2	GC04M057370_at	0.0418	0.5101	0.4418
21	CD9	GC12P006179_at	0.02	0.5147	0.3644
22	CPA3	GC03P150065_at	0.0415	0.5185	0.4059
23	LGALS3BP	GC17M074478_at	0.0201	0.5304	0.7754
24	HOXB2	GC17M043975_at	0.0053	0.5306	0.2077
25	CSTB	GC21M044018_at	0.0054	0.5387	0.4157
26	RNASE2	GC14P020493_at	0.0445	0.5413	0.4984
27	NGFRAP1	GC0XP102437_at	0.0235	0.5418	0.4596
28	BCL2A1	GC15M078040_at	0.0217	0.5419	0.4565
29	VNN1	GC06M133044_at	0.007	0.5443	0.5572
30	ALOX5	GC10P045189_at	0.0319	0.5466	0.4136
31	ATP8B4	GC15M047937_at	0.0019	0.5489	0.6663
32	SOCS2	GC12P092466_at	0.0245	0.5608	0.6395
33	DDIT4	GC10P073703_at	0.0176	0.5612	0.4052
34	CCNA1	GC13P035904_at	0.0136	0.5689	0.5316
35	IGHM	GC14M105389_at	0.0089	0.5706	0.4623
36	HOXA10	GC07M027176_at	0.0169	0.5747	0.3009
37	PRKAR2B	GC07P106472_at	0.0199	0.5809	0.4196
38	HIST2H2BE	GC01M148082_at	0.0154	0.5852	0.5508
39	STK17B	GC02M196709_at	0.0161	0.589	0.6159
40	ALOX5AP	GC13P030207_at	0.044	0.5912	0.3765
41	BASP1	GC05P017270_at	0.038	0.5941	0.1878
42	CD97	GC19P014353_at	0.0073	0.5956	0.7087
43	TSPO	GC22P041877_at	0.0088	0.5957	0.4285
44	KLF10	GC08M103731_at	0.0468	0.5984	0.3975
45	HK1	GC10P070699_at	0.0137	0.603	0.5539
46	BEX4	GC0XP102357_at	0.0432	0.6044	0.417
47	MGC15523	GC17M076839_at	0.0054	0.6071	0.6798
48	EPX	GC17P053625_at	0.0257	0.6094	0.8933
49	HIRA	GC22M017692_at	0.0137	0.6131	10.015
50	CHI3L1	GC01M201414_at	0.0352	0.6225	0.8067
51	SNX10	GC07P026298_at	0.0338	0.6251	0.4767
52	ANPEP	GC15M088129_at	0.0024	0.6254	0.836
53	PNMA1	GC14M073248_at	0.0124	0.6263	0.6105
54	STAB1	GC03P052504_at	0.0317	0.6305	0.5869
55	ETS2	GC21P039099_at	0.0359	0.6341	0.5796
56	SNF1LK	GC21M043658_at	0.0342	0.638	0.5732
57	ANXA6	GC05M150460_at	0.0096	0.6406	0.7195
58	PLEKHF2	GC08P096215_at	0.0429	0.6475	0.7526
59	CLK1	GC02M201425_at	0.0106	0.6479	0.7627
60	GABARAPL2	GC16P074157_at	0.003	0.6481	0.7665
61	DSTN	GC20P017498_at	0.0212	0.649	0.8375
62	HOXB6	GC17M044028_at	0.0199	0.6512	0.2981
63	C14orf139	GC14M094943_at	0.0302	0.6531	0.5869
64	TMEM14A	GC06P052643_at	0.0228	0.6594	0.5623
65	DGAT1	GC08M145510_at	0.0018	0.6599	0.6412
66	RTN3	GC11P063205_at	0.0236	0.661	0.8462
67	AP2B1	GC17P030938_at	0.0051	0.6612	0.8619
68	LTB	GC06M031656_at	0.0184	0.6655	0.6742
69	PAM	GC05P102229_at	0.0112	1.5054	1.5455
70	CHST12	GC07P002409_at	0.0387	1.5192	1.9422
71	CD1C	GC01P156526_at	0.002	1.5444	1.3894
72	CYTL1	GC04M005135_at	0.0489	1.6098	4.5863
73	RNASE6	GC14P020319_at	0.0208	1.6458	0.8523
74	DLK1	GC14P100263_at	0.0177	1.6567	1.5518
75	CD34	GC01M206116_at	0.0199	1.6948	2.7015
76	IGFBP7	GC04M057592_at	0.0098	1.6986	1.9129
77	S100B	GC21M046842_at	0.006	1.7149	2.5647
78	EPS8	GC12M015664_at	0.0053	1.7935	1.4576
79	MEST	GC07P129913_at	0.0301	1.8055	3.9606
80	MS4A6A	GC11M059695_at	0.0073	1.9082	1.013
81	POU4F1	GC13M078071_at	0.0176	1.9766	2.2043
82	TRH	GC03P131176_at	0.0255	2.1013	3.8878
