GeneSymbol	Gene	PN+/PN?	P value (Student’s t test)
Hgf	HGF	1.25	0.04775
Mad1	Mad1	1.39	0.04729
Trh	TRH receptor	2.1	0.04585
Mmp7	MMP-7	1.77	0.04459
Cyp26a1	CYP26A1	1.25	0.04455
---	Apolipoprotein D	1.8	0.04441
Kdr	KDR (Flk-1)	1.2	0.04033
Pai1	PAI-1 (plasminogen activator inhibitor 1)	1.27	0.03949
Machb1	MACHbeta1	1.31	0.03905
Il7r	IL-7R	1.28	0.03756
Glut2	Glut2 (SLC2A2)	1.2	0.03713
Mkk6	MKK-6 (MEK-6)	1.35	0.03597
Nfatc3	NFATc3 (NFATx)	1.19	0.03452
Max	Max	1.29	0.03415
Mrm2	MRm2 (muscarinic acetylcholine receptor M2, CHRM2)	1.3	0.03318
Glur4	GluR4	1.5	0.03256
Notch1	Notch1 (TAN1)	1.28	0.03237
Pparg	PPAR-gamma	1.22	0.02148
Sek1	SEK1 (MEK-4, MKK-4)	1.47	0.0184
Ifna	IFN-alpha/betaR	1.28	0.03237
Gabac2r	GABAC-2R (gamma-amino butyric acid receptor r2 subunit)	1.34	0.0169
Vegf	VEGF	1.54	0.01654
---	Integrin alpha 8	1.4	0.01532
Par3	PAR-3	1.29	0.01529
---	Vitronectin (S-protein)	1.42	0.01315
Glur1	GluR1	1.28	0.00944
Il10r	IL-10R	1.27	0.00692
Mmp3	MMP-3	1.37	0.00566
Epro	EpoR (erythropoietin receptor)	1.39	0.00335
Par1	Thrombin R (PAR-1)	1.35	0.00274
