Gene Symbol	GenBank ID	Affy ID	Fold change	P value	Gene Title
ABCA8	NM_007168	204719_at	0.54	5.81E-03	ATP-binding cassette, sub-family A (ABC1), member 8
ABCF1	NM_001090	200045_at	1.3	2.48E-03	ATP-binding cassette, sub-family F (GCN20), member 1
ABHD2	AI557319	63825_at	0.65	2.05E-03	abhydrolase domain containing 2
ABHD2	BE671816	221815_at	0.67	3.27E-03	abhydrolase domain containing 2
ABLIM3	NM_014945	205730_s_at	0.72	3.59E-03	actin binding LIM protein family, member 3
ACACB	AI970898	43427_at	0.64	6.66E-03	acetyl-Coenzyme A carboxylase beta
ACACB	AI057637	221928_at	0.71	8.46E-03	acetyl-Coenzyme A carboxylase beta
ACP5	NM_001611	204638_at	0.54	3.74E-03	acid phosphatase 5, tartrate resistant
ACTR3B	NM_020445	218868_at	1.47	2.80E-03	ARP3 actin-related protein 3 homolog B (yeast)
ADCY9	AB011092	204497_at	0.64	6.08E-03	adenylate cyclase 9
ADH1A	AF153821	209614_at	0.82	8.78E-03	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	M24317	209612_s_at	0.49	1.35E-03	alcohol dehydrogenase IB (class I), beta polypeptide
ADH1B	M21692	209613_s_at	0.57	7.83E-03	alcohol dehydrogenase IB (class I), beta polypeptide
AGTR1	NM_000685	205357_s_at	0.32	4.97E-05	angiotensin II receptor, type 1
AK2	AL513611	212175_s_at	1.42	4.36E-03	adenylate kinase 2
ALDH3A2	NM_000382	202054_s_at	0.66	2.18E-03	aldehyde dehydrogenase 3 family, member A2
AMFR	NM_001144	202203_s_at	1.55	1.00E-03	autocrine motility factor receptor
AOF2	AB011173	212348_s_at	1.34	4.00E-03	amine oxidase (flavin containing) domain 2
AOX1	NM_001159	205083_at	0.69	1.08E-03	aldehyde oxidase 1
APBA2	AB014719	209871_s_at	1.35	8.58E-04	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)
APOL1	AF323540	209546_s_at	1.45	3.94E-03	apolipoprotein L, 1
APOL6	NM_030641	219716_at	1.5	6.30E-04	apolipoprotein L, 6
APP	X06989	214953_s_at	1.34	6.45E-03	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)
ARF4	AL537042	201096_s_at	1.42	8.41E-03	ADP-ribosylation factor 4
ASAH1	AI934569	213702_x_at	0.71	1.90E-03	N-acylsphingosine amidohydrolase (acid ceramidase) 1
ATP2C1	AF225981	209935_at	1.43	3.69E-03	ATPase, Ca++ transporting, type 2C, member 1
ATP2C1	AF189723	211137_s_at	1.55	3.97E-03	ATPase, Ca++ transporting, type 2C, member 1
ATP6AP2	NM_005765	201444_s_at	0.73	6.44E-03	ATPase, H+ transporting, lysosomal accessory protein 2
AURKA	NM_003158	208079_s_at	1.69	4.25E-03	aurora kinase A
AURKA	NM_003600	204092_s_at	1.44	6.27E-03	aurora kinase A
