GenBank ID	Gene Name
M23197	CD33 CD33 antigen (differentiatio n antigen)
X95735	Zyxin
M27891	CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage)
U46499	GLUTATHIONE S-TRANSFERASE, MICROSOMAL
D88422	CYSTATIN A
M84526	DF D component of complement (adipsin)
M31523	TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
L09209	APLP2 Amyloid beta (A4) precursor-like protein 2
M11722	Terminal transferase mRNA
M83652	PFC Properdin P factor, complement
M92287	CCND3 Cyclin D3
X62320	GRN Granulin
X62654	ME491 gene extracted from H.sapiens gene for Me491/CD63 antigen
J05243	SPTAN1 Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
M96326	Azurocidin gene
X59417	PROTEASOME IOTA CHAIN
M31211	MYL1 Myosin light chain (alkali)
M63138	CTSD Cathepsin D (lysosomal aspartyl protease)
M55150	FAH Fumarylacetoacetate
X52056	SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1
X61587	ARHG Ras homolog gene family, member G (rho G)
X17042	PRG1 Proteoglycan 1, secretory granule
M19507	MPO Myeloperoxidase
U50136	Leukotriene C4 synthase (LTC4S) gene
M63379	CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J)
M16038	LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
Z15115	TOP2B Topoisomerase (DNA) II beta (180kD)
M22960	PPGB Protective protein for beta-galacto sidase (galactosialidosis)
HG1612-HT1612	Macmarcks
M31303	Oncoprotein 18 (Op18) gene
M83667	NF-IL6-beta protein mRNA
HG3494-HT3688	Nuclear Factor Nf-Il6
D88270	GB DEF = (lambda) DNA for immunoglobin light chain
U05259	MB-1 gene
D14664	KIAA0022 gene
M93056	LEUKOCYTE ELASTASE INHIBITOR
X90858	Uridine phosphorylase
X85116	Epb72 gene exon 1
X16546	RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN)
M11147	FTL Ferritin, light polypeptide
M14636	PYGL Glycogen phosphorylase L (liver form)
M62762	ATP6C Vacuolar H+ ATPase proton channel subunit
U05572	MANB Mannosidase alpha-B (lysosomal)
X64072	SELL Leukocyte adhesion protein beta subunit
M19508	MPO from Human myeloperoxidase gene, exons 1-4./ntype=DNA /annot=exon
X14008	Lysozyme gene (EC 3.2.1.17)
X17648	GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR ALPHA CHAIN PRECURSOR
U22376	C-myb gene extracted from Human (c-myb) gene, complete primary cds, and five complete alternatively spliced cds
M32304	TIMP2 Tissue inhibitor of metalloproteinase 2
X70297	CHRNA7 Cholinergic receptor, nicotinic, alpha polypeptide 7
M63838	Interferon-gamma induced protein (IFI 16) gene
M33195	Fc-epsilon-receptor gamma-chain mRNA
S82470	BB1
Z49194	OBF-1 mRNA for octamer binding factor 1
L47738	Inducible protein mRNA
X07743	PLECKSTRIN
M29696	IL7R Interleukin 7 receptor
L21954	PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR
M31166	PTX3 Pentaxin-related gene, rapidly induced by IL-1 beta
X98411	GB DEF = Myosin-IE
X97267	LPAP gene
Y07604	Nucleoside-diphosphate kinase
J02783	P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)
Z29067	Nek3 mRNA for protein kinase
L09717	LAMP2 Lysosome-associated membrane protein 2 alternative products
U02020	Pre-B cell enhancing factor (PBEF) mRNA
