Accession no.	Gene symbol	Probe set ID^a	Description	Fold increase U1	Fold increase U2
NM_000508.2	FGA	205649_s_at	Fibrinogen, Aalpha	294	181
NM_000508.2	FGA	205650_s_at	Fibrinogen, Aalpha	60	26
NM_005141.1	FGB	204988_at	Fibrinogen, Bbeta	181	74
NM_005141.1	FGB	216238_s_at	Fibrinogen, Bbeta	79	32
NM_000509.3	FGG	219612_s_at	Fibrinogen, gamma	158	60
NM_004467.1	FGL1	205305_at	Fibrinogen-like 1	15	10
NM_004385.1	CSPG2	204620_s_at	Chondroitin sulfate proteoglycan 2 (versican)	17	16
NM_004385.1	CSPG2	221731_x_at	Chondroitin sulfate proteoglycan 2 (versican)	24	21
NM_004385.1	CSPG2	211571_s_at	Chondroitin sulfate proteoglycan 2 (versican)	21	21
NM_004385.1	CSPG2	215646_s_at	Chondroitin sulfate proteoglycan 2 (versican)	21	20
NM_001680.2	FXYD2	205674_x_at	FXYD domain containing ion transport regulator 2	26	32
NM_001680.2	FXYD2	207434_s_at	FXYD domain containing ion transport regulator 2	17	26
NM_002937.1	RNASE4	205158_at	Ribonuclease, RNase A family 4	14	13
NM_002937.1	RNASE4	213397_x_at	Ribonuclease, RNase A family 4	21	18
NM_003982.1	SLC7A7	204588_s_at	Solute carrier family 7 (cationic amino acid transporter, y+ sys-tem)	24	30
AB002155.1	UPK1B	210065_s_at	Uroplakin 1B	18	21
BC001386.1	TM4SF4	209937_at	Transmembrane 4 superfamily, member 4	11	26
NM_024795.1	FLJ22800	220639_at	Hypothetical protein FLJ22800	26	26
U80736.1	TNRC9	215108_x_at	Trinucleotide repeat containing 9	74	119
NM_014059.1	RGC32	218723_s_at	Response gene to complement 32	28	42
NM_005980.1	S100P	204351_at	S100 calcium binding protein P	15	11
AF088867.1	AGR2	209173_at	Anterior gradient 2 homolog (Xenopus laevis)	23	23
NM_004915.2	ABCG1	204567_s_at	ATP-binding cassette, subfamily G (WHITE), member 1	18	15
NM_000187.1	HGD	205221_at	Homogentisate 1,2-dioxygenase (homogentisate oxidase)	12	10
