UniGene ID	Symbol	Title	Expression
Hs.265174	RPL32	Ribosomal protein L32	Up-Regulated
Hs.694507	NA	Transcribed locus, strongly similar to NP_976229.1	Up-Regulated
Hs.523463	RPL27A	Ribosomal protein L27a	Up-Regulated
Hs.558601	RPL37	Ribosomal protein L37	Up-Regulated
Hs.437594	RPLP2	Ribosomal protein, large P2	Up-Regulated
Hs.381123	RPL21	Ribosomal protein L21	Up-Regulated
Hs.515070	EEF2	Eukaryotic translation elongation factor 2	Up-Regulated
Hs.356331	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	Up-Regulated
Hs.406683	RPS15	Ribosomal protein S15	Up-Regulated
Hs.406300	RPL23	Ribosomal protein L23	Up-Regulated
Hs.156367	RPS29	Ribosomal protein S29	Up-Regulated
Hs.527778	CD82	CD82 molecule	Up-Regulated
Hs.408018	RPL36	Ribosomal protein L36	Up-Regulated
Hs.449909	RPSA	Ribosomal protein SA	Up-Regulated
Hs.631498	NA	Transcribed locus, strongly similar to NP_002286.2	Up-Regulated
Hs.632703	RPL41	Ribosomal protein L41	Up-Regulated
Hs.446628	RPS4X	Ribosomal protein S4, X-linked	Up-Regulated
Hs.107003	CCNB1IP1	Cyclin B1 interacting protein	Up-Regulated
Hs.546269	RPL10A	Ribosomal protein L10a	Up-Regulated
Hs.425125	RPL29	Ribosomal protein L29	Up-Regulated
Hs.534404	RPL10	Ribosomal protein L10	Up-Regulated
Hs.591538	NA	Transcribed locus, strongly similar to NP_536849.1	Up-Regulated
Hs.446427	OAZ1	Ornithine decarboxylase antizyme 1	Up-Regulated
Hs.523463	RPL27A	Ribosomal protein L27a	Up-Regulated
Hs.523185	RPL13A	Ribosomal protein L13a	Up-Regulated
Hs.705373	TUBA1B	Tubulin, alpha 1b	Up-Regulated
Hs.374596	TPT1	Tumor protein, translationally-controlled 1	Up-Regulated
Hs.544577	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	Up-Regulated
Hs.388664	RPL11	Ribosomal protein L11	Up-Regulated
Hs.515371	CAPNS1	Calpain, small subunit 1	Up-Regulated
Hs.512676	RPS25	Ribosomal protein S25	Up-Regulated
Hs.400295	RPL30	Ribosomal protein L30	Up-Regulated
Hs.213088	CHST12	Carbohydrate (chrondroitin 4) sulfotransferase 12	Up-Regulated
Hs.631498	NA	Transcribed locus, strongly similar to NP_002286.2	Up-Regulated
Hs.512675	RPS8	Ribosomal protein S8	Up-Regulated
Hs.431668	COX6B1	Cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	Up-Regulated
Hs.433701	RPL37A	Ribosomal protein L37a	Up-Regulated
Hs.370504	RPS15A	Ribosomal protein S15a	Up-Regulated
Hs.447506		Heterogenous nuclear ribonucleoprotein A1-like	Up-Regulated
Hs.469925	FAM128B	Family with sequence similarity 128, member B	Up-Regulated
Hs.356572	RPS3A	Ribosomal protein S3A	Up-Regulated
Hs.523185	RPL13A	Ribosomal protein L13a	Up-Regulated
Hs.546291	RPS27	Ribosomal protein S27 (metallopanstimulin 1)	Up-Regulated
Hs.534255	NA	Transcribed locus, strongly similar to NP_004039.1	Up-Regulated
Hs.649475	RPL24	Ribosomal protein L24	Up-Regulated
Hs.408054	RPL12	Ribosomal protein L12	Up-Regulated
Hs.181163	HMGN2	High-mobility group nucleosomal binding domain 2	Up-Regulated
Hs.546286	RPS3	Ribosomal protein S3	Up-Regulated
Hs.434937	PPIB	Peptidylprolyl isomerase B (cyclophilin B)	Up-Regulated
Hs.155597	CFD	Complement factor D (adipsin)	Up-Regulated
Hs.534061	NA	Transcribed locus, strongly similar to XP_982612.1	Up-Regulated
Hs.374588	RPL17	Ribosomal protein L17	Up-Regulated
Hs.314359	EIF3K	Eukaryotic translation initiation factor 3, subunit K	Up-Regulated
Hs.694999		Implantation-associated protein	Up-Regulated
Hs.397609	RPS16	Ribosomal protein S16	Up-Regulated
Hs.144835	EEF1G	Eukaryotic translation elongation factor 1 gamma	Up-Regulated
Hs.524910	FTH1	Ferritin, heavy polypetpide 1	Up-Regulated
Hs.433901	COX8A	Cytochrome c oxidase subunit 8A (ubiquitous)	Up-Regulated
Hs.337766	RPL18A	Ribosomal protein L18a	Up-Regulated
Hs.308074	C9orf5	Chromosome 9 open reading frame 5	Up-Regulated
Hs.694507	NA	Transcribed locus, strongly similar to NP_976229.1	Up-Regulated
Hs.650174	HLA-E	Major histocompatibility complex, class I, E	Up-Regulated
Hs.50098	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9 kDA	Up-Regulated
Hs.356794	RPS24	Ribosomal protein S24	Up-Regulated
Hs.518198	CSTA	Cystatin A (stefin A)	Up-Regulated
Hs.433951	GPX4	Glutathione peroxidase 4 (phospholipid hydroperoxidase)	Up-Regulated
