Gene	GenBank No.	Gene Description	Confirmed cases in seven paired samples	Comparison of Unrelated NHL: Relative Expression +/- SD: FL (n=5)	Comparison of Unrelated NHL: Relative Expression +/- SD: DLBCL (n=5)	P-Value	Expression
ABL2	M35296	ARG, Abelson-related gene	3 of 7	1.00 +/- 0.15	0.81 +/- 0.60	0.5465	Increase
CDC20	U05340	p55CDC	4 of 7	1.00 +/- 0.46	1.03 +/- 0.61	0.9358	Increase
HOXA1	U37431	Homeobox A1	6 of 7	1.00 +/- 0.48	1.17 +/- 0.39	0.5499	Increase
IRF4	U52682	Interferon regulatory factor 4	4 of 7	1.00 +/- 0.37	1.54 +/- 1.20	0.3113	Increase
NBK	X89986	BCL2-interacting killer	4 of 7	1.00 +/- 0.44	3.97 +/- 3.82	0.1227	Increase
NEK2	Z29066	NIMA-related kinase 2	4 of 7	1.00 +/- 0.56	2.18 +/- 0.87	0.0421	Increase
NOTCH3	X79439	Notch (Drosophila) homolog 3	5 of 7	1.00 +/- 0.38	7.06 +/- 12.84	0.2419	Increase
NUCB1	U31342	Nucleobindin	3 of 7	1.00 +/- 0.22	0.59 +/- 0.22	0.0186	Increase
TPRC	X99720	Papillary renal carcinoma associated	5 of 7	1.00 +/- 0.33	0.73 +/- 0.24	0.1774	Increase
B-ATF	U15460	Basic leucin zipper transcription factor	3 of 7	1.00 +/- 0.22	1.32 +/- 1.05	0.5259	Decrease
CD22	X59350	B-cell membrane glycoprotein	3 of 7	1.00 +/- 0.41	0.20 +/- 0.22	0.0060	Decrease
CD27	M63928	TNF receptor superfamily member 7	5 of 7	1.00 +/- 0.20	0.48 +/- 0.43	0.0345	Decrease
CR2	S62696	3d/Epstein-Barr virus receptor 2	5 of 7	1.00 +/- 0.48	0.35 +/- 0.29	0.0347	Decrease
ETR101	M62831	Immediate early protein	4 of 7	1.00 +/-0.58	0.83 +/- 0.38	0.5899	Decrease
ICAM3	X69819	Intercellular adhesion molecule 3	3 of 7	1.00 +/- 0.25	0.67 +/- 0.26	0.0727	Decrease
ICSBP1	M91196	IFN consensus sequence binding protein	4 of 7	1.00 +/- 0.41	0.51 +/- 0.41	0.0876	Decrease
IGFBP3	M35878	Insulin-like growth factor binding protein	4 of 7	1.00 +/- 0.38	0.21 +/- 0.12	0.0028	Decrease
IGHM	U24685	Immunoglobulin heavy constant mu	4 of 7	1.00 +/- 1.09	0.94 +/- 1.48	0.9440	Decrease
ITPK3B	X57206	Inositol 1,4,5-triphosphate 3-kinase B	4 of 7	1.00 +/- 0.39	0.43 +/- 0.29	0.0310	Decrease
PDCD-1	U64863	Programmed cell death 1	5 of 7	1.00 +/- 0.39	0.23 +/- 0.11	0.0027	Decrease
RGP3	U27655	Regulator of G-protein signalling 3	4 of 7	1.00 +/- 0.44	0.68 +/- 0.17	0.1852	Decrease
TCF-1	M57732	Hepatic nuclear factor 1	5 of 7	1.00 +/- 0.46	0.12 +/- 0.10	0.0030	Decrease
TCL1	X82240	T-cell leukemia/lymphoma 1A	3 of 7	1.00 +/- 0.82	0.02 +/- 0.03	0.0280	Decrease
TPRM-2	M63379	Clusterin	5 of 7	1.00 +/- 0.29	0.08 +/- 0.09	0.0001	Decrease
VDUP1	S73591	Up-regulated by 1,25-dihydroxyvit. D-3	5 of 7	1.00 +/- 0.44	0.15 +/- 0.14	0.0025	Decrease
