Affymetrix ID	Method 2 genes (82%)†	Symbol	Gene function	Fold change
201029_s_at	cd99 antigen	CD99	cell adhesion	?2.2
201288_at	rho gdp dissociation inhibitor Beta	ARHGDIB	immune response, Rho/Ras signaling	?2.3
201310_s_at	chromosome 5 open reading frame 13	C5orf13	cell communication	?5.9
201347_x_at	glyoxylate reductase/hydroxypyruvate reductase	GRHPR	metabolic process	2.1
206660_at	immunoglobulin lambda-like polypeptide 1	IGLL1	immune response	?44.7
208892_s_at	dual specificity phosphatase 6	DUSP6	cell cycle, inactivation of mitogenactivated protein kinase activity	?2.2
209806_at	histone 1, h2bk	HIST1H2BK	nucleosome assembly	5.1
209942_x_at	melanoma antigen family a, 3	MAGEA3	tumor antigen	26.3
211921_x_at	prothymosin, alpha	PTMA	cell cycle, transcription	?1.6
213515_x_at	hemoglobin, gamma a	HBG2	oxygen transport	138.2
