Probe set	Gene Symbol	Signature	ADC:OT Ratio	SCC:OT Ratio	LCC:OT Ratio	ADC Mean	SCC Mean	LCC Mean	ADC SD	LCC SD	SCC SD
1554246_at	C1orf210	ADC	2.79	0.47	0.49	0.84	-0.49	-0.49	0.73	0.27	0.26
1555950_a_at	CD55	ADC	4.29	0.35	0.31	0.28	-1.20	-1.78	1.30	1.07	0.41
1566766_a_at	7A5	ADC	3.33	0.47	0.35	0.64	-0.61	-1.20	1.15	0.92	0.61
1569208_a_at	---	ADC	2.16	0.60	0.57	0.04	-0.98	-1.20	0.53	0.75	0.34
201042_at	TGM2	ADC	3.19	0.52	0.33	0.32	-0.95	-1.77	1.04	1.34	1.05
201474_s_at	ITGA3	ADC	3.71	0.45	0.30	0.69	-0.77	-1.57	1.10	1.18	0.70
201596_x_at	KRT18	ADC	2.51	0.61	0.42	0.98	-0.18	-1.15	0.43	1.58	0.59
201818_at	LPCAT1	ADC	2.99	0.35	0.59	0.53	-1.38	-1.14	0.84	1.27	0.92
201925_s_at	CD55	ADC	4.03	0.36	0.35	0.23	-1.55	-1.89	1.02	1.15	0.84
201926_s_at	CD55	ADC	4.09	0.36	0.34	0.30	-1.17	-1.68	1.29	1.09	0.48
201941_at	CPD	ADC	2.54	0.52	0.52	0.68	-0.60	-0.81	0.89	1.13	0.76
202071_at	SDC4	ADC	2.76	0.51	0.46	0.34	-0.96	-1.74	0.67	1.61	0.44
202179_at	BLMH	ADC	0.48	1.72	1.21	-0.51	0.76	0.49	0.68	0.35	0.47
202454_s_at	ERBB3	ADC	3.94	0.47	0.24	1.49	-0.21	-1.56	0.65	1.58	0.84
202973_x_at	FAM13A1	ADC	2.42	0.53	0.55	0.38	-0.86	-1.22	0.59	1.21	0.48
203002_at	AMOTL2	ADC	2.14	0.55	0.64	0.22	-0.86	-0.89	0.61	0.92	0.36
203438_at	STC2	ADC	0.33	2.63	1.00	-0.91	0.83	0.15	0.58	0.74	1.10
203908_at	SLC4A4	ADC	5.01	0.30	0.29	0.11	-1.71	-2.14	1.56	1.24	0.85
203913_s_at	HPGD	ADC	7.80	0.23	0.15	-0.17	-2.17	-3.33	1.59	1.44	1.07
203953_s_at	CLDN3	ADC	7.42	0.11	0.33	1.96	-1.56	-0.70	1.05	1.57	0.44
203954_x_at	CLDN3	ADC	4.74	0.21	0.43	1.45	-1.00	-0.42	1.05	1.16	0.38
204160_s_at	ENPP4	ADC	2.27	0.31	0.93	0.20	-1.72	-0.61	0.50	1.07	0.54
204161_s_at	ENPP4	ADC	2.03	0.36	0.96	0.16	-1.49	-0.45	0.39	0.73	0.46
204174_at	ALOX5AP	ADC	3.28	0.48	0.36	0.00	-1.70	-2.33	0.90	1.64	1.32
204351_at	S100P	ADC	7.97	0.27	0.11	2.07	0.00	-2.15	1.91	1.91	1.64
204401_at	KCNN4	ADC	3.39	0.36	0.46	1.30	-0.34	-0.21	1.12	0.84	0.61
204437_s_at	FOLR1	ADC	5.90	0.30	0.20	0.06	-2.23	-3.33	1.52	2.01	1.83
204667_at	FOXA1	ADC	3.07	0.48	0.40	1.33	-0.09	-0.48	1.15	1.13	0.97
204885_s_at	MSLN	ADC	21.61	0.10	0.05	0.86	-1.59	-2.47	2.70	0.40	0.98
204934_s_at	HPN	ADC	3.95	0.37	0.35	0.97	-0.81	-0.98	0.79	0.57	0.28
204988_at	FGB	ADC	119.83	0.01	0.01	3.39	-0.66	-0.98	4.05	0.18	0.21
205076_s_at	MTMR11	ADC	2.69	0.52	0.46	0.61	-0.66	-0.93	0.62	0.68	0.42
205186_at	DNALI1	ADC	3.62	0.37	0.41	0.71	-0.77	-1.01	1.32	1.01	0.51
