Probe Set ID	Gene Symbol	Gene Title	Median fold change	Interquartile range
205009_at	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	2.61	1.45 – 5.04
201890_at	RRM2	ribonucleotide reductase M2 polypeptide	2.45	1.63 – 4.46
206754_s_at	CYP2B7P1	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	2.34	1.27 – 4.47
202503_s_at	KIAA0101	KIAA0101	2.28	1.26 – 3.17
218039_at	NUSAP1	nucleolar and spindle associated protein 1	2.01	1.42 – 2.95
202376_at	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	1.96	1.21 – 2.75
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	1.86	1.23 – 2.37
203213_at	CDC2	Cell division cycle 2, G1 to S and G2 to M	1.82	1.32 – 2.68
209173_at	AGR2	anterior gradient 2 homolog (Xenopus laevis)	1.82	1.00 – 2.76
203929_s_at	MAPT	microtubule-associated protein tau	1.8	1.25 – 2.81
204026_s_at	ZWINT	ZW10 interactor	1.79	1.43 – 2.48
208808_s_at	HMGB2	high-mobility group box 2	1.74	1.10 – 2.57
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2	1.71	1.34 – 2.31
204623_at	TFF3	trefoil factor 3 (intestinal)	1.71	1.24 – 2.30
218585_s_at	DTL	denticleless homolog (Drosophila)	1.7	1.22 – 2.20
214710_s_at	CCNB1	cyclin B1	1.69	1.25 – 2.26
218883_s_at	MLF1IP	MLF1 interacting protein	1.67	1.31 – 2.32
201292_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	1.65	1.22 – 2.18
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	1.61	1.29 – 2.24
209681_at	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	1.59	0.94 – 2.26
209803_s_at	PHLDA2	pleckstrin homology-like domain, family A, member 2	1.59	1.02 – 2.25
202089_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6	1.56	0.98 – 2.29
204798_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	1.53	1.16 – 2.12
204825_at	MELK	maternal embryonic leucine zipper kinase	1.53	1.20 – 2.18
203438_at	STC2	stanniocalcin 2	1.51	1.09 – 2.25
204686_at	IRS1	insulin receptor substrate 1	1.5	1.12 – 2.17
203476_at	TPBG	trophoblast glycoprotein	1.5	1.14 – 1.96
