ProbesetID	GenBank	Description	PTvs.LN(foldchange)	P
201704_at	NM_001247.1	Ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	1.6981	0.001604
49077_at	AL040538	Protein phosphatase methylesterase-1	1.412	0.003291
201510_at	AF017307.1	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	1.9566	0.005047
218773_s_at	NM_012228.1	Pilin-like transcription factor	1.7121	0.003332
208996_s_at	BC000409.1	Polymerase (RNA) II (DNA directed) polypeptide C, 33 kDa	1.815	0.000284
219862_s_at	NM_012336.1	Nuclear prelamin A recognition factor	1.8536	0.001262
214199_at	NM_003019.1	Surfactant, pulmonary-associated protein D	4.7804	0.004862
211296_x_at	AB009010.1	Ubiquitin C	1.6512	0.004562
201170_s_at	NM_003670.1	Basic helix-loop-helix domain containing, class B, 2	2.5915	0.000635
217752_s_at	NM_018235.1	Hypothetical protein FLJ10830	1.3526	0.004737
209774_x_at	M57731.1	Chemokine (C-X-C motif) ligand 2	2.578	0.005568
213399_x_at	AI560720	Ribophorin II	1.4441	0.005581
216091_s_at	AF101784.1	Beta-transducin repeat containing	1.6994	0.003766
200632_s_at	NM_006096.1	N-myc downstream regulated gene 1	5.1944	0.003235
203108_at	NM_003979.2	Retinoic acid induced 3	6.6999	0.002383
200799_at	NM_005345.3	Heat shock 70 kDa protein 1A	2.514	0.004223
218835_at	NM_006926.1	Surfactant, pulmonary-associated protein A2	10.0616	0.004368
212057_at	D80004.1	KIAA0182 protein	2.3652	0.000391
