UP-REGULATED	TGFbeta	Twist	Gsc	Snail	siE-Cadherin
FBLN5	13.048	33.677	8.761	42.803	368.638
GREM1	42.91	69.136	28.355	38.638	318.016
COL3A1	9.722	151.919	353.373	205.902	180.226
COL1A2	10.386	188.365	91.999	137.666	174.858
DCN	14.982	262.248	410.385	202.526	133.245
CDH2	10.124	2.749	7.617	3.158	49.675
ENPP2	4.9	119.625	2.163	78.579	49.254
POSTN	32.366	54.615	138.016	191.108	47.735
RGS4	6.264	24.117	7.681	29.041	40.459
C5ORF13	5.269	9.125	9.251	14.025	34.377
PRRX1	10.979	27.762	2.474	22.096	30.746
FBN1	14.396	37.659	26.783	25.291	25.318
SRGN	6.354	55.427	14.593	54.553	24.619
SPOCK1	15.216	17.829	6.933	13.306	20.627
PRR16	3.892	8.61	24.714	8.725	19.568
DLC1	4.328	7.435	10.464	7.088	19.136
BIN1	4.215	6.409	11.046	6.393	18.678
RGL1	7.363	9.78	6.805	8.13	18.351
IGFBP4	4.204	8.711	19.323	10.738	17.896
PVRL3	6.8	10.325	13.896	11.412	12.103
CDH11	13.013	10.87	9.356	10.643	11.805
OLFML3	7.328	35.485	8.397	22.138	10.821
MMP2	8.424	8.776	3.824	11.032	10.385
MYL9	3.141	34.005	3.297	12.764	10.22
COL5A2	9.015	27.641	49.048	28.204	9.241
CTGF	3.425	7.433	14.234	11.047	9.063
PLEKHC1	3.591	2.909	3.516	4.082	8.901
ZEB1	4.051	11.887	2.753	6.243	7.797
ROR1	7.167	12.505	13.048	11.539	7.665
PTGER2	3.898	2.741	4.9	3.825	7.18
CHN1	4.231	11.399	5.284	3.639	6.612
PMP22	4.117	19.018	11.524	8.587	5.58
TRAM2	3.41	7.929	11.693	6.379	5.46
TAGLN	3.468	4.68	3.016	5.024	5.155
TNFAIP6	11.565	8.387	3.507	18.176	5.101
CREB3L1	3.901	8.83	5.713	4.753	4.919
UGDH	3.99	3.695	3.752	3.905	4.062
HAS2	8.153	11.759	4.618	8.08	3.831
DNAJB4	3.052	14.444	9.884	7.527	3.785
CDKN2C	4.825	2.97	6.795	3.462	3.679
CCDC92	3.949	9.32	5.462	5.894	3.601
WNT5A	8.964	48.916	18.086	13.791	3.533
IGFBP3	3.079	8.214	22.646	4.595	3.508
PPM1D	3.512	2.46	2.98	2.661	2.8
FILIP1L	4.301	3.037	2.396	2.582	2.731
PDGFC	3.264	2.464	3.449	3.108	2.599
TBX3	6.005	2.583	5.096	4.365	2.515
XYLT1	7.03	7.283	0.429	4.145	2.395
FAP	4.839	5.55	0.231	5.283	2.379
DPT	3.08	6.572	9.398	5.579	2.244
STC1	4.14	4.344	3.506	3.696	2.019
KRT81	5.803	0.37	0.199	0.445	0.245
MMP1	3.599	2.754	0.461	6.767	0.097
HS3ST2	4.832	0.452	0.368	0.446	0.073
LMCD1	3.003	5.201	4.475	2.567	3.689
N-PAC	2.97	7.648	2.367	3.414	8.902
6-Sep	2.97	7.648	2.367	3.414	8.902
NR2F1	2.939	13.561	130.745	21.783	23.894
SCCPDH	2.905	4.766	4.255	2.598	2.406
MLPH	2.904	5.805	2.985	6.532	12.201
LTBP2	2.839	3.937	4.677	5.21	3.769
TPM1	2.839	4.262	2.566	2.988	3.544
ANKRD25	2.742	2.953	6.541	3.735	4.262
DDR2	2.636	9.471	2.147	2.973	6.459
SEMA5A	2.631	8.203	17.031	9.754	4.114
TGFB1I1	2.609	2.306	2.236	2.281	2.706
PCOLCE	2.569	24.393	3.485	37.666	14.735
STARD13	2.565	2.703	5.378	3.777	2.986
NID1	2.52	108.937	187.264	110.07	71.234
SYNC1	2.485	6.708	2.775	3.86	2.713
ENOX1	2.467	7.981	2.713	3.959	13.104
FSTL1	2.421	8.213	6.012	4.97	2.353
VIM	2.418	2.717	2.781	2.635	2.378
MME	2.411	14.66	3.995	6.122	18.711
C10ORF56	2.353	5.901	11.412	5.704	2.97
LTBP1	2.342	9.786	0.402	7.62	21.818
NRP1	2.319	3.613	5.291	5.009	3.139
THY1	2.272	9.683	2.769	4.01	5.489
NEBL	2.267	9.141	4.885	15.382	19.558
TNS3	2.195	2.535	5.033	3.009	2.709
ECM1	2.191	3.99	14.617	2.627	0.395
FBLN1	2.144	18.672	3.477	4.65	4.239
TUBA1A	2.137	2.832	3.122	3.393	2.724
COPZ2	2.135	3.428	8.083	2.834	2.396
CYBRD1	2.098	8.179	10.402	7.578	4.049
PPAP2B	2.084	3.817	11.398	7.431	5.261
PTX3	2.032	8.371	13.453	17.87	59.011
FADS2	2.003	4.278	2.025	2.164	2.422
BGN	2.003	4.878	3.211	10.988	9.809
TSHZ1	2.003	4.878	3.211	10.988	9.809
ZBTB38	2.001	2.831	2.651	2.495	2.425
