Entrez ID	HUGO gene symbol	probe set ID U133	probe set ID 1.0ST	Group 1	Group 2	Fold Difference (LSC/HSC, U133)	Fold Difference (LSC/HSC, 1.0ST)	chromosome	description	Class
10097	ACTR2	1558015_s_at	8042337	YES	NO	4.2638	1.8188	2	ARP2 actin-related protein 2 homolog (yeast)	Plasma membrane & Extracellular
123	ADFP	209122_at	8160297	YES	NO	3.2797	2.3209	9	adipose differentiation-related protein	Plasma membrane & Extracellular
154	ADRB2	206170_at	8109086	NO	YES	5.104	1.255	5	adrenergic, beta-2-, receptor, surface	Plasma membrane & Extracellular
26289	AK5	222862_s_at	7902452	YES	YES	3.1895	16.5796	1	adenylate kinase 5	Other
240	ALOX5	204446_s_at	7927215	YES	NO	18.4004	2.6463	10	arachidonate 5-lipoxygenase	Other
241	ALOX5AP	204174_at	7968344	YES	NO	2.8061	9.5599	13	arachidonate 5-lipoxygenase-activating protein	Plasma membrane & Extracellular
285	ANGPT2	205572_at	8149071	NO	YES	1.9962	4.9281	8	angiopoietin 2	Plasma membrane & Extracellular
304	ANXA2P2	208816_x_at	8154836	YES	NO	4.5495	4.8032	9	annexin A2 pseudogene 2	Other
93663	ARHGAP18	225171_at	8129458	YES	NO	4.3548	2.5895	6	Rho GTPase activating protein 18	Signaling molecule
408	ARRB1	222912_at	7950473	YES	NO	3.8043	1.9404	11	arrestin, beta 1	Signaling molecule
25923	ATL3	223452_s_at	7948997	YES	NO	3.6187	1.8605	11	atlastin 3	Other
526	ATP6V1B2	201089_at	8144931	YES	NO	4.0733	2.0284	8	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	Other
528	ATP6V1C1	202872_at	8147724	YES	NO	3.2006	2.3894	8	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	Other
51382	ATP6V1D	208899_x_at	7979698	YES	NO	4.6313	2.2873	14	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	Other
6790	AURKA	208079_s_at	8067167	YES	NO	2.0444	2.4771	20	aurora kinase A	Cell cycle
566	AZU1	214575_s_at	8024038	YES	NO	3.3641	4.0737	19	azurocidin 1	Plasma membrane & Extracellular
638	BIK	205780_at	8073605	YES	NO	5.3934	8.8991	22	BCL2-interacting killer (apoptosis-inducing)	Apoptosis
671	BPI	205557_at	8062444	NO	YES	1.3784	6.2861	20	bactericidal/permeability-increasing protein	Plasma membrane & Extracellular
57103	C12orf5	219099_at	7953211	YES	YES	6.1678	4.4117	12	chromosome 12 open reading frame 5	Other
79866	C13orf34	219544_at	7969374	YES	NO	3.7631	2.3038	13	chromosome 13 open reading frame 34	Cell cycle
284021	C17orf60	217513_at	8009243	YES	NO	3.2027	3.7201	17	chromosome 17 open reading frame 60	Other
125228	C18orf19	235022_at	8022404	YES	NO	2.828	1.8669	18	chromosome 18 open reading frame 19	Other
29071	C1GALT1C1	219283_at	8174820	YES	NO	4.6168	2.2689	X	C1GALT1-specific chaperone 1	Other
79000	C1orf135	220011_at	7913852	YES	NO	2.8168	2.9438	1	chromosome 1 open reading frame 135	Other
65260	C1orf163	219420_s_at	7916219	YES	NO	2.9798	2.4301	1	chromosome 1 open reading frame 163	Other
440712	C1orf186	230381_at	7923875	YES	NO	10.2556	2.3674	1	chromosome 1 open reading frame 186	Other
719	C3AR1	209906_at	7960874	YES	YES	8.2753	4.4025	12	complement component 3a receptor 1	Plasma membrane & Extracellular
115004	C6orf150	1559051_s_at	8127534	YES	NO	2.9862	3.4927	6	chromosome 6 open reading frame 150	Other
785	CACNB4	207693_at	8055872	YES	YES	2.8303	2.6543	2	calcium channel, voltage-dependent, beta 4 subunit	Plasma membrane & Extracellular
10203	CALCRL	206331_at	8057578	YES	NO	2.5601	2.2268	2	calcitonin receptor-like	Plasma membrane & Extracellular
91860	CALML4	221879_at	7989968	YES	NO	2.5411	2.2694	15	calmodulin-like 4	Other
130940	CCDC148	231504_at	8056022	NO	YES	4.3063	1.0236	2	coiled-coil domain containing 148	Other
6346	CCL1	207533_at	8014160	NO	YES	1.755	4.3174	17	chemokine (C-C motif) ligand 1	Plasma membrane & Extracellular
6351	CCL4	204103_at	8006602	YES	YES	12.0201	2.1087	17	chemokine (C-C motif) ligand 4	Plasma membrane & Extracellular
6352	CCL5	1405_i_at	8014316	YES	NO	13.0433	10.0074	17	chemokine (C-C motif) ligand 5	Plasma membrane & Extracellular
8900	CCNA1	205899_at	7968637	YES	YES	3.325	3.9705	13	cyclin A1	Cell cycle
22948	CCT5	229068_at	8104449	YES	NO	2.828	2.0069	5	chaperonin containing TCP1, subunit 5 (epsilon)	Other
4064	CD180	206206_at	8112428	NO	YES	2.3352	4.0512	5	CD180 molecule	Plasma membrane & Extracellular
911	CD1C	205987_at	7906348	NO	YES	1.6168	3.9427	1	CD1c molecule	Plasma membrane & Extracellular
100133941	CD24	208650_s_at	8177222	NO	YES	2.0755	4.8426	6	CD24 molecule	Plasma membrane & Extracellular
945	CD33	206120_at	8030804	YES	NO	3.4258	4.0167	19	CD33 molecule	Plasma membrane & Extracellular
948	CD36	228766_at	8133876	YES	NO	6.3287	2.1815	7	CD36 molecule (thrombospondin receptor)	Plasma membrane & Extracellular
915	CD3D	213539_at	7952056	YES	YES	6.673	11.2019	11	CD3d molecule, delta (CD3-TCR complex)	Plasma membrane & Extracellular
942	CD86	210895_s_at	8082035	YES	YES	3.6193	4.1863	3	CD86 molecule	Plasma membrane & Extracellular
928	CD9	201005_at	7953291	YES	NO	28.019	1.7512	12	CD9 molecule	Plasma membrane & Extracellular
22918	CD93	202878_s_at	8065359	YES	NO	13.7302	1.9706	20	CD93 molecule	Plasma membrane & Extracellular
10225	CD96	206761_at	8081564	YES	YES	4.247	4.9945	3	CD96 molecule	Plasma membrane & Extracellular
976	CD97	202910_s_at	8026300	YES	NO	7.6085	2.0902	19	CD97 molecule	Plasma membrane & Extracellular
1029	CDKN2A	207039_at	8160441	NO	YES	1.198	2.7	9	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	Cell cycle
4680	CEACAM6	203757_s_at	8029098	NO	YES	1.442	4.2672	19	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	Plasma membrane & Extracellular
1675	CFD	205382_s_at	8024062	YES	NO	7.7147	3.955	19	complement factor D (adipsin)	Plasma membrane & Extracellular
1116	CHI3L1	209395_at	7923547	YES	NO	3.3299	2.3625	1	chitinase 3-like 1 (cartilage glycoprotein-39)	Plasma membrane & Extracellular
1178	CLC	206207_at	8036755	YES	YES	4.9719	20.5111	19	Charcot-Leyden crystal protein	Other
160364	CLEC12A	1552398_a_at	7953901	YES	NO	14.7668	10.4421	12	C-type lectin domain family 12, member A	Plasma membrane & Extracellular
338339	CLEC4D	1552772_at	7953749	NO	YES	1.3189	5.6358	12	C-type lectin domain family 4, member D	Plasma membrane & Extracellular
26253	CLEC4E	219859_at	7960900	NO	YES	1.0274	4.079	12	C-type lectin domain family 4, member E	Plasma membrane & Extracellular
160365	CLECL1	244413_at	7961069	YES	YES	3.2716	9.2279	12	C-type lectin-like 1	Plasma membrane & Extracellular
1690	COCH	205229_s_at	7973797	YES	NO	2.6217	2.5193	14	coagulation factor C homolog, cochlin (Limulus polyphemus)	Plasma membrane & Extracellular
54951	COMMD8	218351_at	8100145	YES	NO	4.696	2.2621	4	COMM domain containing 8	Other
23406	COTL1	224583_at	8003171	YES	NO	4.2253	1.9761	16	coactosin-like 1 (Dictyostelium)	Other
10063	COX17	203880_at	7968972	YES	NO	2.9867	2.0975	3	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	Other
1396	CRIP1	205081_at	7977409	YES	NO	10.2268	1.9145	14	cysteine-rich protein 1 (intestinal)	Other
8530	CST7	210140_at	8061416	YES	NO	4.5721	4.3944	20	cystatin F (leukocystatin)	Plasma membrane & Extracellular
1475	CSTA	204971_at	8082058	YES	NO	15.2724	8.2554	3	cystatin A (stefin A)	Other
5476	CTSA	200661_at	8063078	YES	NO	7.4704	2.0204	20	cathepsin A	Other
1075	CTSC	201487_at	7950906	YES	NO	4.4802	3.1109	11	cathepsin C	Other
1511	CTSG	205653_at	7978351	YES	NO	4.5766	5.8038	14	cathepsin G	Other
2919	CXCL1	204470_at	8095697	YES	NO	11.0827	2.1273	4	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	Plasma membrane & Extracellular
3627	CXCL10	204533_at	8101126	NO	YES	2.0244	4.2224	4	chemokine (C-X-C motif) ligand 10	Plasma membrane & Extracellular
1536	CYBB	203923_s_at	8166730	YES	YES	3.9235	4.1921	X	cytochrome b-245, beta polypeptide	Other
1571	CYP2E1	209975_at	7931643	YES	NO	2.58	2.2439	10	cytochrome P450, family 2, subfamily E, polypeptide 1	Other
1669	DEFA4	207269_at	8149109	NO	YES	1.1139	4.2005	8	defensin, alpha 4, corticostatin	Plasma membrane & Extracellular
57706	DENND1A	219763_at	8164034	NO	YES	4.0643	1.3016	9	DENN/MADD domain containing 1A	Plasma membrane & Extracellular
22898	DENND3	212975_at	8148476	YES	NO	2.9132	2.0985	8	DENN/MADD domain containing 3	Other
91614	DEPDC7	228293_at	7939173	NO	YES	2.5204	2.5954	11	DEP domain containing 7	Signaling molecule
9249	DHRS3	202481_at	7912537	YES	NO	3.7799	2.499	1	dehydrogenase/reductase (SDR family) member 3	Other
1737	DLAT	212568_s_at	7943827	YES	NO	5.313	2.2002	11	dihydrolipoamide S-acetyltransferase	Other
8847	DLEU2	1556821_x_at	7971653	YES	NO	2.876	3.9304	13	deleted in lymphocytic leukemia 2 (non-protein coding)	Other
9046	DOK2	214054_at	8149638	YES	NO	5.6934	3.0391	8	docking protein 2, 56kDa	Signaling molecule
285381	DPH3	225200_at	8085660	YES	NO	2.875	2.0279	3	DPH3, KTI11 homolog (S. cerevisiae)	Other
79075	DSCC1	219000_s_at	8152582	YES	NO	2.5694	2.6348	8	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	Cell cycle
1848	DUSP6	208893_s_at	7965335	YES	NO	3.9521	2.0696	12	dual specificity phosphatase 6	Signaling molecule
10085	EDIL3	225275_at	8112980	NO	YES	7.6777	0.9281	5	EGF-like repeats and discoidin I-like domains 3	Plasma membrane & Extracellular
79180	EFHD2	222483_at	7898161	YES	NO	3.0525	2.0378	1	EF-hand domain family, member D2	Other
30817	EMR2	207610_s_at	8034873	YES	NO	10.5352	2.0458	19	egf-like module containing, mucin-like, hormone receptor-like 2	Plasma membrane & Extracellular
8507	ENC1	201341_at	8112615	YES	YES	6.3235	1.8298	5	ectodermal-neural cortex (with BTB-like domain)	Other
51010	EXOSC3	227916_x_at	8161242	YES	NO	3.051	2.019	9	exosome component 3	Other
2162	F13A1	203305_at	8123744	NO	YES	6.9614	1.3243	6	coagulation factor XIII, A1 polypeptide	Plasma membrane & Extracellular
83641	FAM107B	223058_at	7932160	YES	NO	11.3343	2.1322	10	family with sequence similarity 107, member B	Other
116496	FAM129A	217966_s_at	7922846	YES	NO	7.1413	1.714	1	family with sequence similarity 129, member A	Other
348235	FAM33A	225684_at	8017133	YES	NO	2.6048	2.0228	17	family with sequence similarity 33, member A	Cell cycle
