Accession number	Description	P Value	ratio
AK026784	cDNA: FLJ23131 fis	0.02158	-3.94
410735.2	Protein with high similarity to Gremlin (human CKTSF1B1)	0.01112	-3.65
AF109718	chromosome 3 subtelomeric region	0.01558	-3.26
M31774	Human thyrotropin receptor (TSH)	0.00039	-2.96
U07563	proto-oncogene tyrosine-protein kinase (ABL) gene	0.02833	-2.88
BG913926	602812451F1	0.01636	-2.88
NM_018470	uncharacterized hypothalamus protein HT009 (HT009)	0.00010	-2.75
NM_024022	transmembrane protease. serine 3 (TMPRSS3)	0.01959	-2.68
NM_033424	myosin heavy chain-like (LOC92771)	0.02614	-2.66
NM_003014	secreted frizzled-related protein 4 (SFRP4)	0.01094	-2.64
NM_144583	hypothetical protein MGC20253 (MGC20253)	0.03529	-2.63
AK026659	cDNA: FLJ23006 fis	0.00195	-2.58
AB040945	KIAA1512	0.01627	-2.47
AK001663	cDNA FLJ10801 fis	0.01147	-2.41
NM_024087	DKFZP564L0862	0.04246	-2.24
D63412	aquaporin	0.00128	-2.22
AL137761	cDNA DKFZp586L2424	0.04040	-2.21
NM_004772	P311 protein (P311)	0.01332	-2.10
NM_021097	solute carrier family 8 (sodium/calcium exchanger). member 1 (SLC8A1)	0.02077	-2.07
BM723478	UI-E-EJ0-aio-p-06-0-UI.r1	0.00012	-2.06
NM_015133	mitogen-activated protein kinase 8 interacting protein 3 (MAPK8IP3)	0.00531	-2.05
NM_003385	visinin-like 1 (VSNL1)	0.00204	-2.04
NM_152376	hypothetical protein FLJ25429	0.00038	-1.99
NM_001215	carbonic anhydrase VI (CA6)	0.02366	-1.98
AF147385	cDNA clone YI43B12	0.00301	-1.97
