ProbeID	Gen Name	ALL_DATA	GRADE_1	GRADE_1-LIKE	GRADE_3-LIKE	GRADE_3
212282_at	TMEM97	1.20E-01	3.46E-01	8.90E-01	7.98E-01	4.07E-01
210312_s_at	IFT20	6.05E-01	7.57E-01	6.23E-01	9.67E-01	2.88E-01
201207_at	TNFAIP1	1.75E-01	8.98E-01	8.73E-01	9.45E-01	5.74E-01
222425_s_at	POLDIP2	4.83E-01	6.40E-01	7.29E-01	6.18E-01	4.84E-01
225375_at	TMEM199	4.01E-01	3.37E-01	5.93E-01	8.58E-01	4.54E-01
234256_at	SEBOX	7.86E-02	3.67E-01	6.08E-01	9.59E-01	2.26E-01
204534_at	VTN	4.76E-03	3.99E-02	1.47E-01	6.78E-01	2.41E-01
213259_s_at	SARM1	1.89E-01	5.23E-01	7.49E-01	9.23E-01	7.85E-01
207567_at	SLC13A2	4.83E-02	3.14E-01	4.13E-01	9.96E-01	1.79E-01
207683_at	FOXN1	5.03E-01	8.95E-01	8.76E-01	6.70E-01	9.20E-01
220654_at	PPY2	1.88E-01	4.05E-01	3.71E-01	8.47E-01	8.32E-01
