Pair rank	Gene ID	Pair t-score	Gene t-score	Gene rank	Gene annotation
1	M84526	16.16	12.88	1	DF D component of complement (adipsin)
1	M92287	16.16	8.87	6	CCND3 Cyclin D3
2	M23197	15.43	11.72	2	CD33 CD33 antigen (differentiation antigen)
2	M31523	15.43	11	3	TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
3	U46499	13.56	9.14	5	Glutathione S-transferase, microsomal
3	M31303	13.56	6.52	36	Oncoprotein 18 (Op18) gene
4	M63138	13.53	9.46	4	CTSD Cathepsin D (lysosomal aspartyl protease)
4	HG1612	13.53	8.47	10	Macmarcks
5	X62320	12.58	8.38	11	GRN Granulin
5	Z14982	12.58	5.54	93	MHC-encoded proteasome subunit gene LAMP7-E1 (LMP7)
6	M31211	12.41	8.61	9	MYL1 Myosin light chain (alkali)
6	X62654	12.41	7.32	17	ME491 gene extracted from H. sapiens gene for Me491/CD63 antigen
7	M27891	12.15	8.83	7	CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage)
7	U89922	12.15	5.24	115	LTB Lymphotoxin-beta
8	X59417	12.14	7.99	12	Proteasome iota chain
8	X52056	12.14	6.52	37	SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1
9	M19507	12.09	7.03	24	MPO Myeloperoxidase
9	M89957	12.09	6.92	28	IGB Immunoglobulin-associated beta (B29)
10	M84371	11.9	7.18	23	CD19 gene
10	U16954	11.9	6.43	40	(AF1q) mRNA
11	M63379	11.74	7.56	13	CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J)
11	M83667	11.74	7.52	14	NF-IL6-beta protein mRNA
12	M16038	11.72	7.31	18	LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
12	Y08612	11.72	6.31	47	Rabaptin-5 protein
13	D88422	11.68	8.72	8	Cystatin A
13	M11722	11.68	7.18	21	Terminal transferase mRNA
14	X66401	11.67	5.89	69	LMP2 gene extracted from H. sapiens genes TAP1, TAP2, LMP2, LMP7 and DOB
14	Y00433	11.67	4.72	182	GPX1 Glutathione peroxidase 1
15	M63959	11.61	6.59	34	LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)
15	X51521	11.61	6.44	38	VIL2 Villin 2 (ezrin)
16	Z15115	11.37	7.49	15	TOP2B Topoisomerase (DNA) II beta (180 kDa)
16	U10868	11.37	5.55	92	ALDH7 Aldehyde dehydrogenase 7
17	Y12670	11.25	5.67	82	LEPR Leptin receptor
17	U77948	11.25	5.6	87	KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen detected by monoclonal antibody IA4))
18	U46751	11.2	5.8	73	Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA
18	L06797	11.2	5.77	74	Probable G protein-coupled receptor LCR1 homolog
19	M95678	11.19	5.73	77	PLCB2 Phospholipase C, beta 2
19	U72936	11.19	5.38	101	X-linked helicase II
20	S76617	11.16	6.43	41	BLK Protein-tyrosine kinase blk
20	L09209	11.16	5.9	68	APLP2 Amyloid beta (A4) precursor-like protein 2
21	M55150	11.11	6.7	32	FAH Fumarylacetoacetate
21	M96803	11.11	4.74	180	SPTBN1 Spectrin, beta, non-erythrocytic 1
22	X17042	11.08	6.93	27	PRG1 Proteoglycan 1, secretory granule
22	X99920	11.08	5.15	124	S100 calcium-binding protein A13
23	S50223	10.86	6.65	33	HKR-T1
23	U82759	10.86	4.39	229	GB DEF Homeodomain protein HoxA9 mRNA
24	J03589	10.83	5.62	85	Ubiquitin-like protein GDX
24	X12447	10.83	5.16	122	ALDOA Aldolase A
25	X74262	10.8	5.89	70	Retinoblastoma binding protein p48
25	L19437	10.8	5.13	127	TALDO Transaldolase
