FocusID	log2 foldchange (T/preB)	Gene description from HG-Focus.GIN file	Gene Ontology (GO) descriptions
209619_at	-2.1	Major histocompatibility class II antigen gamma chain.	GO: integral membrane protein; class II major histocompatibility complex antigen.
206398_s_at	-3.96	CD19 antigen.	GO: cell surface receptor linked signal transduction; cellular defense response; integral plasma membrane protein; plasma membrane; receptor signaling protein.
221497_x_at	-1.21	Chromosome 1 open reading frame 12, clone MGC:12484.	GO: cytosol.
211338_at 	-0.86	Interferon-alpha.	Go: cell surface receptor linked signal transduction; cell-cell signaling; inflammatory response; induction of apoptosis; interferon-alpha/beta receptor ligand; hematopoietin/interferon-class (d200-domain) cytokine receptor ligand.
213958_at	1.61	Consensus includes gb:AW134823 antigen.	GO: immune response; integral plasma membrane protein; lymphocyte antigen; cell adhesion molecule.
204670_x_at	-2.98	Major histocompatibility complex, class II, DR beta 5.	GO: perception of pest/pathogen/parasite; integral plasma membrane protein; class II major histocompatibility complex antigen.
217028_at 	-0.97	Consensus includes CXCR4 gene encoding receptor CXCR4 (C-X-C motif), receptor 4 (fusin).	NA
32541_at  	-1.35	Calcineurin A catalytic subunit.	GO: calcineurin complex.
208650_s_at	-5.18	Consensus includes gb:BG327863 antigen (small cell lung carcinoma cluster 4 antigen).	GO: humoral immune response; plasma membrane.
207857_at 	-3.35	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2 (LILRA2).	GO: defense response; signal transduction; antibody; receptor.
209199_s_at	-3.17	Consensus includes gb:N22468 box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C).	GO: transcription from Pol II promoter; muscle development; neurogenesis; transcription factor; RNA polymerase II transcription factor; transcription co-activator.
204319_s_at	2.45	Regulator of G-protein signalling 10.	NA
221216_s_at	-0.54	Sex comb on midleg homolog 1.	GO: embryogenesis and morphogenesis; transcription factor; DNA binding.
201015_s_at	-1.74	Junction plakoglobin, transcript variant 2	GO: cell adhesion; membrane fraction; cytoplasm; soluble fraction; cytoskeletal protein binding.
211987_at 	-0.66	Consensus includes topoisomerase (DNA) II beta (180kd).	GO: nucleus; DNA topoisomerase; DNA binding.
202039_at 	-1.32	TGFB1-induced anti-apoptotic factor 1.	GO: anti-apoptosis; perinuclear space.
210784_x_at	-0.34	Clone 17.6 immunoglobulin-like transcript 5 protein.	Go: cell surface receptor linked signal transduction; defense response; integral plasma membrane protein; transmembrane receptor; defense/immunity protein; receptor.
219281_at 	-1.31	Methionine sulfoxide reductase A (MSRA).	GO: methionine metabolism; oxidative stress response; protein modification; protein-methionine-S-oxide reductase.
213539_at 	4.5	Consensus includes CD3D antigen, delta polypeptide (tit3 complex).	GO: cellular defense response; cell surface receptor linked signal transduction; integral plasma membrane protein; plasma membrane; T-cell receptor; receptor signaling protein.
213792_s_at	-1.16	Consensus includes gb:AA485908 receptor.	GO: signal transduction; development; carbohydrate metabolism; cell growth and/or maintenance; protein amino acid phosphorylation; energy pathways; integral plasma membrane protein; plasma membrane; transmembrane receptor protein tyrosine kinase; transmembrane receptor protein tyrosine kinase signaling protein; signal transducer; receptor; receptor signaling protein tyrosine kinase.
217979_at	-2.85	Tetraspan NET-6 protein (NET-6).	GO: membrane fraction; integral plasma membrane protein.
210835_s_at	-1.29	Ribeye. Go: viral replication; negative regulation of cell proliferation; tumor suppressor.	NA
203879_at 	-1.15	Phosphatidylinositol 3-kinase catalytic subunit p110delta.	NA
219686_at 	-2.7	Gene for serinethreonine protein kinase (HSA250839).	GO: protein kinase.
202052_s_at	-1.18	Novel retinal pigment epithelial gene.	NA
203675_at 	2	Nucleobindin 2.	GO: cytosol; extracellular space; plasma membrane; calcium ion binding; DNA binding.
203978_at 	-1.13	Nucleotide binding protein 1 (E.coli mind like).	GO: septin assembly and septum formation; nucleotide binding; adenosinetriphosphatase.
203932_at	-2.95	Major histocompatibility complex, class II, DM beta.	GO: perception of pest/pathogen/parasite; immune response; chaperone; MHC-interacting protein.
202114_at 	-1.95	Sorting nexin 2.	GO: endocytosis.
