IMAGE_CloneID	t statistic	P value	Bonf adj P value	BH adj P value	Gene Symbol	Description
731023	-4.89	0	0	0	WDR5	WDR5 | WD repeat domain 5
2309073	-7.96	0	0	0	FZD5	FZD5 | frizzled (Drosophila) homolog 5
1587847	-6.56	0	0	0	MCM6	MCM6 | minichromosome maintenance deficient (mis5, S. pombe) 6
1631132	-4.81	0	0	0	PHT2	PHT2 | peptide transporter 3
823598	-7.01	0	0	0	PSMD12	PSMD12 | proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
843121	-6.9	0	0	0	CLIC1	CLIC1 | chloride intracellular channel 1
1474424	-6.96	0	0	0		Homo sapiens cDNA FLJ31911 fis, clone NT2RP7004751
307029	4.24	0	0.33	0
753320	-4.99	0	0	0	FLJ20533	FLJ20533 | hypothetical protein FLJ20533
1932725	7.12	0	0	0	ZNF281	ZNF281 | zinc finger protein 281
1517171	5.24	0	0	0	IL2RA	IL2RA | interleukin 2 receptor, alpha
869375	-6.94	0	0	0	IDH2	IDH2 | isocitrate dehydrogenase 2 (NADP+), mitochondrial
1702742	-6.93	0	0	0	SLC7A5	SLC7A5 | solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
753378	-6.91	0	0	0	FLJ22649	FLJ22649 | hypothetical protein FLJ22649 similar to signal peptidase SPC22/23
1660666	-4.92	0	0	0	CA5B	CA5B | carbonic anhydrase VB, mitochondrial
2014856	4.56	0	0	0	HLALS	HLALS | major histocompatibility complex, class I-like sequence
786067	-5.57	0	0	0	CDC25B	CDC25B | cell division cycle 25B
712139	-5.62	0	0	0	ARL7	ARL7 | ADP-ribosylation factor-like 7
2017415	-6.98	0	0	0	CENPA	CENPA | centromere protein A (17kD)
824962	-6.06	0	0	0	KPNA2	KPNA2 | karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
2975668	5.05	0	0	0	RAG2	RAG2 | recombination activating gene 2
1601845	4.6	0	0	0	CAPRI	CAPRI | Ca2+-promoted Ras inactivator
186301	6.61	0	0	0		Homo sapiens cDNA FLJ12924 fis, clone NT2RP2004709
345764	4.14	0	0	0	SATB1	SATB1 | special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)
703707	-4.86	0	0.33	0	ASPH	ASPH | aspartate beta-hydroxylase
345787	-6.02	0	0	0	HEC	HEC | highly expressed in cancer, rich in leucine heptad repeats
823634	5.44	0	0	0	ESTs	ESTs
42831	-6.4	0	0	0	NTKL	NTKL | N-terminal kinase-like
122241	-5.29	0	0	0	PSMB2	PSMB2 | proteasome (prosome, macropain) subunit, beta type, 2
767176	6.6	0	0	0	TNFSF13	TNFSF13 | tumor necrosis factor (ligand) superfamily, member 13
753428	-5.37	0	0.33	0		Homo sapiens, Similar to RIKEN cDNA 1110014B07 gene, clone MGC:20766 IMAGE:4586039, mRNA, complete cds
78869	-4.91	0	0.33	0	GP110	GP110 | cell membrane glycoprotein, 110000M(r) (surface antigen)
825606	-4.83	0	0	0	KNSL1	KNSL1 | kinesin-like 1
726699	4.27	0	0.33	0		Homo sapiens, clone MGC:9889 IMAGE:3868330, mRNA, complete cds
471568	-5.04	0	0	0	HN1	HN1 | hematological and neurological expressed 1
769890	-4.69	0	0	0	NP	NP | nucleoside phosphorylase
839382	4.42	0	0.33	0		Homo sapiens, Similar to RIKEN cDNA 1700017I11 gene, clone MGC:26847 IMAGE:4821517, mRNA, complete cds
1696757	-4.3	0	0	0	KIAA1165	KIAA1165 | hypothetical protein KIAA1165
2018131	-8.41	0	0	0	RACGAP1	RACGAP1 | Rac GTPase activating protein 1
796694	-7.21	0	0	0	BIRC5	BIRC5 | baculoviral IAP repeat-containing 5 (survivin)
210862	-5.41	0	0	0	ACOX1	ACOX1 | acyl-Coenzyme A oxidase 1, palmitoyl
502518	6.37	0	0	0	LAMB2	LAMB2 | laminin, beta 2 (laminin S)
259950	-5.84	0	0	0	CML66	CML66 | chronic myelogenous leukemia tumor antigen 66
256619	5.42	0	0	0	HSD17B7	HSD17B7 | hydroxysteroid (17-beta) dehydrogenase 7
37671	-4.38	0	0.33	0	FLJ21610	FLJ21610 | hypothetical protein FLJ21610
206217	5.45	0	0	0	NR1H3	NR1H3 | nuclear receptor subfamily 1, group H, member 3
725340	4.98	0	0	0	TETRAN	TETRAN | tetracycline transporter-like protein
768570	4.12	0	0.98	0	FLJ11280	FLJ11280 | hypothetical protein FLJ11280
705064	-6.19	0	0	0	TACC3	TACC3 | transforming, acidic coiled-coil containing protein 3
897609	-5.76	0	0	0	FLJ10074	FLJ10074 | hypothetical protein FLJ10074
66406	-6.39	0	0	0		ESTs, Highly similar to T47163 hypothetical protein DKFZp762E1312.1 [H.sapiens]
1652259	4.83	0	0	0	LKR	LKR/SDH | lysine-ketoglutarate reductase /saccharopine dehydrogenase
1592530	5.4	0	0	0	IP6K2	IP6K2 | mammalian inositol hexakisphosphate kinase 2
180561	6.81	0	0	0	GSTM1	GSTM1 | glutathione S-transferase M1
325583	5.75	0	0	0	EST	EST
108667	4.89	0	0	0	SF3A1	SF3A1 | splicing factor 3a, subunit 1, 120kD
46129	4.18	0	0	0	HDAC7A	HDAC7A | histone deacetylase 7A
70349	6.38	0	0	0	MLLT7	MLLT7 | myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 7
769921	-10.14	0	0	0	UBE2C	UBE2C | ubiquitin-conjugating enzyme E2C
327506	-4.43	0	0	0		Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 327506
278222	6.85	0	0	0		Homo sapiens, clone MGC:10083 IMAGE:3897118, mRNA, complete cds
