ID	Symbol	Name	Synonyms	Chromosome
91	ACVR1B	activin A receptor, type IB	ACTRIB|ACVRLK4|ALK4|SKR2	12
130399	ACVR1C	activin A receptor, type IC	ACVRLK7|ALK7	2
92	ACVR2A	activin A receptor, type IIA	ACTRII|ACVR2	2
93	ACVR2B	activin A receptor, type IIB	ACTRIIB|ActR-IIB|MGC116908	3
94	ACVRL1	activin A receptor type II-like 1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12
117	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	PAC1|PACAPR|PACAPRI	7
51094	ADIPOR1	adiponectin receptor 1	ACDCR1|CGI-45|CGI45|FLJ25385|FLJ42464|PAQR1|TESBP1A	1
79602	ADIPOR2	adiponectin receptor 2	ACDCR2|FLJ21432|MGC4640|PAQR2	12
153	ADRB1	adrenergic, beta-1-, receptor	ADRB1R|B1AR|BETA1AR|RHR	10
154	ADRB2	adrenergic, beta-2-, receptor, surface	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	5
185	AGTR1	angiotensin II receptor, type 1	AG2S|AGTR1A|AGTR1B|AT1|AT1B|AT1R|AT2R1|AT2R1A|AT2R1B|HAT1R	3
186	AGTR2	angiotensin II receptor, type 2	AT2|ATGR2|MRX88	X
269	AMHR2	anti-Mullerian hormone receptor, type II	AMHR|MISR2|MISRII	12
284	ANGPT1	angiopoietin 1	AGP1|AGPT|ANG1	8
51378	ANGPT4	angiopoietin 4	AGP4|ANG-3|ANG4|MGC138181|MGC138183	20
9068	ANGPTL1	angiopoietin-like 1	ANG3|ANGPT3|ARP1|AngY|KIAA0351|UNQ162|dJ595C2.2	1
23452	ANGPTL2	angiopoietin-like 2	ARP2|HARP|MGC8889	9
27329	ANGPTL3	angiopoietin-like 3	ANGPT5	1
51129	ANGPTL4	angiopoietin-like 4	ANGPTL2|ARP4|FIAF|HFARP|NL2|PGAR|pp1158	19
83854	ANGPTL6	angiopoietin-like 6	AGF|ARP5	19
187	APLNR	apelin receptor	AGTRL1|APJ|APJR|FLJ90771|MGC45246	11
367	AR	androgen receptor	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	X
552	AVPR1A	arginine vasopressin receptor 1A	AVPR1	12
553	AVPR1B	arginine vasopressin receptor 1B	AVPR3	1
554	AVPR2	arginine vasopressin receptor 2	ADHR|DI1|DIR|DIR3|MGC126533|MGC138386|NDI|V2R	X
657	BMPR1A	bone morphogenetic protein receptor, type IA	10q23del|ACVRLK3|ALK3|CD292|SKR5	10
658	BMPR1B	bone morphogenetic protein receptor, type IB	ALK-6|ALK6|CDw293	4
659	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	BMPR-II|BMPR3|BMR2|BRK-3|FLJ41585|FLJ76945|PPH1|T-ALK	2
10902	BRD8	bromodomain containing 8	SMAP|SMAP2|p120	5
719	C3AR1	complement component 3a receptor 1	AZ3B|C3AR|HNFAG09	12
728	C5AR1	complement component 5a receptor 1	C5A|C5AR|C5R1|CD88	19
799	CALCR	calcitonin receptor	CRT|CTR|CTR1	7
10203	CALCRL	calcitonin receptor-like	CGRPR|CRLR	2
1238	CCBP2	chemokine binding protein 2	CCR10|CCR9|CMKBR9|D6|MGC126678|MGC138250|hD6	3
1230	CCR1	chemokine (C-C motif) receptor 1	CD191|CKR-1|CKR1|CMKBR1|HM145|MIP1aR|SCYAR1	3
2826	CCR10	chemokine (C-C motif) receptor 10	GPR2	17
1232	CCR3	chemokine (C-C motif) receptor 3	CC-CKR-3|CD193|CKR3|CMKBR3|MGC102841	3
1233	CCR4	chemokine (C-C motif) receptor 4	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5|MGC88293	3
1234	CCR5	chemokine (C-C motif) receptor 5	CC-CKR-5|CCCKR5|CD195|CKR-5|CKR5|CMKBR5|FLJ78003|IDDM22	3
1235	CCR6	chemokine (C-C motif) receptor 6	BN-1|CD196|CKR-L3|CKR6|CKRL3|CMKBR6|DCR2|DRY-6|GPR-CY4|GPR29|GPRCY4|STRL22	6
1236	CCR7	chemokine (C-C motif) receptor 7	BLR2|CD197|CDw197|CMKBR7|EBI1	17
1237	CCR8	chemokine (C-C motif) receptor 8	CDw198|CKR-L1|CKRL1|CMKBR8|CMKBRL2|CY6|GPR-CY6|MGC129966|MGC129973|TER1	3
10803	CCR9	chemokine (C-C motif) receptor 9	CDw199|GPR-9-6|GPR28	3
51554	CCRL1	chemokine (C-C motif) receptor-like 1	CC-CKR-11|CCBP2|CCR10|CCR11|CCX-CKR|CKR-11|PPR1|VSHK1	3
